Timer,X,Y,Z
"935","8774","7666","110"
"935","8774","7666","110"
"935","8774","7666","110"
"935","8774","7666","110"
"935","8774","7666","110"
"935","8774","7666","110"
"935","8774","7666","110"
"935","8774","7666","110"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1042","8756","7647","104"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1095","8735","7659","93"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1148","8748","7613","106"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1206","8751","7625","154"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1259","8787","7643","140"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1312","8733","7658","86"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1366","8710","7665","-12"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1423","8737","7631","78"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1476","8749","7612","73"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1529","8757","7621","50"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1587","8722","7586","157"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1644","8758","7656","71"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1697","8753","7650","77"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1759","8722","7654","78"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
"1812","8737","7654","106"
