Timer,X,Y,Z
"988","8746","8448","144"
"988","8746","8448","144"
"988","8746","8448","144"
"988","8746","8448","144"
"988","8746","8448","144"
"988","8746","8448","144"
"988","8746","8448","144"
"988","8746","8448","144"
"988","8746","8448","144"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1041","8739","8357","200"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1152","8719","8459","82"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1209","8697","8405","113"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1262","8747","8371","178"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1369","8713","8457","98"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1426","8801","8406","210"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1484","8743","8418","140"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1537","8715","8421","101"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1590","8712","8477","72"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1647","8705","8436","173"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1754","8676","8440","113"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1807","8723","8397","154"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1861","8738","8428","120"
"1918","8740","8408","137"
"1918","8740","8408","137"
"1918","8740","8408","137"
"1918","8740","8408","137"
"1918","8740","8408","137"
"1918","8740","8408","137"
"1918","8740","8408","137"
