Timer,X,Y,Z
"996","3301","3890","4223"
"996","3301","3890","4223"
"996","3301","3890","4223"
"996","3301","3890","4223"
"996","3301","3890","4223"
"996","3301","3890","4223"
"996","3301","3890","4223"
"996","3301","3890","4223"
"996","3301","3890","4223"
"996","3301","3890","4223"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1053","3333","3909","4276"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1115","3311","3904","4209"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1176","3291","3899","4222"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1233","3293","3909","4334"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1294","3306","3861","4333"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1356","3279","3903","4225"
"1414","3342","3893","4287"
