Timer,X,Y,Z
"987","8656","7524","279"
"987","8656","7524","279"
"987","8656","7524","279"
"987","8656","7524","279"
"987","8656","7524","279"
"987","8656","7524","279"
"987","8656","7524","279"
"987","8656","7524","279"
"987","8656","7524","279"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1041","8668","7554","189"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1097","8673","7564","234"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1151","8837","7932","-20"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1208","8622","7553","239"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1261","8652","7512","368"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1319","8630","7490","307"
"1376","8685","7504","374"
"1376","8685","7504","374"
"1376","8685","7504","374"
"1376","8685","7504","374"
