Timer,AX,AY,AZ,GX,GY,GZ
"1001","-113","40","-34","630","894","467"
"1001","-113","40","-34","566","720","580"
"1001","-131","52","-23","464","494","675"
"1001","-101","64","-7","380","343","705"
"1001","-94","70","-11","300","203","655"
"1001","-97","61","-15","257","74","561"
"1002","-97","61","-15","204","-83","455"
"1002","-167","45","-25","108","-245","373"
"1002","-200","43","-29","-21","-430","307"
"1002","-179","83","-55","-178","-610","218"
"1002","-185","96","-73","-300","-750","170"
"1002","-185","96","-73","-284","-1049","203"
"1003","-161","161","-66","-398","-1668","343"
"1003","142","209","-12","-645","-2280","529"
"1003","121","180","7","-840","-2659","652"
"1003","105","169","25","-1001","-2747","725"
"1003","105","169","25","-1126","-2460","815"
"1003","5","111","32","-1220","-1941","867"
"1004","594","126","97","-1252","-1246","763"
"1004","10","126","-24","-257","477","-76"
"1004","-167","-116","-62","139","1752","-795"
"1004","-167","-116","-62","-397","1632","-958"
"1004","-125","-296","35","-700","700","-928"
"1004","-295","-368","1","-468","171","-857"
"1005","-126","71","-17","-346","-382","-691"
"1005","-29","118","-8","-96","-816","-601"
"1005","-29","118","-8","84","-944","-637"
"1005","11","118","-7","125","-793","-773"
"1005","-53","59","-4","67","-569","-923"
"1005","-166","1","2","14","-406","-967"
"1006","-118","109","1","-30","-301","-956"
"1006","-118","109","1","10","-295","-1014"
"1006","-123","140","1","99","-402","-1151"
"1006","-127","139","1","99","-546","-1235"
"1006","-107","21","6","-1","-637","-1206"
"1006","-120","-13","6","-98","-670","-1111"
"1007","-120","-13","6","-158","-658","-1022"
"1007","-138","-51","5","-159","-630","-986"
"1007","-155","-59","3","-99","-619","-1021"
"1007","-191","-83","1","22","-629","-1107"
"1007","-179","-69","1","166","-644","-1172"
"1007","-179","-69","1","316","-650","-1225"
"1008","-168","-69","3","430","-629","-1263"
"1008","-191","-81","2","557","-573","-1270"
"1008","-189","-75","1","645","-507","-1254"
"1008","-218","-90","-1","691","-449","-1217"
"1008","-218","-90","-1","714","-400","-1123"
"1008","-230","-77","-3","722","-400","-1036"
"1009","-258","-76","-7","725","-450","-954"
"1009","-246","-108","-8","727","-539","-866"
"1009","-177","-110","-4","737","-628","-790"
"1009","-177","-110","-4","778","-694","-743"
"1009","-135","-124","-2","860","-732","-708"
"1009","-106","-135","-2","928","-762","-643"
"1010","-44","-142","-2","946","-785","-526"
"1010","-34","-124","-2","919","-811","-400"
"1010","-38","-124","-2","868","-870","-356"
"1010","-64","-106","-2","867","-972","-396"
"1010","-39","-83","-2","921","-1109","-488"
"1011","-9","-61","3","992","-1256","-627"
"1011","48","-74","19","1065","-1332","-802"
"1011","48","-74","19","1191","-1284","-937"
"1011","95","-13","16","1299","-1172","-1073"
"1011","131","-5","16","1319","-1090","-1217"
"1011","134","2","16","1283","-1015","-1314"
"1012","56","12","12","1286","-914","-1295"
"1012","15","-9","12","1309","-801","-1120"
"1012","-12","-32","13","1291","-686","-801"
"1012","-12","-66","12","1206","-581","-389"
"1012","-5","-97","15","1111","-476","65"
"1012","-3","-116","17","1069","-347","539"
"1013","-29","-107","19","1042","-189","1026"
"1013","-31","-72","22","986","-24","1487"
"1013","-25","-45","25","778","217","1821"
"1013","12","22","23","386","627","1801"
"1013","67","75","18","43","960","1380"
"1013","81","81","11","-262","1210","706"
"1013","37","-61","8","-541","1406","9"
"1014","-47","-79","1","-822","1652","-355"
"1014","-9","-36","1","-862","1860","-478"
"1014","44","-33","2","-898","2066","-519"
"1014","67","-96","13","-1086","2280","-480"
"1014","75","-65","11","-1453","2558","-295"
"1015","76","-64","4","-1825","2830","-15"
"1015","70","-72","-4","-2106","3006","266"
"1015","17","-152","-16","-2264","3063","490"
"1015","-22","-201","-20","-2271","2962","635"
"1015","-62","-227","-23","-2210","2748","728"
"1015","-91","-212","-25","-2164","2514","797"
"1016","-51","-169","-24","-2179","2338","800"
"1016","9","-128","-24","-2241","2291","700"
"1016","84","-80","-27","-2299","2418","480"
"1016","197","-37","-32","-2254","2679","154"
"1016","231","-37","-34","-2043","2938","-197"
"1017","227","-70","-33","-1738","3061","-440"
"1017","112","-123","-25","-1483","3045","-511"
"1017","70","-84","-29","-1359","2908","-458"
"1017","22","-58","-32","-1350","2637","-381"
"1017","-72","-179","-47","-1346","2275","-311"
"1017","-84","-402","-51","-1197","1723","-156"
"1018","32","-386","-24","-707","843","243"
"1018","137","-312","-13","-164","312","546"
"1018","121","-123","-19","353","7","622"
"1018","109","-3","-16","805","-307","595"
"1018","110","116","-17","1023","-547","510"
"1018","92","178","-6","998","-718","369"
"1018","97","177","-3","836","-790","202"
"1019","146","201","-3","620","-767","39"
"1019","332","251","-1","383","-674","-152"
"1019","396","267","-1","219","-520","-389"
"1019","419","222","1","199","-324","-670"
"1019","417","163","3","283","-101","-891"
"1019","372","212","12","364","110","-963"
"1020","295","245","10","354","331","-961"
"1020","206","206","8","215","507","-955"
"1020","60","92","5","62","578","-894"
"1020","20","60","2","-79","594","-798"
"1020","-4","59","-1","-169","564","-700"
"1020","-21","80","-1","-182","471","-647"
"1021","-65","208","-4","-140","333","-640"
"1021","-65","217","-3","-99","106","-677"
"1021","-42","186","2","-23","-148","-680"
"1021","34","56","20","65","-333","-617"
"1021","82","56","24","169","-395","-432"
"1021","140","230","27","257","-326","-211"
"1022","205","234","38","219","-84","-166"
"1022","178","302","36","107","311","-73"
"1022","104","375","36","-145","719","3"
"1022","4","373","34","-495","1010","27"
"1022","-182","160","27","-823","1097","16"
"1022","-222","83","24","-942","945","32"
"1022","-183","-272","34","-806","610","188"
"1023","-119","164","20","-497","260","445"
"1023","-122","206","18","-113","-116","212"
"1023","-115","218","15","200","-385","-138"
"1023","63","312","24","709","-638","-530"
"1023","15","30","19","1189","-682","-1133"
"1023","1","-77","9","1405","-525","-1366"
"1024","18","-118","4","1432","-356","-1164"
"1024","-2","251","-18","1119","-41","-522"
"1024","-6","322","-22","526","176","50"
"1024","7","348","-16","-161","250","378"
"1024","16","295","-7","-715","306","562"
"1024","-27","148","-7","-996","360","496"
"1025","6","20","5","-1000","416","320"
"1025","-10","-45","7","-892","513","279"
"1025","-60","-93","9","-635","526","285"
"1025","-89","-43","9","-329","478","299"
"1025","-95","35","8","-125","400","317"
"1025","-72","153","8","-75","320","314"
"1025","-33","207","7","-196","286","329"
"1026","-22","168","4","-408","312","357"
"1026","8","231","5","-579","386","400"
"1026","19","117","6","-735","508","399"
"1026","26","61","2","-860","640","428"
"1026","7","180","-3","-902","715","521"
"1026","-1","91","-8","-912","696","505"
"1026","-10","-13","-7","-888","648","518"
"1027","-32","-99","-8","-848","599","680"
"1027","-940","332","80","-722","496","925"
"1027","-66","-205","-76","-730","-194","1206"
"1027","-54","-92","-61","-854","-950","1444"
"1027","-500","179","17","-860","-934","1592"
"1028","129","-150","-54","-1081","-1481","1799"
"1028","237","139","118","-1071","-1576","1989"
"1028","589","-20","26","-683","-866","1719"
"1028","16","106","-15","-204","-429","1237"
"1028","-22","136","-7","-44","-349","1063"
"1028","-35","-19","-10","-76","-427","1087"
"1029","-136","166","-15","-116","-495","1256"
"1029","2","115","-9","-257","-540","1352"
"1029","-108","-1","-9","-405","-511","1463"
"1029","-36","112","-6","-586","-451","1624"
"1029","237","213","15","-827","-386","1776"
"1029","293","264","24","-904","-148","1699"
"1030","52","143","-6","-934","74","1445"
"1030","-56","83","-9","-949","93","1368"
"1030","-135","-57","-1","-942","18","1375"
"1030","-143","-288","-43","-757","-256","1445"
"1030","23","-6","7","-504","-762","1602"
"1030","8","307","19","-289","-1037","1613"
"1031","72","302","1","-437","-821","1413"
