Timer,AX,AY,AZ,GX,GY,GZ
"1005","-2","0","-30","0","-1","-1"
"1006","-2","0","-30","1","-2","-2"
"1014","-2","0","-29","1","-2","-2"
"1014","-2","0","-29","-1","-2","0"
"1026","-3","0","-31","-1","-2","0"
"1026","-3","0","-31","-1","1","0"
"1034","-3","0","-32","-1","1","0"
"1034","-3","0","-32","1","2","3"
"1042","-6","0","-30","1","2","3"
"1046","-6","0","-30","1","2","0"
"1055","-5","0","-28","1","2","0"
"1055","-5","0","-28","2","1","0"
"1063","-2","0","-29","2","1","0"
"1067","-2","0","-29","-1","2","2"
"1075","-3","-1","-32","-1","2","2"
"1075","-3","-1","-32","-2","2","0"
"1083","-5","0","-29","-2","2","0"
"1084","-5","0","-29","-1","3","-1"
"1096","-6","0","-32","-1","3","-1"
"1096","-6","0","-32","3","-1","0"
"1104","-4","0","-28","3","-1","0"
"1104","-4","0","-28","4","-1","1"
"1116","-1","1","-28","4","-1","1"
"1116","-1","1","-28","2","0","0"
"1124","-3","-1","-28","2","0","0"
"1124","-3","-1","-28","2","-1","0"
"1133","-4","0","-32","2","-1","0"
"1137","-4","0","-32","0","2","-1"
"1145","-4","0","-29","0","2","-1"
"1145","-4","0","-29","1","1","1"
"1153","-4","1","-33","1","1","1"
"1157","-4","1","-33","3","0","1"
"1165","-5","1","-28","3","0","1"
"1165","-5","1","-28","-1","-1","-1"
"1174","-3","0","-28","-1","-1","-1"
"1174","-3","0","-28","3","1","0"
"1186","-5","0","-31","3","1","0"
"1186","-5","0","-31","-1","1","-1"
"1194","-6","0","-29","-1","1","-1"
"1194","-6","0","-29","-2","-1","0"
"1206","-3","0","-29","-2","-1","0"
"1206","-3","0","-29","-4","1","0"
"1214","-4","0","-31","-4","1","0"
"1215","-4","0","-31","-1","0","-2"
"1223","-6","0","-28","-1","0","-2"
"1227","-6","0","-28","1","0","-2"
"1235","-4","1","-31","1","0","-2"
"1235","-4","1","-31","-1","0","2"
"1243","-5","-1","-28","-1","0","2"
"1247","-5","-1","-28","-1","0","0"
"1255","-4","0","-29","-1","0","0"
"1256","-4","0","-29","1","-1","-2"
"1264","-4","0","-30","1","-1","-2"
"1264","-4","0","-30","-2","0","-1"
"1276","-3","1","-32","-2","0","-1"
"1276","-3","1","-32","-3","4","-1"
"1284","-4","1","-35","-3","4","-1"
"1284","-4","1","-35","-2","1","-2"
"1296","-4","1","-30","-2","1","-2"
"1296","-4","1","-30","0","1","1"
"1305","-3","0","-29","0","1","1"
"1305","-3","0","-29","1","-1","-1"
"1313","-3","0","-29","1","-1","-1"
"1317","-3","0","-29","0","2","-2"
"1325","-3","0","-30","0","2","-2"
"1325","-3","0","-30","0","-3","-1"
"1333","-4","0","-31","0","-3","-1"
"1337","-4","0","-31","1","-1","-1"
"1346","-1","0","-27","1","-1","-1"
"1346","-1","0","-27","0","-2","2"
"1354","-2","-1","-27","0","-2","2"
"1354","-2","-1","-27","2","-2","1"
"1366","-5","0","-29","2","-2","1"
"1366","-5","0","-29","3","-1","2"
"1374","-4","0","-32","3","-1","2"
"1375","-4","0","-32","4","-1","-1"
"1386","-5","1","-32","4","-1","-1"
"1386","-5","1","-32","2","-1","1"
"1395","-4","0","-31","2","-1","1"
"1395","-4","0","-31","1","2","1"
"1403","-3","1","-29","1","2","1"
"1407","-3","1","-29","1","-1","-1"
"1415","-4","0","-29","1","-1","-1"
"1415","-4","0","-29","1","0","1"
"1423","-3","1","-29","1","0","1"
"1427","-3","1","-29","1","-2","0"
"1436","-3","1","-32","1","-2","0"
"1436","-3","1","-32","1","-3","1"
"1444","-3","0","-30","1","-3","1"
"1444","-3","0","-30","1","-1","-1"
"1456","-2","0","-31","1","-1","-1"
"1456","-2","0","-31","-1","0","1"
"1464","-3","0","-28","-1","0","1"
"1465","-3","0","-28","3","-2","1"
"1472","-4","0","-30","3","-2","1"
"1476","-4","0","-30","0","-1","-2"
"1485","-4","0","-32","0","-1","-2"
"1485","-4","0","-32","1","-1","1"
"1493","-4","0","-34","1","-1","1"
"1497","-4","0","-34","-1","-4","0"
"1505","-4","0","-28","-1","-4","0"
"1505","-4","0","-28","2","0","2"
"1513","-3","0","-30","2","0","2"
"1517","-3","0","-30","-1","2","1"
"1526","-3","1","-30","-1","2","1"
"1526","-3","1","-30","-2","-2","0"
"1534","-2","1","-30","-2","-2","0"
"1534","-2","1","-30","1","-1","-1"
"1546","-4","1","-32","1","-1","-1"
"1546","-4","1","-32","0","-1","0"
"1554","-2","0","-27","0","-1","0"
"1554","-2","0","-27","2","1","0"
"1563","-2","0","-29","2","1","0"
"1567","-2","0","-29","1","-1","1"
"1575","-5","0","-29","1","-1","1"
"1575","-5","0","-29","1","1","0"
"1583","-4","0","-31","1","1","0"
"1587","-4","0","-31","1","-1","2"
"1595","-3","0","-30","1","-1","2"
"1596","-3","0","-30","3","0","1"
"1604","-2","0","-31","3","0","1"
"1607","-2","0","-31","-1","1","2"
"1616","-4","0","-30","-1","1","2"
"1616","-4","0","-30","-3","1","1"
"1624","-4","-1","-30","-3","1","1"
"1624","-4","-1","-30","-5","-3","2"
"1636","-4","0","-33","-5","-3","2"
"1636","-4","0","-33","2","-1","2"
"1645","-3","0","-29","2","-1","2"
"1645","-3","0","-29","1","1","1"
"1657","-5","1","-27","1","1","1"
"1657","-5","1","-27","-1","-2","-1"
"1665","-3","0","-31","-1","-2","-1"
"1665","-3","0","-31","-1","1","-1"
"1673","-3","1","-29","-1","1","-1"
"1677","-3","1","-29","-2","-1","2"
"1685","-2","0","-30","-2","-1","2"
"1685","-2","0","-30","2","-1","-1"
"1694","-2","1","-29","2","-1","-1"
"1698","-2","1","-29","1","-2","0"
"1706","-4","-1","-28","1","-2","0"
"1706","-4","-1","-28","-2","0","0"
"1714","-4","-1","-30","-2","0","0"
"1715","-4","-1","-30","-1","-1","2"
"1727","-5","-1","-30","-1","-1","2"
"1727","-5","-1","-30","-2","1","-1"
"1735","-4","0","-34","-2","1","-1"
"1735","-4","0","-34","4","-2","2"
"1747","-3","0","-30","4","-2","2"
"1747","-3","0","-30","3","-3","-1"
"1755","-6","0","-29","3","-3","-1"
"1755","-6","0","-29","3","-2","0"
"1763","-2","0","-29","3","-2","0"
"1767","-2","0","-29","1","-1","-1"
"1776","-3","2","-29","1","-1","-1"
"1776","-3","2","-29","-1","-1","-1"
"1784","-4","0","-31","-1","-1","-1"
"1788","-4","0","-31","1","0","2"
"1796","-5","-1","-31","1","0","2"
"1796","-5","-1","-31","0","3","0"
"1805","-4","0","-28","0","3","0"
"1805","-4","0","-28","1","2","1"
"1817","-3","0","-28","1","2","1"
"1817","-3","0","-28","0","-1","2"
"1825","-4","1","-29","0","-1","2"
"1825","-4","1","-29","1","1","1"
"1837","-5","0","-32","1","1","1"
"1837","-5","0","-32","1","-2","-2"
"1845","-5","0","-29","1","-2","-2"
"1845","-5","0","-29","-2","0","1"
"1857","-5","-1","-29","-2","0","1"
"1858","-5","-1","-29","-1","-1","2"
"1866","-4","0","-28","-1","-1","2"
"1866","-4","0","-28","0","1","0"
"1874","-3","1","-29","0","1","0"
"1878","-3","1","-29","-1","3","1"
"1886","-2","0","-32","-1","3","1"
"1886","-2","0","-32","-2","0","0"
"1894","-4","0","-29","-2","0","0"
"1898","-4","0","-29","3","-2","-2"
"1907","-4","0","-28","3","-2","-2"
"1907","-4","0","-28","0","-2","-2"
"1915","-3","0","-28","0","-2","-2"
"1915","-3","0","-28","3","-3","1"
"1927","-4","0","-32","3","-3","1"
"1927","-4","0","-32","-1","-1","2"
"1936","-2","0","-32","-1","-1","2"
"1936","-2","0","-32","0","1","-1"
"1948","-1","0","-31","0","1","-1"
"1948","-1","0","-31","4","-1","0"
"1956","-5","0","-28","4","-1","0"
"1956","-5","0","-28","2","0","0"
"1964","-4","0","-29","2","0","0"
"1968","-4","0","-29","2","-2","-2"
"1976","-4","1","-29","2","-2","-2"
"1976","-4","1","-29","3","-1","1"
"1985","-3","1","-31","3","-1","1"
"1988","-3","1","-31","0","1","3"
"1997","-5","1","-29","0","1","3"
"1997","-5","1","-29","-2","-3","-2"
"2005","-5","0","-29","-2","-3","-2"
"2005","-5","0","-29","1","-2","-1"
"2017","-5","-1","-28","1","-2","-1"
"2017","-5","-1","-28","2","0","-2"
"2026","-5","0","-30","2","0","-2"
"2026","-5","0","-30","2","0","0"
"2038","-5","0","-30","2","0","0"
"2038","-5","0","-30","0","-1","-1"
"2046","-5","0","-30","0","-1","-1"
"2046","-5","0","-30","0","2","-1"
"2058","-5","0","-31","0","2","-1"
"2058","-5","0","-31","2","0","1"
"2066","-3","1","-29","2","0","1"
"2067","-3","1","-29","1","2","0"
"2075","-4","0","-29","1","2","0"
"2079","-4","0","-29","0","-1","0"
"2087","-4","0","-31","0","-1","0"
"2087","-4","0","-31","1","-1","-3"
"2095","-3","0","-29","1","-1","-3"
"2095","-3","0","-29","-1","0","1"
"2107","-3","-1","-30","-1","0","1"
"2108","-3","-1","-30","2","-1","0"
"2115","-3","0","-29","2","-1","0"
"2116","-3","0","-29","2","0","0"
"2128","-3","0","-29","2","0","0"
"2128","-3","0","-29","-1","0","3"
"2136","-2","0","-31","-1","0","3"
"2136","-2","0","-31","0","1","1"
"2144","-6","0","-31","0","1","1"
