Timer,X,Y,Z
"951","-11","1871","313"
"951","-11","1871","313"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1013","-12","1812","632"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1070","47","1817","523"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1132","5","1813","597"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1193","-44","1837","601"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1254","-25","1832","623"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1316","23","1837","607"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1377","-32","1843","575"
"1439","-17","1824","591"
"1439","-17","1824","591"
"1439","-17","1824","591"
