Timer,X,Y,Z
"953","4224","6812","2135"
"953","4224","6812","2135"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1014","4202","6848","929"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1071","4206","6871","1006"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1133","4213","6872","917"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1194","4218","6867","901"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1252","4220","6870","897"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1313","4243","6844","969"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1374","4237","6872","934"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1432","4243","6858","915"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1494","4264","6846","1018"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1555","4236","6888","915"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1612","4271","6857","893"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1674","4214","6886","972"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1731","4236","6870","899"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1792","4240","6884","894"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1854","4232","6871","1024"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1911","4219","6874","919"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"1973","4255","6883","928"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2030","4214","6870","808"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2091","4289","6856","954"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2153","4197","6878","905"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
"2210","4244","6865","947"
