Timer,AX,AY,AZ,GX,GY,GZ
"1001","-2","-2","-26","-2","1","0"
"1002","-2","-2","-26","1","3","-1"
"1009","-1","2","-29","1","3","-1"
"1009","-1","2","-29","-2","-1","1"
"1021","-1","5","-28","-2","-1","1"
"1021","-1","5","-28","0","2","-1"
"1030","0","0","-32","0","2","-1"
"1030","0","0","-32","-2","5","0"
"1038","-1","1","-29","-2","5","0"
"1042","-1","1","-29","2","2","0"
"1050","-1","1","-28","2","2","0"
"1051","-1","1","-28","-1","-1","0"
"1058","0","2","-28","-1","-1","0"
"1062","0","2","-28","-1","-2","0"
"1071","0","3","-27","-1","-2","0"
"1071","0","3","-27","-1","-2","1"
"1079","-3","1","-33","-1","-2","1"
"1079","-3","1","-33","-3","3","0"
"1091","-2","1","-27","-3","3","0"
"1091","-2","1","-27","-2","1","-1"
"1099","-1","1","-28","-2","1","-1"
"1099","-1","1","-28","-3","-1","0"
"1111","-2","4","-27","-3","-1","0"
"1111","-2","4","-27","0","2","1"
"1120","-1","4","-29","0","2","1"
"1120","-1","4","-29","3","1","1"
"1128","-1","2","-29","3","1","1"
"1132","-1","2","-29","2","0","-2"
"1140","-2","1","-31","2","0","-2"
"1140","-2","1","-31","-1","-1","0"
"1148","-1","3","-30","-1","-1","0"
"1152","-1","3","-30","-2","2","-2"
"1161","-2","2","-29","-2","2","-2"
"1162","-2","2","-29","0","2","1"
"1169","-2","3","-29","0","2","1"
"1169","-2","3","-29","-3","1","1"
"1181","0","1","-30","-3","1","1"
"1181","0","1","-30","-5","1","-1"
"1189","-1","2","-32","-5","1","-1"
"1189","-1","2","-32","-3","1","0"
"1201","0","1","-29","-3","1","0"
"1201","0","1","-29","-2","4","2"
"1209","-2","0","-28","-2","4","2"
"1210","-2","0","-28","-5","2","1"
"1218","0","2","-29","-5","2","1"
"1222","0","2","-29","2","1","1"
"1230","-1","2","-30","2","1","1"
"1230","-1","2","-30","1","1","-1"
"1238","-2","0","-31","1","1","-1"
"1242","-2","0","-31","0","-2","-1"
"1251","-1","1","-31","0","-2","-1"
"1251","-1","1","-31","-5","1","1"
"1259","-3","4","-27","-5","1","1"
"1259","-3","4","-27","-1","1","1"
"1271","-1","4","-27","-1","1","1"
"1271","-1","4","-27","-2","-2","1"
"1279","-1","0","-30","-2","-2","1"
"1279","-1","0","-30","-1","1","1"
"1291","-1","1","-31","-1","1","1"
"1291","-1","1","-31","0","0","0"
"1300","-2","2","-31","0","0","0"
"1300","-2","2","-31","1","-1","0"
"1308","-1","3","-30","1","-1","0"
"1312","-1","3","-30","-7","0","1"
"1320","0","2","-27","-7","0","1"
"1320","0","2","-27","-5","0","-1"
"1328","-2","0","-29","-5","0","-1"
"1332","-2","0","-29","0","2","1"
"1341","-1","3","-27","0","2","1"
"1341","-1","3","-27","-2","-1","-1"
"1349","-2","3","-29","-2","-1","-1"
"1353","-2","3","-29","1","-1","-1"
"1361","-1","0","-30","1","-1","-1"
"1361","-1","0","-30","-1","-2","3"
"1370","-2","2","-28","-1","-2","3"
"1370","-2","2","-28","0","-1","-1"
"1382","-2","3","-30","0","-1","-1"
"1382","-2","3","-30","-1","-1","2"
"1390","-2","5","-31","-1","-1","2"
"1390","-2","5","-31","-2","-1","1"
"1402","-1","2","-27","-2","-1","1"
"1402","-1","2","-27","-2","0","-2"
"1410","-1","1","-29","-2","0","-2"
"1411","-1","1","-29","-2","4","-1"
"1419","0","1","-29","-2","4","-1"
"1423","0","1","-29","2","-2","0"
"1431","-2","0","-30","2","-2","0"
"1431","-2","0","-30","-1","-1","-2"
"1439","-2","0","-30","-1","-1","-2"
"1439","-2","0","-30","0","1","-1"
"1451","-2","4","-32","0","1","-1"
"1452","-2","4","-32","-2","-1","2"
"1460","-2","4","-28","-2","-1","2"
"1460","-2","4","-28","3","0","2"
"1472","-1","2","-29","3","0","2"
"1472","-1","2","-29","4","-1","-2"
"1480","-1","0","-29","4","-1","-2"
"1480","-1","0","-29","-1","0","1"
"1488","-2","2","-28","-1","0","1"
"1492","-2","2","-28","0","1","1"
"1501","1","3","-27","0","1","1"
"1501","1","3","-27","5","0","1"
"1509","-2","1","-28","5","0","1"
"1513","-2","1","-28","1","-2","-1"
"1521","-2","1","-27","1","-2","-1"
"1521","-2","1","-27","3","-1","1"
"1529","0","1","-31","3","-1","1"
"1529","0","1","-31","0","4","2"
"1542","-4","3","-29","0","4","2"
"1542","-4","3","-29","1","1","2"
"1550","0","3","-27","1","1","2"
"1550","0","3","-27","2","1","2"
"1562","-1","2","-29","2","1","2"
"1562","-1","2","-29","2","2","1"
"1570","-2","3","-31","2","2","1"
"1570","-2","3","-31","1","1","1"
"1582","-1","3","-31","1","1","1"
"1583","-1","3","-31","-1","0","1"
"1591","-2","3","-28","-1","0","1"
"1591","-2","3","-28","-1","3","0"
"1599","0","1","-28","-1","3","0"
"1603","0","1","-28","-1","2","0"
"1611","0","2","-30","-1","2","0"
"1611","0","2","-30","0","0","2"
"1619","-2","2","-27","0","0","2"
"1623","-2","2","-27","4","0","1"
"1632","-2","3","-28","4","0","1"
"1632","-2","3","-28","-1","1","-1"
"1640","-2","1","-30","-1","1","-1"
"1640","-2","1","-30","1","2","0"
"1652","-1","3","-28","1","2","0"
"1652","-1","3","-28","5","0","0"
"1660","-1","1","-30","5","0","0"
"1661","-1","1","-30","2","-1","2"
"1672","-1","0","-29","2","-1","2"
"1673","-1","0","-29","1","0","0"
"1681","-1","0","-30","1","0","0"
"1681","-1","0","-30","2","0","1"
"1689","-1","3","-31","2","0","1"
"1693","-1","3","-31","0","0","0"
"1701","-1","1","-29","0","0","0"
"1701","-1","1","-29","-1","0","0"
"1710","-1","-1","-28","-1","0","0"
"1713","-1","-1","-28","-2","-1","-1"
"1722","0","1","-29","-2","-1","-1"
