Timer,X,Y,Z
"965","3360","9016","4660"
"965","3360","9016","4660"
"965","3360","9016","4660"
"965","3360","9016","4660"
"965","3360","9016","4660"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1026","3330","9006","4747"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1088","3301","8987","4789"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1145","3321","9022","4675"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1207","3348","9033","4785"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1268","3335","9014","4682"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1326","3356","9017","4754"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1387","2845","8961","1852"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1448","3366","9030","4709"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1506","3299","9041","4644"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1567","3358","9012","4693"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1629","3361","9032","4681"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1686","2847","8947","1866"
"1747","2902","8996","1873"
"1747","2902","8996","1873"
"1747","2902","8996","1873"
"1747","2902","8996","1873"
"1747","2902","8996","1873"
"1747","2902","8996","1873"
