Timer,X,Y,Z
"977","3382","9058","4733"
"977","3382","9058","4733"
"977","3382","9058","4733"
"977","3382","9058","4733"
"977","3382","9058","4733"
"977","3382","9058","4733"
"977","3382","9058","4733"
"977","3382","9058","4733"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1039","3313","9018","4737"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1096","3357","9035","4677"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1158","3337","9015","4664"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1219","3290","8983","4635"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1276","3325","8989","4792"
"1338","3385","9064","4792"
"1338","3385","9064","4792"
"1338","3385","9064","4792"
"1338","3385","9064","4792"
"1338","3385","9064","4792"
"1338","3385","9064","4792"
