Timer,AX,AY,AZ,GX,GY,GZ
"1002","9","2","-1","-2","2","0"
"1014","5","1","-1","-4","2","2"
"1022","5","1","-1","-2","0","1"
"1034","5","2","-1","-1","3","1"
"1043","8","1","-1","2","2","1"
"1055","6","0","-1","1","-2","-1"
"1063","6","0","-1","-3","-1","1"
"1071","6","0","-1","-1","-1","1"
"1084","5","1","-1","0","0","-1"
"1092","8","0","-1","-3","2","0"
"1104","7","1","-1","-3","0","2"
"1112","6","0","-1","0","2","1"
"1121","6","0","-1","-2","1","1"
"1133","8","0","-1","2","0","-2"
"1145","7","1","-1","-1","-1","-1"
"1154","8","0","-1","0","3","0"
"1166","7","1","-1","-1","-1","0"
"1170","7","1","-1","1","0","-1"
"1182","8","3","-1","-1","2","1"
"1194","8","1","-1","-4","5","2"
"1203","7","2","-1","-3","2","-1"
"1215","7","1","-1","-2","1","-1"
"1219","7","1","-1","0","0","-1"
"1235","8","2","-1","-2","2","0"
"1244","6","0","-1","-2","1","-1"
"1256","7","1","-1","-3","4","-1"
"1264","7","0","-1","-3","3","1"
"1272","7","0","-1","-2","2","0"
"1285","5","0","-1","0","1","0"
"1293","8","1","-1","-1","0","1"
"1305","6","0","-1","-3","-1","1"
"1313","5","0","-1","0","-1","1"
"1322","5","0","-1","-5","3","1"
"1334","8","0","-1","-3","0","-1"
"1346","6","2","-1","0","0","-1"
"1354","5","0","-1","1","0","0"
"1363","7","3","-1","0","1","-1"
"1371","7","3","-1","0","-2","0"
"1383","5","1","-1","-3","1","1"
"1395","5","2","-1","0","-2","1"
"1404","7","1","-1","-3","4","-2"
"1416","6","2","-1","-4","1","0"
"1420","6","2","-1","-3","1","0"
"1436","6","1","-1","-2","2","1"
"1444","7","1","-1","-2","-2","1"
"1453","6","0","-1","0","3","1"
"1465","6","0","-1","2","1","1"
"1473","6","0","-1","-1","1","2"
"1481","5","3","-1","-3","1","-1"
"1494","5","1","-1","2","2","0"
"1506","7","1","-1","2","0","1"
"1514","7","1","-1","1","2","0"
"1522","7","1","-1","0","-2","1"
"1535","7","2","-1","0","-1","1"
"1543","7","2","-1","0","1","0"
"1555","6","2","-1","3","-1","0"
"1563","7","2","-1","1","0","-2"
"1571","7","2","-1","3","-1","2"
"1580","8","0","-1","4","0","0"
"1596","5","2","-1","0","0","-1"
"1604","8","2","-1","2","1","0"
"1613","8","2","-1","2","0","-2"
"1621","6","1","-1","5","2","1"
"1633","5","0","-1","3","0","0"
"1645","8","1","-1","1","1","1"
"1653","7","1","-1","0","0","2"
"1665","6","2","-1","1","4","2"
"1670","5","3","-1","0","1","2"
"1678","8","1","-1","2","1","-2"
"1694","6","0","-1","1","3","-1"
"1702","7","2","-1","2","2","-3"
"1715","6","3","-1","1","2","-1"
"1719","6","0","-1","1","0","0"
"1735","6","1","-1","4","-2","0"
"1744","6","1","-1","2","0","-1"
"1752","6","1","-1","1","-1","3"
"1764","8","2","-1","3","-1","3"
"1768","8","1","-1","-1","-1","2"
"1780","5","1","-1","0","-2","-1"
"1793","7","1","-1","2","-2","1"
"1801","7","3","-1","3","1","0"
"1813","5","1","-1","3","1","-1"
"1817","6","0","-1","4","0","1"
"1830","8","3","-1","0","1","2"
"1842","6","1","-1","3","3","0"
"1850","7","1","-1","1","0","0"
"1862","7","2","-1","-2","0","-2"
"1870","7","0","-1","1","-1","-1"
"1878","6","2","-1","-1","-1","-2"
"1891","5","2","-1","-3","-1","-3"
"1899","5","0","-1","1","-1","0"
"1907","6","1","-1","2","2","0"
"1920","8","1","-1","2","-2","-1"
"1928","9","0","-1","1","2","0"
"1940","6","0","-1","-2","1","-1"
"1948","5","2","-1","1","2","-1"
"1960","7","2","-1","-1","-1","1"
"1969","7","0","-1","-3","3","1"
"1981","5","1","-1","4","3","1"
"1989","7","1","-1","2","1","-2"
"1997","6","2","-1","-1","3","0"
"2010","7","1","-1","-1","-1","2"
"2018","6","2","-1","4","0","0"
"2030","9","0","-1","0","-1","1"
"2038","6","2","-1","3","1","2"
"2050","5","3","-1","1","1","-1"
"2059","5","2","-1","-1","1","0"
"2071","9","0","-1","2","0","-1"
"2079","5","0","-1","-2","2","0"
"2088","7","1","-1","0","-1","-1"
"2100","5","0","-1","1","1","0"
"2108","6","0","-1","4","1","-1"
"2120","7","4","-1","3","3","0"
"2129","9","0","-1","1","-3","0"
"2140","6","2","-1","0","0","0"
"2149","9","0","-1","1","1","-1"
"2161","7","1","-1","-1","2","0"
"2169","7","1","-1","-2","2","-2"
"2177","7","1","-1","1","0","1"
"2190","7","1","-1","0","1","2"
"2198","4","1","-1","1","-1","1"
"2210","8","0","-1","0","-1","2"
"2219","5","1","-1","2","0","-1"
"2231","7","0","-1","1","0","2"
"2239","6","1","-1","-4","4","-1"
"2251","7","0","-1","-1","1","-2"
"2259","6","1","-1","-1","0","-2"
"2268","6","1","-1","2","0","0"
"2280","6","0","-1","1","-1","-1"
"2288","6","2","-1","-1","2","2"
"2300","7","2","-1","1","0","1"
"2309","5","0","-1","2","-1","-2"
"2321","8","3","-1","-1","1","0"
"2329","6","3","-1","-1","-3","-1"
"2341","8","1","-1","-1","-1","2"
"2350","6","1","-1","0","2","1"
"2361","7","0","-1","0","0","0"
"2370","7","1","-1","0","0","1"
"2379","6","0","-1","1","1","0"
"2390","6","1","-1","3","2","2"
"2399","6","2","-1","0","4","1"
"2411","7","2","-1","1","1","1"
"2419","6","3","-1","-4","0","2"
"2427","7","0","-1","-2","1","1"
"2440","6","2","-1","-2","0","-1"
"2448","5","2","-1","1","-2","-1"
"2460","7","3","-1","-1","0","1"
"2469","7","0","-1","-1","-1","2"
"2480","7","1","-1","2","0","1"
"2489","7","0","-1","-1","1","1"
"2501","4","1","-1","0","0","0"
"2510","9","2","-1","-1","-1","1"
"2518","5","2","-1","1","0","-3"
"2530","6","2","-1","0","-3","2"
"2538","5","1","-1","2","-1","3"
"2550","6","2","-1","2","2","1"
"2559","7","1","-1","2","1","4"
"2571","5","0","-1","-1","-3","2"
"2579","7","1","-1","0","0","-1"
"2591","7","1","-1","2","0","2"
"2599","7","0","-1","1","1","1"
"2608","7","1","-1","0","0","1"
"2620","6","1","-1","3","-1","3"
"2628","8","0","-1","-3","-1","0"
"2641","7","1","-1","0","2","-1"
"2649","7","3","-1","2","-1","0"
"2661","7","0","-1","0","-1","0"
"2669","9","1","-1","0","4","-1"
"2681","7","2","-1","-1","2","1"
"2690","7","2","-1","2","1","-1"
"2698","6","1","-1","2","0","0"
"2710","5","1","-1","-1","1","1"
"2718","5","2","-1","-1","0","0"
"2731","7","2","-1","-2","4","2"
"2739","7","1","-1","2","0","1"
"2751","6","0","-1","0","-1","0"
"2759","5","1","-1","-1","0","0"
"2771","5","1","-1","-1","1","-1"
"2780","6","0","-1","-2","1","2"
"2788","7","1","-1","0","1","-2"
"2800","8","1","-1","0","0","1"
"2809","5","1","-1","-1","1","-1"
"2821","5","0","-1","-4","-1","0"
"2829","6","1","-1","1","0","0"
"2841","7","1","-1","-1","0","1"
"2849","5","1","-1","2","1","1"
"2861","7","2","-1","1","-2","1"
"2870","5","2","-1","0","3","1"
"2878","8","0","-1","2","2","0"
"2890","6","1","-1","-2","2","-1"
"2898","8","1","-1","-3","-1","-2"
"2911","7","0","-1","1","-2","-1"
"2919","8","2","-1","-1","2","-1"
"2931","5","0","-1","-4","0","0"
"2939","5","1","-1","2","-4","0"
"2948","8","1","-1","0","-1","0"
"2960","6","2","-1","1","0","-2"
"2968","7","1","-1","1","1","-1"
"2980","6","2","-1","0","-1","-2"
"2989","6","2","-1","-1","-2","2"
"3001","6","0","-1","0","2","-1"
"3009","9","1","-1","1","2","1"
"3012","7","2","-1","-1","2","-1"
