Timer,AX,AY,AZ,GX,GY,GZ,A
"19","1","1","-2","1","1","-2","0.3125"
"19","1","1","-2","1","1","-2","0.3125"
"25","2","0","-2","2","0","-2","0.3125"
"26","2","0","-2","2","0","-2","0.3125"
"35","1","0","-2","1","0","-2","0.3125"
"35","1","0","-2","1","0","-2","0.3125"
"44","-3","0","-2","-3","0","-2","0.3125"
"44","-3","0","-2","-3","0","-2","0.3125"
"51","0","-1","-2","0","-1","-2","0.3125"
"51","0","-1","-2","0","-1","-2","0.3125"
"59","4","1","-2","4","1","-2","0.3125"
"59","4","1","-2","4","1","-2","0.3125"
"65","3","1","-2","3","1","-2","0.3125"
"65","3","1","-2","3","1","-2","0.3125"
"71","3","1","-2","3","1","-2","0.3125"
"71","3","1","-2","3","1","-2","0.3125"
"77","1","2","-2","1","2","-2","0.3125"
"77","1","2","-2","1","2","-2","0.3125"
"83","1","1","-2","1","1","-2","0.3125"
"83","1","1","-2","1","1","-2","0.3125"
"89","-1","1","-2","-1","1","-2","0.3125"
"89","-1","1","-2","-1","1","-2","0.3125"
"94","-2","0","-2","-2","0","-2","0.3125"
"94","-2","0","-2","-2","0","-2","0.3125"
"100","-1","-2","-2","-1","-2","-2","0.3125"
"100","-1","-2","-2","-1","-2","-2","0.3125"
"106","-3","2","-2","-3","2","-2","0.3125"
"106","-3","2","-2","-3","2","-2","0.3125"
"111","-2","3","-2","-2","3","-2","0.3125"
"111","-2","3","-2","-2","3","-2","0.3125"
"117","-3","4","-2","-3","4","-2","0.3125"
"117","-3","4","-2","-3","4","-2","0.3125"
"123","2","1","-2","2","1","-2","0.3125"
"123","2","1","-2","2","1","-2","0.3125"
"130","2","1","-2","2","1","-2","0.3125"
"130","2","1","-2","2","1","-2","0.3125"
"137","0","2","-2","0","2","-2","0.3125"
"137","0","2","-2","0","2","-2","0.3125"
"144","-4","0","-2","-4","0","-2","0.3125"
"144","-4","0","-2","-4","0","-2","0.3125"
"151","2","-1","-2","2","-1","-2","0.3125"
"151","2","-1","-2","2","-1","-2","0.3125"
"158","-2","1","-2","-2","1","-2","0.3125"
"159","-2","1","-2","-2","1","-2","0.3125"
"164","0","2","-2","0","2","-2","0.3125"
"164","0","2","-2","0","2","-2","0.3125"
"170","1","2","-2","1","2","-2","0.3125"
"170","1","2","-2","1","2","-2","0.3125"
"175","-1","0","-2","-1","0","-2","0.3125"
"175","-1","0","-2","-1","0","-2","0.3125"
"181","-3","2","-2","-3","2","-2","0.3125"
"181","-3","2","-2","-3","2","-2","0.3125"
"187","-1","-1","-2","-1","-1","-2","0.3125"
"187","-1","-1","-2","-1","-1","-2","0.3125"
"193","1","0","-2","1","0","-2","0.3125"
"193","1","0","-2","1","0","-2","0.3125"
"199","-1","-1","-2","-1","-1","-2","0.3125"
"199","-1","-1","-2","-1","-1","-2","0.3125"
"204","3","0","-2","3","0","-2","0.3125"
"204","3","0","-2","3","0","-2","0.3125"
"210","-1","0","-2","-1","0","-2","0.3125"
"210","-1","0","-2","-1","0","-2","0.3125"
"216","1","-2","-2","1","-2","-2","0.3125"
"216","1","-2","-2","1","-2","-2","0.3125"
"222","0","-1","-2","0","-1","-2","0.3125"
"222","0","-1","-2","0","-1","-2","0.3125"
"228","-1","-2","-2","-1","-2","-2","0.3125"
"228","-1","-2","-2","-1","-2","-2","0.3125"
"234","1","-1","-2","1","-1","-2","0.3125"
"234","1","-1","-2","1","-1","-2","0.3125"
"241","-2","4","-2","-2","4","-2","0.3125"
"241","-2","4","-2","-2","4","-2","0.3125"
"249","-2","-4","-2","-2","-4","-2","0.3125"
