Timer,X,Y,Z
"975","6494","4430","4783"
"975","6494","4430","4783"
"975","6494","4430","4783"
"975","6494","4430","4783"
"1036","6426","4652","-353"
"1036","6426","4652","-353"
"1036","6426","4652","-353"
"1036","6426","4652","-353"
"1036","6426","4652","-353"
"1036","6426","4652","-353"
"1093","6424","4418","4872"
"1093","6424","4418","4872"
"1093","6424","4418","4872"
"1093","6424","4418","4872"
"1093","6424","4418","4872"
"1093","6424","4418","4872"
"1155","6360","4726","-315"
"1155","6360","4726","-315"
"1155","6360","4726","-315"
"1155","6360","4726","-315"
"1155","6360","4726","-315"
"1155","6360","4726","-315"
"1216","6461","4397","4904"
"1216","6461","4397","4904"
"1216","6461","4397","4904"
"1216","6461","4397","4904"
"1216","6461","4397","4904"
"1216","6461","4397","4904"
"1278","6320","4717","-324"
"1278","6320","4717","-324"
"1278","6320","4717","-324"
"1278","6320","4717","-324"
"1278","6320","4717","-324"
"1278","6320","4717","-324"
"1335","6362","4666","-291"
"1335","6362","4666","-291"
"1335","6362","4666","-291"
"1335","6362","4666","-291"
"1335","6362","4666","-291"
"1335","6362","4666","-291"
"1335","6362","4666","-291"
"1397","6409","4422","4823"
"1397","6409","4422","4823"
"1397","6409","4422","4823"
"1397","6409","4422","4823"
"1397","6409","4422","4823"
"1458","6408","4658","-315"
"1458","6408","4658","-315"
"1458","6408","4658","-315"
"1458","6408","4658","-315"
"1458","6408","4658","-315"
"1458","6408","4658","-315"
"1515","6296","4718","-268"
"1515","6296","4718","-268"
"1515","6296","4718","-268"
"1515","6296","4718","-268"
"1515","6296","4718","-268"
"1515","6296","4718","-268"
"1515","6296","4718","-268"
"1577","6324","4670","-326"
"1577","6324","4670","-326"
"1577","6324","4670","-326"
"1577","6324","4670","-326"
"1577","6324","4670","-326"
"1577","6324","4670","-326"
"1638","6285","4696","-255"
"1638","6285","4696","-255"
"1638","6285","4696","-255"
"1638","6285","4696","-255"
"1638","6285","4696","-255"
"1638","6285","4696","-255"
"1700","6370","4697","-319"
"1700","6370","4697","-319"
"1700","6370","4697","-319"
"1700","6370","4697","-319"
"1700","6370","4697","-319"
"1700","6370","4697","-319"
"1757","6324","4672","-370"
"1757","6324","4672","-370"
"1757","6324","4672","-370"
"1757","6324","4672","-370"
"1757","6324","4672","-370"
"1757","6324","4672","-370"
"1818","6412","4687","-337"
"1818","6412","4687","-337"
"1818","6412","4687","-337"
"1818","6412","4687","-337"
"1818","6412","4687","-337"
"1818","6412","4687","-337"
"1880","6401","4688","-335"
"1880","6401","4688","-335"
"1880","6401","4688","-335"
"1880","6401","4688","-335"
"1880","6401","4688","-335"
"1933","6402","4676","-400"
"1933","6402","4676","-400"
"1933","6402","4676","-400"
"1933","6402","4676","-400"
"1933","6402","4676","-400"
"1933","6402","4676","-400"
"1995","6320","4470","4828"
"1995","6320","4470","4828"
"1995","6320","4470","4828"
"1995","6320","4470","4828"
"1995","6320","4470","4828"
"1995","6320","4470","4828"
"1995","6320","4470","4828"
"2056","6351","4448","4869"
"2056","6351","4448","4869"
"2056","6351","4448","4869"
"2056","6351","4448","4869"
"2056","6351","4448","4869"
"2113","6427","4443","4814"
"2113","6427","4443","4814"
"2113","6427","4443","4814"
"2113","6427","4443","4814"
"2113","6427","4443","4814"
"2113","6427","4443","4814"
"2175","6380","4636","-285"
"2175","6380","4636","-285"
"2175","6380","4636","-285"
"2175","6380","4636","-285"
"2175","6380","4636","-285"
"2175","6380","4636","-285"
"2175","6380","4636","-285"
"2236","6361","4463","4905"
"2236","6361","4463","4905"
"2236","6361","4463","4905"
"2236","6361","4463","4905"
"2236","6361","4463","4905"
"2236","6361","4463","4905"
"2301","5931","4653","-47"
"2301","5931","4653","-47"
"2301","5931","4653","-47"
"2301","5931","4653","-47"
"2301","5931","4653","-47"
"2301","5931","4653","-47"
"2359","6422","4415","4904"
"2359","6422","4415","4904"
"2359","6422","4415","4904"
"2359","6422","4415","4904"
"2359","6422","4415","4904"
"2359","6422","4415","4904"
"2421","6404","4419","4833"
"2421","6404","4419","4833"
"2421","6404","4419","4833"
"2421","6404","4419","4833"
"2421","6404","4419","4833"
"2421","6404","4419","4833"
"2482","6276","4697","-341"
"2482","6276","4697","-341"
"2482","6276","4697","-341"
"2482","6276","4697","-341"
"2482","6276","4697","-341"
"2482","6276","4697","-341"
"2543","6434","4650","-312"
"2543","6434","4650","-312"
"2543","6434","4650","-312"
"2543","6434","4650","-312"
"2543","6434","4650","-312"
"2543","6434","4650","-312"
"2605","6224","4681","-173"
"2605","6224","4681","-173"
"2605","6224","4681","-173"
"2605","6224","4681","-173"
"2605","6224","4681","-173"
"2605","6224","4681","-173"
"2605","6224","4681","-173"
"2666","6308","4692","-278"
"2666","6308","4692","-278"
"2666","6308","4692","-278"
"2666","6308","4692","-278"
"2666","6308","4692","-278"
"2723","6225","4692","-220"
"2723","6225","4692","-220"
"2723","6225","4692","-220"
"2723","6225","4692","-220"
"2723","6225","4692","-220"
"2723","6225","4692","-220"
"2785","6363","4619","-297"
"2785","6363","4619","-297"
"2785","6363","4619","-297"
"2785","6363","4619","-297"
"2785","6363","4619","-297"
"2785","6363","4619","-297"
"2785","6363","4619","-297"
"2846","6317","4476","4745"
"2846","6317","4476","4745"
"2846","6317","4476","4745"
"2846","6317","4476","4745"
"2846","6317","4476","4745"
"2846","6317","4476","4745"
"2908","6352","4661","-246"
"2908","6352","4661","-246"
"2908","6352","4661","-246"
"2908","6352","4661","-246"
"2908","6352","4661","-246"
"2965","6301","4647","-260"
