Timer,AX,AY,AZ,GX,GY,GZ
"1004","-2","5","-1","0","0","1"
"1011","-1","4","-1","2","1","-2"
"1023","-3","4","-1","0","-1","0"
"1031","-1","3","-1","0","-1","0"
"1043","-3","4","-1","-2","2","-1"
"1052","-2","5","-1","0","1","1"
"1064","-1","5","-1","0","2","2"
"1072","-1","2","-1","0","1","-1"
"1080","-1","2","-1","0","1","-1"
"1093","-1","4","-1","-1","-1","1"
"1101","-4","4","-1","0","-1","-3"
"1113","-4","4","-1","1","-1","-1"
"1121","-3","3","-1","1","-1","-1"
"1130","-3","3","-1","-3","-1","-1"
"1142","-4","6","-1","-2","-2","0"
"1154","-4","6","-1","1","-1","3"
"1163","-3","3","-1","2","-1","0"
"1171","-1","4","-1","-1","1","0"
"1179","-1","4","-1","-1","1","0"
"1191","-2","4","-1","0","0","2"
"1203","0","4","-1","0","-2","0"
"1211","-2","5","-1","0","-2","0"
"1224","-1","4","-1","-1","2","1"
"1228","-1","4","-1","-1","0","2"
"1244","-2","5","-1","2","1","0"
"1253","-4","4","-1","0","-1","2"
"1261","0","4","-1","0","-1","2"
"1273","-2","4","-1","1","2","-1"
"1281","-2","4","-1","0","0","0"
"1294","-4","4","-1","-1","-3","0"
"1302","-3","3","-1","1","-4","0"
"1314","-3","3","-1","0","-1","-1"
"1322","-2","6","-1","1","0","2"
"1330","-2","6","-1","-1","0","0"
"1343","-1","3","-1","1","0","-4"
"1355","-2","4","-1","-1","0","-2"
"1363","-3","4","-1","1","3","-1"
"1371","-2","4","-1","-1","1","2"
"1380","-2","4","-1","-3","0","2"
"1392","-2","5","-1","0","-2","1"
"1404","-1","4","-1","-2","-2","0"
"1412","-3","3","-1","-2","2","1"
"1424","-2","6","-1","1","1","2"
"1429","-2","6","-1","0","2","-1"
"1445","-2","4","-1","-2","1","-1"
"1453","-2","4","-1","1","1","1"
"1461","-4","2","-1","-1","-4","2"
"1474","0","2","-1","-1","-2","1"
"1482","0","2","-1","-1","0","3"
"1494","-3","4","-1","2","2","1"
"1502","-1","6","-1","0","0","2"
"1515","-1","3","-1","1","0","-1"
"1523","-3","4","-1","0","1","1"
"1531","-3","4","-1","-1","0","2"
"1543","-4","3","-1","-1","-1","0"
"1551","-4","2","-1","-1","1","1"
"1564","-1","4","-1","0","0","1"
"1572","-2","4","-1","1","0","1"
"1580","-2","4","-1","1","0","0"
"1593","0","6","-1","2","-1","-1"
"1604","0","6","-1","3","-2","1"
"1613","-2","5","-1","-1","1","2"
"1625","-1","4","-1","1","-1","0"
"1629","-1","4","-1","2","-2","0"
"1645","-3","2","-1","0","-2","0"
"1654","-3","4","-1","-1","-1","0"
"1662","-2","3","-1","-1","3","0"
"1675","-2","2","-1","2","-1","-1"
"1682","-2","2","-1","0","2","-2"
"1695","-3","5","-1","1","1","1"
"1703","-2","7","-1","2","2","1"
"1715","-3","3","-1","2","-3","-3"
"1724","-4","4","-1","0","2","1"
"1732","-4","4","-1","-2","2","-1"
"1744","-4","4","-1","2","0","0"
"1752","-3","3","-1","2","0","-2"
"1764","-2","5","-1","4","-1","-2"
"1773","-2","4","-1","1","0","0"
"1781","-2","4","-1","-2","2","-2"
"1793","-1","2","-1","0","-1","-4"
"1805","-2","5","-1","-3","-2","2"
"1814","-2","6","-1","-2","-1","1"
"1826","-2","5","-1","2","-1","0"
"1830","-2","5","-1","0","1","1"
"1842","-3","5","-1","2","-1","0"
"1855","-4","5","-1","-1","0","0"
"1863","-3","4","-1","-1","1","-2"
"1875","-3","4","-1","-1","0","0"
"1883","-3","4","-1","0","1","2"
"1896","-2","4","-1","1","-2","-2"
"1904","-2","3","-1","0","0","0"
"1916","-1","3","-1","-1","1","-2"
"1924","-3","3","-1","3","1","-2"
"1932","-3","3","-1","-2","-3","1"
"1945","-2","4","-1","-3","2","-2"
"1953","-4","6","-1","-1","-1","-2"
"1965","0","4","-1","1","-2","-2"
"1973","-3","5","-1","0","0","-1"
"1982","-3","5","-1","0","0","-1"
"1994","-2","4","-1","-3","-1","-3"
"2006","-4","5","-1","-1","2","-1"
"2014","-4","2","-1","1","1","1"
"2026","-1","3","-1","-3","2","-1"
"2031","-1","3","-1","-3","1","-1"
"2043","-3","4","-1","-2","-3","1"
"2056","-1","6","-1","-2","0","1"
"2063","-2","4","-1","-3","3","1"
"2076","-5","5","-1","0","1","0"
"2084","-5","5","-1","1","-2","-1"
"2096","-3","4","-1","1","0","0"
"2104","-3","4","-1","2","2","0"
"2116","-3","2","-1","-1","1","1"
"2125","-4","4","-1","1","0","-2"
"2133","-4","4","-1","4","1","1"
"2141","-3","4","-1","0","2","-3"
"2154","-1","5","-1","1","2","1"
"2166","-3","4","-1","-1","1","-1"
"2174","-2","6","-1","0","0","-1"
"2182","-2","6","-1","1","-1","1"
"2195","-2","4","-1","0","0","1"
