Timer,X,Y,Z
"992","2759","8943","1865"
"992","2759","8943","1865"
"992","2759","8943","1865"
"992","2759","8943","1865"
"992","2759","8943","1865"
"992","2759","8943","1865"
"992","2759","8943","1865"
"992","2759","8943","1865"
"992","2759","8943","1865"
"992","2759","8943","1865"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1053","3235","8994","4648"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1114","3280","9006","4678"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1176","3264","8996","4638"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1233","3221","8982","4729"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1295","3242","9017","4718"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1356","3192","8998","4639"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1413","3231","9016","4664"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1471","2750","8940","1869"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1532","3234","9016","4682"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1594","3252","9006","4719"
"1655","3236","9030","4684"
"1655","3236","9030","4684"
"1655","3236","9030","4684"
"1655","3236","9030","4684"
"1655","3236","9030","4684"
"1655","3236","9030","4684"
"1655","3236","9030","4684"
"1655","3236","9030","4684"
