Timer,X,Y,Z
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"995","3316","3871","4182"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1056","3326","3868","4167"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1114","3308","3872","4271"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1175","3306","3872","4213"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1236","3324","3852","4195"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1294","3343","3863","4251"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1355","3312","3847","4244"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1417","3310","3872","4256"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1474","3341","3866","4305"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1536","3349","3864","4212"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1597","3323","3865","4175"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1654","3322","3855","4243"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1716","3330","3884","4247"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1777","3322","3884","4200"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1834","3325","3868","4207"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1896","3353","3860","4223"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"1957","3336","3869","4254"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2015","3341","3847","4290"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2076","3314","3840","4332"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2137","3363","3844","4338"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2195","3378","3842","4422"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2256","3149","4158","46"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2318","3289","3959","4146"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2375","3314","3974","4230"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2437","3271","4027","4150"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2498","3342","3985","4209"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2555","3319","4025","4163"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2617","3342","4084","4106"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2678","3300","4103","4173"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
"2736","3298","4111","4127"
