Timer,AX,AY,AZ,GX,GY,GZ
"1001","3,114","-0,886","-23,886","-2,121","2,049","1,041"
"1002","3,114","-0,886","-23,886","-0,121","0,049","0,041"
"1009","6,114","-1,886","-24,886","-0,121","0,049","0,041"
"1009","6,114","-1,886","-24,886","-0,121","1,049","0,041"
"1021","5,114","-0,886","-29,886","-0,121","1,049","0,041"
"1021","5,114","-0,886","-29,886","1,879","3,049","-1,959"
"1029","3,114","-2,886","-29,886","1,879","3,049","-1,959"
"1030","3,114","-2,886","-29,886","-0,121","2,049","-1,959"
"1038","0,114","-2,886","-28,886","-0,121","2,049","-1,959"
"1041","0,114","-2,886","-28,886","2,879","0,049","0,041"
"1050","5,114","-0,886","-31,886","2,879","0,049","0,041"
"1050","5,114","-0,886","-31,886","-0,121","1,049","-0,959"
"1058","5,114","-3,886","-20,886","-0,121","1,049","-0,959"
"1062","5,114","-3,886","-20,886","-1,121","2,049","-0,959"
"1070","1,114","-0,886","-27,886","-1,121","2,049","-0,959"
"1070","1,114","-0,886","-27,886","-0,121","2,049","1,041"
"1078","5,114","-2,886","-31,886","-0,121","2,049","1,041"
"1078","5,114","-2,886","-31,886","-2,121","5,049","-1,959"
"1091","8,114","-0,886","-22,886","-2,121","5,049","-1,959"
"1091","8,114","-0,886","-22,886","-0,121","3,049","-0,959"
"1099","1,114","-0,886","-30,886","-0,121","3,049","-0,959"
"1099","1,114","-0,886","-30,886","-1,121","4,049","1,041"
"1111","5,114","-4,886","-23,886","-1,121","4,049","1,041"
"1111","5,114","-4,886","-23,886","-2,121","1,049","1,041"
"1119","9,114","-1,886","-25,886","-2,121","1,049","1,041"
"1119","9,114","-1,886","-25,886","-2,121","0,049","1,041"
"1128","4,114","-1,886","-27,886","-2,121","0,049","1,041"
"1132","4,114","-1,886","-27,886","-3,121","3,049","0,041"
"1140","5,114","-2,886","-21,886","-3,121","3,049","0,041"
"1140","5,114","-2,886","-21,886","3,879","-0,951","0,041"
"1148","2,114","2,114","-25,886","3,879","-0,951","0,041"
"1148","2,114","2,114","-25,886","0,879","2,049","0,041"
"1160","6,114","-5,886","-23,886","0,879","2,049","0,041"
"1160","6,114","-5,886","-23,886","-3,121","1,049","0,041"
"1168","9,114","-4,886","-24,886","-3,121","1,049","0,041"
"1168","9,114","-4,886","-24,886","0,879","2,049","3,041"
"1181","2,114","1,114","-29,886","0,879","2,049","3,041"
"1181","2,114","1,114","-29,886","-1,121","-0,951","-0,959"
"1189","2,114","-2,886","-24,886","-1,121","-0,951","-0,959"
"1189","2,114","-2,886","-24,886","-0,121","1,049","-1,959"
"1197","9,114","-2,886","-23,886","-0,121","1,049","-1,959"
"1201","9,114","-2,886","-23,886","0,879","1,049","0,041"
"1209","6,114","-2,886","-26,886","0,879","1,049","0,041"
"1209","6,114","-2,886","-26,886","-1,121","5,049","-0,959"
"1218","5,114","-4,886","-24,886","-1,121","5,049","-0,959"
"1221","5,114","-4,886","-24,886","1,879","3,049","0,041"
"1230","8,114","-0,886","-26,886","1,879","3,049","0,041"
"1230","8,114","-0,886","-26,886","1,879","-2,951","0,041"
"1238","3,114","-0,886","-38,886","1,879","-2,951","0,041"
"1238","3,114","-0,886","-38,886","1,879","1,049","-0,959"
"1250","1,114","-1,886","-25,886","1,879","1,049","-0,959"
"1250","1,114","-1,886","-25,886","-0,121","-0,951","0,041"
"1259","5,114","-0,886","-27,886","-0,121","-0,951","0,041"
"1259","5,114","-0,886","-27,886","0,879","1,049","-0,959"
"1271","2,114","0,114","-28,886","0,879","1,049","-0,959"
"1271","2,114","0,114","-28,886","-0,121","0,049","0,041"
"1279","7,114","-1,886","-30,886","-0,121","0,049","0,041"
"1279","7,114","-1,886","-30,886","-1,121","3,049","2,041"
"1287","4,114","-2,886","-24,886","-1,121","3,049","2,041"
"1291","4,114","-2,886","-24,886","-0,121","2,049","-0,959"
"1299","3,114","2,114","-20,886","-0,121","2,049","-0,959"
"1299","3,114","2,114","-20,886","2,879","2,049","0,041"
"1308","6,114","3,114","-28,886","2,879","2,049","0,041"
"1312","6,114","3,114","-28,886","-0,121","-0,951","-1,959"
"1320","5,114","-0,886","-24,886","-0,121","-0,951","-1,959"
"1320","5,114","-0,886","-24,886","-2,121","-0,951","2,041"
"1328","3,114","-1,886","-25,886","-2,121","-0,951","2,041"
"1328","3,114","-1,886","-25,886","-2,121","0,049","-3,959"
"1340","5,114","-3,886","-28,886","-2,121","0,049","-3,959"
"1340","5,114","-3,886","-28,886","2,879","0,049","1,041"
"1349","3,114","1,114","-24,886","2,879","0,049","1,041"
"1349","3,114","1,114","-24,886","3,879","0,049","0,041"
"1361","6,114","-2,886","-23,886","3,879","0,049","0,041"
"1361","6,114","-2,886","-23,886","-0,121","0,049","-0,959"
"1369","3,114","0,114","-26,886","-0,121","0,049","-0,959"
"1370","3,114","0,114","-26,886","-0,121","1,049","1,041"
"1377","4,114","-1,886","-25,886","-0,121","1,049","1,041"
"1381","4,114","-1,886","-25,886","-2,121","1,049","-1,959"
"1390","2,114","-1,886","-24,886","-2,121","1,049","-1,959"
"1390","2,114","-1,886","-24,886","-1,121","0,049","-0,959"
"1398","4,114","-5,886","-25,886","-1,121","0,049","-0,959"
"1402","4,114","-5,886","-25,886","-4,121","0,049","-0,959"
"1410","2,114","-2,886","-28,886","-4,121","0,049","-0,959"
"1410","2,114","-2,886","-28,886","-2,121","1,049","2,041"
"1419","2,114","-0,886","-26,886","-2,121","1,049","2,041"
"1419","2,114","-0,886","-26,886","1,879","-0,951","-0,959"
"1431","6,114","-4,886","-25,886","1,879","-0,951","-0,959"
"1431","6,114","-4,886","-25,886","-1,121","-1,951","1,041"
"1439","1,114","-2,886","-27,886","-1,121","-1,951","1,041"
"1439","1,114","-2,886","-27,886","-0,121","0,049","-2,959"
"1451","8,114","-1,886","-29,886","-0,121","0,049","-2,959"
"1451","8,114","-1,886","-29,886","-4,121","2,049","1,041"
"1460","8,114","0,114","-23,886","-4,121","2,049","1,041"
"1460","8,114","0,114","-23,886","0,879","-2,951","-1,959"
"1468","1,114","1,114","-28,886","0,879","-2,951","-1,959"
"1472","1,114","1,114","-28,886","0,879","2,049","3,041"
"1480","7,114","-3,886","-24,886","0,879","2,049","3,041"
"1480","7,114","-3,886","-24,886","-1,121","2,049","-0,959"
"1488","4,114","-0,886","-26,886","-1,121","2,049","-0,959"
"1492","4,114","-0,886","-26,886","2,879","-1,951","-1,959"
"1501","4,114","-1,886","-24,886","2,879","-1,951","-1,959"
"1501","4,114","-1,886","-24,886","1,879","0,049","-1,959"
"1508","2,114","-3,886","-25,886","1,879","0,049","-1,959"
"1509","2,114","-3,886","-25,886","0,879","0,049","0,041"
"1521","3,114","-2,886","-30,886","0,879","0,049","0,041"
"1521","3,114","-2,886","-30,886","1,879","-1,951","-0,959"
"1529","6,114","-0,886","-27,886","1,879","-1,951","-0,959"
"1529","6,114","-0,886","-27,886","-1,121","-0,951","0,041"
"1541","8,114","-3,886","-21,886","-1,121","-0,951","0,041"
"1541","8,114","-3,886","-21,886","-0,121","1,049","-0,959"
"1550","7,114","-2,886","-26,886","-0,121","1,049","-0,959"
"1550","7,114","-2,886","-26,886","1,879","-2,951","1,041"
"1558","2,114","-0,886","-30,886","1,879","-2,951","1,041"
"1562","2,114","-0,886","-30,886","4,879","-1,951","0,041"
"1570","8,114","-2,886","-21,886","4,879","-1,951","0,041"
"1570","8,114","-2,886","-21,886","-1,121","0,049","-1,959"
"1578","1,114","-1,886","-22,886","-1,121","0,049","-1,959"
"1582","1,114","-1,886","-22,886","-2,121","0,049","0,041"
"1590","3,114","-0,886","-30,886","-2,121","0,049","0,041"
"1591","3,114","-0,886","-30,886","-5,121","-0,951","-1,959"
"1598","11,114","-0,886","-23,886","-5,121","-0,951","-1,959"
"1599","11,114","-0,886","-23,886","-3,121","2,049","-1,959"
"1611","-1,886","1,114","-30,886","-3,121","2,049","-1,959"
"1611","-1,886","1,114","-30,886","1,879","0,049","-0,959"
"1619","4,114","-2,886","-20,886","1,879","0,049","-0,959"
"1619","4,114","-2,886","-20,886","-4,121","2,049","-0,959"
"1631","-5,886","-0,886","-29,886","-4,121","2,049","-0,959"
"1631","-5,886","-0,886","-29,886","-1,121","0,049","0,041"
"1640","-13,886","0,114","-26,886","-1,121","0,049","0,041"
"1640","-13,886","0,114","-26,886","-0,121","0,049","-2,959"
"1652","-17,886","-1,886","-35,886","-0,121","0,049","-2,959"
"1653","-17,886","-1,886","-35,886","-2,121","-1,951","-1,959"
"1660","-10,886","1,114","-22,886","-2,121","-1,951","-1,959"
"1660","-10,886","1,114","-22,886","-0,121","-3,951","0,041"
"1668","-7,886","-2,886","-25,886","-0,121","-3,951","0,041"
"1672","-7,886","-2,886","-25,886","-2,121","-5,951","-0,959"
"1681","-25,886","7,114","-43,886","-2,121","-5,951","-0,959"
"1681","-25,886","7,114","-43,886","0,879","-5,951","-1,959"
"1689","-5,886","-2,886","-28,886","0,879","-5,951","-1,959"
"1693","-5,886","-2,886","-28,886","-6,121","-13,951","-1,959"
"1701","2,114","4,114","-24,886","-6,121","-13,951","-1,959"
"1701","2,114","4,114","-24,886","-2,121","-15,951","-1,959"
"1710","30,114","-5,886","-10,886","-2,121","-15,951","-1,959"
"1710","30,114","-5,886","-10,886","-8,121","-11,951","-2,959"
"1721","16,114","-23,886","-26,886","-8,121","-11,951","-2,959"
"1722","16,114","-23,886","-26,886","-4,121","-10,951","0,041"
"1730","76,114","20,114","-12,886","-4,121","-10,951","0,041"
"1730","76,114","20,114","-12,886","7,879","-6,951","-0,959"
"1742","93,114","14,114","-7,886","7,879","-6,951","-0,959"
"1742","93,114","14,114","-7,886","-0,121","5,049","-2,959"
"1750","73,114","-30,886","-11,886","-0,121","5,049","-2,959"
"1750","73,114","-30,886","-11,886","-12,121","15,049","0,041"
"1758","24,114","-1,886","-31,886","-12,121","15,049","0,041"
"1762","24,114","-1,886","-31,886","-12,121","15,049","0,041"
"1771","3,114","-24,886","-45,886","-12,121","15,049","0,041"
"1771","3,114","-24,886","-45,886","-1,121","21,049","-4,959"
"1779","15,114","-27,886","-31,886","-1,121","21,049","-4,959"
"1783","15,114","-27,886","-31,886","6,879","10,049","-1,959"
"1791","21,114","8,114","-60,886","6,879","10,049","-1,959"
"1791","21,114","8,114","-60,886","10,879","4,049","2,041"
"1799","135,114","-11,886","44,114","10,879","4,049","2,041"
"1803","135,114","-11,886","44,114","4,879","9,049","1,041"
"1811","61,114","-16,886","-5,886","4,879","9,049","1,041"
"1811","61,114","-16,886","-5,886","-1,121","37,049","7,041"
"1820","-58,886","-48,886","-67,886","-1,121","37,049","7,041"
"1820","-58,886","-48,886","-67,886","3,879","33,049","11,041"
"1832","-75,886","137,114","-61,886","3,879","33,049","11,041"
"1832","-75,886","137,114","-61,886","33,879","29,049","6,041"
"1841","-93,886","18,114","-64,886","33,879","29,049","6,041"
"1841","-93,886","18,114","-64,886","-18,121","17,049","-12,959"
"1853","-84,886","-73,886","-24,886","-18,121","17,049","-12,959"
"1853","-84,886","-73,886","-24,886","-11,121","5,049","-22,959"
"1861","-63,886","163,114","-80,886","-11,121","5,049","-22,959"
"1861","-63,886","163,114","-80,886","-11,121","5,049","-22,959"
"1869","-78,886","115,114","-70,886","-11,121","5,049","-22,959"
"1873","-78,886","115,114","-70,886","-4,121","-5,951","-27,959"
"1882","-21,886","-60,886","-13,886","-4,121","-5,951","-27,959"
"1882","-21,886","-60,886","-13,886","-48,121","-21,951","-26,959"
"1890","27,114","-46,886","-0,886","-48,121","-21,951","-26,959"
"1893","27,114","-46,886","-0,886","6,879","-21,951","-20,959"
"1902","-25,886","16,114","-75,886","6,879","-21,951","-20,959"
"1902","-25,886","16,114","-75,886","-4,121","-9,951","-24,959"
"1910","-25,886","16,114","-75,886","-4,121","-9,951","-24,959"
"1910","-25,886","16,114","-75,886","-4,121","-9,951","-24,959"
"1922","92,114","-47,886","30,114","-4,121","-9,951","-24,959"
"1922","92,114","-47,886","30,114","8,879","-4,951","-28,959"
"1930","65,114","-58,886","-47,886","8,879","-4,951","-28,959"
"1930","65,114","-58,886","-47,886","-8,121","-5,951","-31,959"
"1943","171,114","-96,886","54,114","-8,121","-5,951","-31,959"
"1943","171,114","-96,886","54,114","-12,121","-10,951","-38,959"
"1951","54,114","13,114","-3,886","-12,121","-10,951","-38,959"
"1951","54,114","13,114","-3,886","29,879","25,049","-37,959"
"1959","37,114","-32,886","-11,886","29,879","25,049","-37,959"
"1960","37,114","-32,886","-11,886","29,879","25,049","-37,959"
"1972","36,114","69,114","-24,886","29,879","25,049","-37,959"
"1972","36,114","69,114","-24,886","-7,121","17,049","-30,959"
"1980","-20,886","50,114","-72,886","-7,121","17,049","-30,959"
"1984","-20,886","50,114","-72,886","-12,121","18,049","-27,959"
"1992","-8,886","-67,886","-24,886","-12,121","18,049","-27,959"
"1992","-8,886","-67,886","-24,886","-20,121","5,049","-27,959"
"2000","18,114","57,114","-14,886","-20,121","5,049","-27,959"
"2000","18,114","57,114","-14,886","30,879","0,049","-32,959"
"2008","18,114","57,114","-14,886","30,879","0,049","-32,959"
"2012","18,114","57,114","-14,886","30,879","0,049","-32,959"
"2021","3,114","18,114","-46,886","30,879","0,049","-32,959"
"2021","3,114","18,114","-46,886","4,879","0,049","-34,959"
"2033","57,114","68,114","-41,886","4,879","0,049","-34,959"
"2033","57,114","68,114","-41,886","9,879","-16,951","-39,959"
"2041","83,114","98,114","-19,886","9,879","-16,951","-39,959"
"2041","83,114","98,114","-19,886","5,879","-17,951","-39,959"
"2050","59,114","-36,886","-12,886","5,879","-17,951","-39,959"
"2053","59,114","-36,886","-12,886","-58,121","-8,951","-37,959"
"2062","59,114","-36,886","-12,886","-58,121","-8,951","-37,959"
"2062","59,114","-36,886","-12,886","-58,121","-8,951","-37,959"
"2070","77,114","41,114","-16,886","-58,121","-8,951","-37,959"
"2074","77,114","41,114","-16,886","-8,121","-4,951","-40,959"
"2082","19,114","4,114","-36,886","-8,121","-4,951","-40,959"
"2082","19,114","4,114","-36,886","-14,121","9,049","-45,959"
"2090","37,114","-46,886","-16,886","-14,121","9,049","-45,959"
"2094","37,114","-46,886","-16,886","-14,121","3,049","-55,959"
"2102","35,114","4,114","-44,886","-14,121","3,049","-55,959"
"2102","35,114","4,114","-44,886","5,879","-0,951","-54,959"
"2111","35,114","4,114","-44,886","5,879","-0,951","-54,959"
"2111","35,114","4,114","-44,886","5,879","-0,951","-54,959"
"2119","-5,886","-14,886","-51,886","5,879","-0,951","-54,959"
"2123","-5,886","-14,886","-51,886","-6,121","-1,951","-55,959"
"2131","111,114","38,114","6,114","-6,121","-1,951","-55,959"
"2131","111,114","38,114","6,114","23,879","-16,951","-55,959"
"2139","80,114","20,114","-21,886","23,879","-16,951","-55,959"
"2143","80,114","20,114","-21,886","8,879","-4,951","-53,959"
"2151","95,114","8,114","-30,886","8,879","-4,951","-53,959"
"2152","95,114","8,114","-30,886","-1,121","-5,951","-51,959"
"2160","95,114","8,114","-30,886","-1,121","-5,951","-51,959"
"2160","95,114","8,114","-30,886","-1,121","-5,951","-51,959"
"2172","97,114","59,114","9,114","-1,121","-5,951","-51,959"
"2172","97,114","59,114","9,114","16,879","5,049","-52,959"
"2180","75,114","-54,886","-26,886","16,879","5,049","-52,959"
"2184","75,114","-54,886","-26,886","-23,121","2,049","-51,959"
"2192","89,114","30,114","12,114","-23,121","2,049","-51,959"
"2193","89,114","30,114","12,114","30,879","19,049","-52,959"
"2201","21,114","-6,886","-74,886","30,879","19,049","-52,959"
"2201","21,114","-6,886","-74,886","-17,121","5,049","-57,959"
"2209","21,114","-6,886","-74,886","-17,121","5,049","-57,959"
"2209","21,114","-6,886","-74,886","-17,121","5,049","-57,959"
"2221","106,114","-6,886","27,114","-17,121","5,049","-57,959"
"2221","106,114","-6,886","27,114","-6,121","-8,951","-57,959"
"2233","116,114","-42,886","18,114","-6,121","-8,951","-57,959"
"2233","116,114","-42,886","18,114","-35,121","-15,951","-61,959"
"2242","43,114","-66,886","-16,886","-35,121","-15,951","-61,959"
"2242","43,114","-66,886","-16,886","-23,121","-1,951","-59,959"
"2250","14,114","-32,886","-67,886","-23,121","-1,951","-59,959"
"2254","14,114","-32,886","-67,886","6,879","-7,951","-63,959"
"2258","14,114","-32,886","-67,886","6,879","-7,951","-63,959"
"2262","14,114","-32,886","-67,886","6,879","-7,951","-63,959"
"2270","85,114","-7,886","-2,886","6,879","-7,951","-63,959"
"2270","85,114","-7,886","-2,886","9,879","-15,951","-70,959"
"2283","70,114","-44,886","-24,886","9,879","-15,951","-70,959"
"2283","70,114","-44,886","-24,886","-5,121","-4,951","-77,959"
"2291","138,114","-40,886","25,114","-5,121","-4,951","-77,959"
"2291","138,114","-40,886","25,114","22,879","1,049","-79,959"
"2303","67,114","8,114","-29,886","22,879","1,049","-79,959"
"2303","67,114","8,114","-29,886","20,879","9,049","-77,959"
"2311","67,114","8,114","-29,886","20,879","9,049","-77,959"
"2312","67,114","8,114","-29,886","20,879","9,049","-77,959"
"2320","67,114","-9,886","-29,886","20,879","9,049","-77,959"
"2320","67,114","-9,886","-29,886","-1,121","4,049","-74,959"
"2332","41,114","22,114","-25,886","-1,121","4,049","-74,959"
"2332","41,114","22,114","-25,886","12,879","-3,951","-70,959"
"2340","67,114","12,114","-28,886","12,879","-3,951","-70,959"
"2344","67,114","12,114","-28,886","-0,121","-6,951","-62,959"
"2352","47,114","10,114","-39,886","-0,121","-6,951","-62,959"
"2352","47,114","10,114","-39,886","-4,121","-2,951","-54,959"
"2360","47,114","10,114","-39,886","-4,121","-2,951","-54,959"
"2361","47,114","10,114","-39,886","-4,121","-2,951","-54,959"
"2369","42,114","-5,886","-38,886","-4,121","-2,951","-54,959"
"2373","42,114","-5,886","-38,886","-13,121","-10,951","-49,959"
"2381","89,114","16,114","-40,886","-13,121","-10,951","-49,959"
"2385","89,114","16,114","-40,886","6,879","-14,951","-44,959"
"2393","77,114","11,114","-34,886","6,879","-14,951","-44,959"
"2393","77,114","11,114","-34,886","-22,121","-7,951","-47,959"
"2401","85,114","-90,886","-17,886","-22,121","-7,951","-47,959"
"2406","85,114","-90,886","-17,886","-23,121","-9,951","-45,959"
"2410","85,114","-90,886","-17,886","-23,121","-9,951","-45,959"
"2410","85,114","-90,886","-17,886","-23,121","-9,951","-45,959"
"2418","67,114","-9,886","7,114","-23,121","-9,951","-45,959"
"2422","67,114","-9,886","7,114","20,879","0,049","-39,959"
"2434","37,114","-29,886","-29,886","20,879","0,049","-39,959"
"2434","37,114","-29,886","-29,886","-13,121","-2,951","-41,959"
"2442","67,114","-56,886","-41,886","-13,121","-2,951","-41,959"
"2442","67,114","-56,886","-41,886","-18,121","-4,951","-39,959"
"2450","65,114","6,114","-44,886","-18,121","-4,951","-39,959"
"2454","65,114","6,114","-44,886","19,879","-3,951","-34,959"
"2459","65,114","6,114","-44,886","19,879","-3,951","-34,959"
"2463","65,114","6,114","-44,886","19,879","-3,951","-34,959"
"2471","44,114","30,114","-25,886","19,879","-3,951","-34,959"
"2471","44,114","30,114","-25,886","12,879","0,049","-31,959"
"2483","60,114","-73,886","-35,886","12,879","0,049","-31,959"
"2483","60,114","-73,886","-35,886","0,879","-2,951","-27,959"
"2492","49,114","22,114","-40,886","0,879","-2,951","-27,959"
"2492","49,114","22,114","-40,886","43,879","-0,951","-30,959"
"2504","60,114","-24,886","-5,886","43,879","-0,951","-30,959"
"2504","60,114","-24,886","-5,886","-2,121","-5,951","-28,959"
"2508","60,114","-24,886","-5,886","-2,121","-5,951","-28,959"
"2512","60,114","-24,886","-5,886","-2,121","-5,951","-28,959"
"2520","49,114","-77,886","-17,886","-2,121","-5,951","-28,959"
"2520","49,114","-77,886","-17,886","-28,121","-4,951","-29,959"
"2532","28,114","82,114","-57,886","-28,121","-4,951","-29,959"
"2533","28,114","82,114","-57,886","19,879","-2,951","-30,959"
"2541","45,114","-32,886","-10,886","19,879","-2,951","-30,959"
"2545","45,114","-32,886","-10,886","-27,121","-1,951","-26,959"
"2553","56,114","-33,886","15,114","-27,121","-1,951","-26,959"
"2553","56,114","-33,886","15,114","1,879","-2,951","-24,959"
"2561","56,114","-33,886","15,114","1,879","-2,951","-24,959"
"2561","56,114","-33,886","15,114","1,879","-2,951","-24,959"
"2569","13,114","-19,886","-40,886","1,879","-2,951","-24,959"
"2569","13,114","-19,886","-40,886","2,879","-2,951","-26,959"
"2582","20,114","-48,886","-22,886","2,879","-2,951","-26,959"
"2585","20,114","-48,886","-22,886","15,879","-1,951","-34,959"
"2594","-33,886","17,114","-43,886","15,879","-1,951","-34,959"
"2594","-33,886","17,114","-43,886","46,879","-2,951","-38,959"
"2602","-7,886","108,114","-73,886","46,879","-2,951","-38,959"
"2606","-7,886","108,114","-73,886","42,879","-11,951","-38,959"
"2610","-7,886","108,114","-73,886","42,879","-11,951","-38,959"
"2610","-7,886","108,114","-73,886","42,879","-11,951","-38,959"
"2618","-1,886","25,114","-41,886","42,879","-11,951","-38,959"
"2623","-1,886","25,114","-41,886","-15,121","-12,951","-32,959"
"2631","-6,886","163,114","-40,886","-15,121","-12,951","-32,959"
"2635","-6,886","163,114","-40,886","18,879","-21,951","-29,959"
"2643","-3,886","-3,886","-40,886","18,879","-21,951","-29,959"
"2644","-3,886","-3,886","-40,886","-67,121","-30,951","-27,959"
"2651","73,114","-98,886","5,114","-67,121","-30,951","-27,959"
"2656","73,114","-98,886","5,114","-76,121","-36,951","-32,959"
"2660","73,114","-98,886","5,114","-76,121","-36,951","-32,959"
"2663","73,114","-98,886","5,114","-76,121","-36,951","-32,959"
"2672","4,114","-57,886","-96,886","-76,121","-36,951","-32,959"
"2672","4,114","-57,886","-96,886","-16,121","-27,951","-37,959"
"2684","133,114","-3,886","68,114","-16,121","-27,951","-37,959"
"2684","133,114","-3,886","68,114","21,879","-28,951","-60,959"
"2692","-4,886","-26,886","-70,886","21,879","-28,951","-60,959"
"2696","-4,886","-26,886","-70,886","21,879","-28,951","-60,959"
"2704","5,114","-48,886","-16,886","21,879","-28,951","-60,959"
"2704","5,114","-48,886","-16,886","-16,121","-4,951","-61,959"
"2709","5,114","-48,886","-16,886","-16,121","-4,951","-61,959"
"2713","5,114","-48,886","-16,886","-4,121","-6,951","-67,959"
"2721","-27,886","-21,886","-52,886","-4,121","-6,951","-67,959"
"2721","-27,886","-21,886","-52,886","31,879","2,049","-70,959"
"2733","79,114","-8,886","-18,886","31,879","2,049","-70,959"
"2733","79,114","-8,886","-18,886","8,879","-12,951","-72,959"
"2742","77,114","24,114","8,114","8,879","-12,951","-72,959"
"2746","77,114","24,114","8,114","24,879","-9,951","-69,959"
"2754","-20,886","-22,886","9,114","24,879","-9,951","-69,959"
"2754","-20,886","-22,886","9,114","-8,121","0,049","-64,959"
"2762","-20,886","-22,886","9,114","-8,121","0,049","-64,959"
"2762","-20,886","-22,886","9,114","-8,121","0,049","-64,959"
"2770","16,114","-74,886","-8,886","-8,121","0,049","-64,959"
"2771","16,114","-74,886","-8,886","-0,121","-16,951","-62,959"
"2783","11,114","-86,886","-49,886","-0,121","-16,951","-62,959"
"2783","11,114","-86,886","-49,886","39,879","-1,951","-56,959"
"2795","-36,886","-105,886","-34,886","39,879","-1,951","-56,959"
"2795","-36,886","-105,886","-34,886","-10,121","-8,951","-62,959"
"2803","-110,886","187,114","-122,886","-10,121","-8,951","-62,959"
"2807","-110,886","187,114","-122,886","14,879","-15,951","-65,959"
"2811","-110,886","187,114","-122,886","14,879","-15,951","-65,959"
"2811","-110,886","187,114","-122,886","94,879","-2,951","-67,959"
"2819","90,114","31,114","34,114","94,879","-2,951","-67,959"
"2819","90,114","31,114","34,114","10,879","-22,951","-64,959"
"2832","48,114","-5,886","-29,886","10,879","-22,951","-64,959"
"2836","48,114","-5,886","-29,886","-27,121","-4,951","-56,959"
"2844","20,114","-17,886","-10,886","-27,121","-4,951","-56,959"
"2844","20,114","-17,886","-10,886","14,879","-20,951","-45,959"
"2852","32,114","-47,886","1,114","14,879","-20,951","-45,959"
"2856","32,114","-47,886","1,114","-3,121","-6,951","-42,959"
"2860","32,114","-47,886","1,114","-3,121","-6,951","-42,959"
"2861","32,114","-47,886","1,114","-1,121","-14,951","-46,959"
"2869","-8,886","5,114","-39,886","-1,121","-14,951","-46,959"
"2873","-8,886","5,114","-39,886","28,879","-15,951","-44,959"
"2885","48,114","-83,886","2,114","28,879","-15,951","-44,959"
"2885","48,114","-83,886","2,114","27,879","-6,951","-40,959"
"2893","-12,886","-99,886","-12,886","27,879","-6,951","-40,959"
"2897","-12,886","-99,886","-12,886","-46,121","-21,951","-43,959"
"2905","54,114","-55,886","-4,886","-46,121","-21,951","-43,959"
