Timer,AX,AY,AZ,GX,GY,GZ,A
"20","-2","1","-24","1","0","-1","270.8125"
"24","-2","1","-24","1","1","-1","270.8125"
"33","-2","4","-29","1","1","-1","270.8125"
"33","-2","4","-29","1","-1","-1","270.8125"
"41","0","0","-28","1","-1","-1","270.8125"
"41","0","0","-28","1","-2","-1","270.8125"
"53","-4","1","-29","1","-2","-1","270.8125"
"54","-4","1","-29","-1","0","-1","270.8125"
"57","-4","1","-29","-1","0","-1","270.8125"
"61","-4","1","-29","0","-2","-1","270.8125"
"70","-3","1","-33","0","-2","-1","270.8125"
"74","-3","1","-33","-2","2","-1","270.8125"
"78","-3","1","-33","-2","2","-1","270.8125"
"82","-3","1","-33","-1","2","-1","270.8125"
"90","-2","0","-20","-1","2","-1","270.8125"
"94","-2","0","-20","-1","2","-1","270.8125"
"103","0","0","-26","-1","2","-1","270.8125"
"103","0","0","-26","-1","1","-1","270.8125"
"110","0","0","-26","-1","1","-1","270.8125"
"111","0","0","-26","0","-1","-1","270.8125"
"123","-6","0","-29","0","-1","-1","270.8125"
"123","-6","0","-29","3","1","-1","270.8125"
"131","-6","0","-29","3","1","-1","270.8125"
"131","-6","0","-29","4","2","-1","270.8125"
"143","0","-1","-23","4","2","-1","270.8125"
"143","0","-1","-23","0","1","-1","270.8125"
"152","-2","5","-27","0","1","-1","270.8125"
"152","-2","5","-27","-3","0","-1","270.8125"
"160","-2","5","-27","-3","0","-1","270.8125"
"160","-2","5","-27","-1","-1","-1","270.8125"
"172","0","-1","-26","-1","-1","-1","270.8125"
"172","0","-1","-26","-2","0","-1","270.8125"
"180","0","-1","-26","-2","0","-1","270.8125"
"181","0","-1","-26","1","1","-1","270.8125"
"193","-2","3","-25","1","1","-1","270.8125"
"193","-2","3","-25","2","1","-1","270.8125"
"201","-6","5","-29","2","1","-1","270.8125"
"205","-6","5","-29","-1","0","-1","270.8125"
"209","-6","5","-29","-1","0","-1","270.8125"
"209","-6","5","-29","0","-4","-1","270.8125"
"221","-2","1","-25","0","-4","-1","270.8125"
"222","-2","1","-25","3","-1","-1","270.8125"
