Timer,AX,AY,AZ,GX,GY,GZ,A
"55","-1","-6","-25","-2","2","1","267"
"55","0","-6","-24","-2","2","1","267"
"55","0","-6","-24","-2","1","1","267"
"55","1","1","-27","-2","1","1","267"
"55","1","1","-27","4","0","1","267"
"56","0","-5","-25","4","0","1","267"
"56","0","-5","-25","0","1","1","267"
"56","0","-3","-26","0","1","1","267"
"56","0","-3","-26","0","-1","1","267"
"56","2","5","-24","0","-1","1","267"
"56","2","5","-24","2","-2","1","267"
"56","4","-1","-26","2","-2","1","267"
"56","4","-1","-26","2","2","1","267"
"56","-1","0","-26","2","2","1","267"
"56","-1","0","-26","-2","0","1","267"
"56","0","-3","-24","-2","0","1","267"
"56","0","-3","-24","-2","2","1","267"
"57","0","3","-27","-2","2","1","267"
"57","0","3","-27","-3","-1","1","267"
"57","0","0","-25","-3","-1","1","267"
"57","0","0","-25","-3","-2","1","267"
"57","0","0","-26","-3","-2","1","267"
"57","0","0","-26","-3","0","1","267"
"57","-1","0","-27","-3","0","1","267"
"57","-1","0","-27","-2","0","1","267"
"57","0","-1","-23","-2","0","1","267"
"57","0","-1","-23","1","-1","1","267"
"57","0","2","-26","1","-1","1","267"
"58","0","2","-26","3","1","1","267"
"58","1","-2","-24","3","1","1","267"
"58","1","-2","-24","2","2","1","267"
"58","2","0","-23","2","2","1","267"
"58","2","0","-23","0","3","1","267"
"58","0","1","-25","0","3","1","267"
"58","0","1","-25","3","-1","1","267"
"58","0","-7","-25","3","-1","1","267"
"58","0","-7","-25","0","-3","1","267"
"58","2","-2","-26","0","-3","1","267"
"59","2","-2","-26","5","-1","1","267"
"59","1","0","-23","5","-1","1","267"
"59","1","0","-23","1","0","1","267"
"59","0","-2","-24","1","0","1","267"
"59","0","-2","-24","-4","1","1","267"
"59","2","1","-23","-4","1","1","267"
"59","2","1","-23","0","0","1","267"
"60","1","0","-26","0","0","1","267"
"60","1","0","-26","1","-2","1","267"
"60","0","1","-26","1","-2","1","267"
"60","0","1","-26","1","0","1","267"
"60","2","-2","-24","1","0","1","267"
"60","2","-2","-24","1","0","1","267"
"60","2","-8","-26","1","0","1","267"
"61","2","-8","-26","-1","1","1","267"
"61","1","12","-29","-1","1","1","267"
"61","1","12","-29","4","2","1","267"
"61","0","-4","-26","4","2","1","267"
"61","0","-4","-26","-4","0","1","267"
"61","-1","-11","-23","-4","0","1","267"
"61","-1","-11","-23","-3","4","1","267"
"61","-1","6","-25","-3","4","1","267"
"61","-1","6","-25","-3","4","1","267"
"62","0","-1","-24","-3","4","1","267"
"62","0","-1","-24","2","1","1","267"
"62","-3","-2","-27","2","1","1","267"
"62","-3","-2","-27","-2","2","1","267"
"62","0","7","-24","-2","2","1","267"
"62","0","7","-24","-3","-1","1","267"
"62","1","-5","-23","-3","-1","1","267"
"62","1","-5","-23","-7","0","1","267"
"62","0","3","-26","-7","0","1","267"
"62","0","3","-26","-7","0","1","267"
"62","0","1","-25","-7","0","1","267"
"63","0","1","-25","-1","0","1","267"
"63","4","-3","-22","-1","0","1","267"
"63","4","-3","-22","0","0","1","267"
"63","3","3","-25","0","0","1","267"
"63","3","3","-25","3","2","1","267"
"63","4","1","-21","3","2","1","267"
"63","4","1","-21","0","0","1","267"
"63","4","1","-21","0","0","1","267"
"63","4","1","-21","0","0","1","267"
"63","1","0","-24","0","0","1","267"
"63","1","0","-24","2","-1","1","267"
"63","4","-1","-24","2","-1","1","267"
"64","4","-1","-24","-2","-1","1","267"
"64","1","-1","-24","-2","-1","1","267"
"64","1","-1","-24","-1","0","1","267"
"64","0","1","-25","-1","0","1","267"
"64","0","1","-25","4","-1","1","267"
"64","0","1","-25","4","-1","1","267"
"64","0","1","-25","4","-1","1","267"
"64","-2","-3","-27","4","-1","1","267"
"64","-2","-3","-27","0","1","1","267"
"64","0","3","-25","0","1","1","267"
"64","0","3","-25","3","0","1","267"
"64","-4","-2","-24","3","0","1","267"
"65","-4","-2","-24","-1","-1","1","267"
"65","-4","-1","-27","-1","-1","1","267"
"65","-4","-1","-27","0","-2","1","267"
"65","-4","-1","-27","0","-2","1","267"
"65","-4","-1","-27","0","-2","1","267"
"65","-1","4","-26","0","-2","1","267"
"65","-1","4","-26","0","-1","1","267"
"65","-1","0","-27","0","-1","1","267"
"65","-1","0","-27","0","-1","1","267"
"65","2","-4","-26","0","-1","1","267"
"65","2","-4","-26","0","-1","1","267"
"65","2","1","-25","0","-1","1","267"
"66","2","1","-25","0","-1","1","267"
"66","2","1","-25","0","-1","1","267"
"66","2","1","-25","2","2","1","267"
"66","1","-3","-22","2","2","1","267"
"66","1","-3","-22","-2","0","1","267"
"66","0","-3","-26","-2","0","1","267"
"66","0","-3","-26","0","-1","1","267"
"66","2","-1","-25","0","-1","1","267"
"66","2","-1","-25","0","1","1","267"
"66","0","0","-24","0","1","1","267"
"66","0","0","-24","1","-2","1","267"
"66","0","0","-24","1","-2","1","267"
"67","0","0","-24","2","0","1","267"
"67","0","1","-26","2","0","1","267"
"67","0","1","-26","2","-1","1","267"
"67","3","0","-26","2","-1","1","267"
"67","3","0","-26","2","-1","1","267"
"67","0","0","-27","2","-1","1","267"
"67","0","0","-27","3","-2","1","267"
"67","-1","3","-28","3","-2","1","267"
"67","-1","3","-28","0","0","1","267"
"67","-1","3","-28","0","0","1","267"
"67","-1","3","-28","4","-1","1","267"
"68","-4","-2","-26","4","-1","1","267"
"68","-4","-2","-26","1","1","1","267"
"68","3","-1","-25","1","1","1","267"
"68","3","-1","-25","1","0","1","267"
"68","4","6","-24","1","0","1","267"
"68","4","6","-24","1","1","1","267"
"68","0","-1","-25","1","1","1","267"
"68","0","-1","-25","2","2","1","267"
"68","0","-1","-25","2","2","1","267"
"68","0","-1","-25","0","2","1","267"
"68","-1","-1","-25","0","2","1","267"
"68","-1","-1","-25","0","0","1","267"
"69","3","-1","-28","0","0","1","267"
"69","3","-1","-28","0","-1","1","267"
"69","4","1","-24","0","-1","1","267"
"69","4","1","-24","-1","1","1","267"
"69","0","0","-26","-1","1","1","267"
"69","0","0","-26","-2","0","1","267"
"69","0","0","-26","-2","0","1","267"
"69","0","0","-26","-4","1","1","267"
"69","0","-4","-23","-4","1","1","267"
"69","0","-4","-23","-3","2","1","267"
"69","0","-2","-26","-3","2","1","267"
"69","0","-2","-26","-4","-1","1","267"
"70","0","-1","-26","-4","-1","1","267"
"70","0","-1","-26","-2","-1","1","267"
"70","0","-1","-27","-2","-1","1","267"
"70","0","-1","-27","1","-1","1","267"
"70","0","-1","-27","1","-1","1","267"
"70","0","-1","-27","0","-2","1","267"
"70","2","-1","-25","0","-2","1","267"
"70","2","-1","-25","0","-1","1","267"
"70","-1","-2","-27","0","-1","1","267"
"70","-1","-2","-27","-1","0","1","267"
"70","0","2","-27","-1","0","1","267"
"70","0","2","-27","0","-1","1","267"
"71","0","1","-25","0","-1","1","267"
"73","0","1","-25","4","-2","1","267"
"73","0","1","-25","4","-2","1","267"
"73","0","1","-25","-1","-1","1","267"
"73","-2","-1","-26","-1","-1","1","267"
"73","-2","-1","-26","-2","-2","1","267"
"73","1","1","-25","-2","-2","1","267"
"73","1","1","-25","3","-1","1","267"
"73","-1","-4","-27","3","-1","1","267"
"73","-1","-4","-27","-4","1","1","267"
"74","3","3","-22","-4","1","1","267"
"74","3","3","-22","-3","-2","1","267"
