Timer,AX,AY,AZ,GX,GY,GZ,A
"51","12","1","-6","0","2","6","224,4375"
"51","12","1","-6","2","-4","6","224,375"
"51","-21","36","-36","2","-4","6","224,375"
"51","-21","36","-36","10","-3","6","224,375"
"51","-21","36","-36","10","-3","6","224,375"
"52","-21","36","-36","10","-3","6","224,375"
"52","-3","74","-33","10","-3","6","224,375"
"52","-3","74","-33","13","-2","6","224,3125"
"52","12","53","-37","13","-2","6","224,3125"
"52","12","53","-37","-2","-4","6","224,25"
"52","29","40","-27","-2","-4","6","224,25"
"52","29","40","-27","1","0","6","224,1875"
"52","31","43","-7","1","0","6","224,1875"
"52","31","43","-7","7","9","6","224,1875"
"52","31","43","-7","7","9","6","224,1875"
"52","31","43","-7","7","9","6","224,1875"
"52","-16","55","-44","7","9","6","224,1875"
"53","-16","55","-44","1","8","6","224,125"
"53","57","23","-10","1","8","6","224,125"
"53","57","23","-10","-4","-1","5","224,0625"
"53","-20","46","-45","-4","-1","5","224,0625"
"53","-20","46","-45","5","10","6","224"
"53","30","44","-6","5","10","6","224"
"53","30","44","-6","5","13","6","224"
"53","30","44","-6","5","13","6","224"
"53","30","44","-6","5","13","6","224"
"53","6","10","-14","5","13","6","224"
"53","6","10","-14","-4","12","6","223,9375"
"53","11","7","-17","-4","12","6","223,9375"
"53","11","7","-17","-5","14","6","223,875"
"54","-51","14","-51","-5","14","6","223,875"
"54","-51","14","-51","1","3","5","223,8125"
"54","-63","32","-51","1","3","5","223,8125"
"54","-63","32","-51","1","3","5","223,8125"
"54","-63","32","-51","1","3","5","223,8125"
"54","-63","32","-51","7","-5","5","223,8125"
"54","16","54","-17","7","-5","5","223,8125"
"54","16","54","-17","16","-22","4","223,75"
"54","-6","36","-37","16","-22","4","223,75"
"54","-6","36","-37","1","-18","5","223,6875"
"55","48","36","-6","1","-18","5","223,6875"
"55","48","36","-6","-3","-21","5","223,6875"
"55","16","44","-26","-3","-21","5","223,6875"
"55","16","44","-26","6","-23","5","223,625"
"55","16","44","-26","6","-23","5","223,625"
"55","16","44","-26","0","-14","5","223,625"
"55","52","42","-12","0","-14","5","223,625"
"55","52","42","-12","0","-19","5","223,625"
"55","39","20","-18","0","-19","5","223,625"
"55","39","20","-18","-1","-13","5","223,5625"
"55","35","37","-21","-1","-13","5","223,5625"
"56","35","37","-21","4","-2","5","223,5"
"56","21","32","-16","4","-2","5","223,5"
"56","21","32","-16","7","-3","4","223,5"
"56","21","32","-16","7","-3","4","223,5"
"56","21","32","-16","3","3","5","223,5"
"56","18","20","-17","3","3","5","223,5"
"56","18","20","-17","-1","1","5","223,4375"
"56","-15","76","-46","-1","1","5","223,4375"
"56","-15","76","-46","2","1","5","223,375"
"56","3","67","-22","2","1","5","223,375"
"56","3","67","-22","14","-1","5","223,375"
"57","-15","47","-30","14","-1","5","223,375"
"57","-15","47","-30","2","-4","4","223,3125"
"57","-15","47","-30","2","-4","4","223,3125"
"57","-15","47","-30","-9","-6","5","223,3125"
"57","18","14","-10","-9","-6","5","223,3125"
"57","18","14","-10","-8","-6","5","223,3125"
"57","1","61","-42","-8","-6","5","223,3125"
"57","1","61","-42","3","-10","4","223,25"
"57","43","34","-11","3","-10","4","223,25"
"58","43","34","-11","2","-10","4","223,25"
"58","38","44","-4","2","-10","4","223,25"
"58","38","44","-4","-9","-10","4","223,1875"
"58","38","44","-4","-9","-10","4","223,1875"
"58","38","44","-4","-2","-7","3","223,1875"
"58","19","51","-30","-2","-7","3","223,1875"
"58","19","51","-30","-1","-3","4","223,1875"
"58","15","4","-28","-1","-3","4","223,1875"
"58","15","4","-28","-11","-1","3","223,125"
"58","2","47","-18","-11","-1","3","223,125"
"59","2","47","-18","-1","3","3","223,125"
"59","-23","70","-47","-1","3","3","223,125"
"59","-23","70","-47","8","2","3","223,125"
"59","-23","70","-47","8","2","3","223,125"
"59","-23","70","-47","4","4","3","223,125"
"59","-15","53","-41","4","4","3","223,125"
"60","-15","53","-41","-6","0","2","223,0625"
"60","-18","63","-44","-6","0","2","223,0625"
"60","-18","63","-44","-5","-7","2","223,0625"
"61","21","58","-23","-5","-7","2","223,0625"
"61","21","58","-23","6","-2","2","223,0625"
"61","45","32","-10","6","-2","2","223,0625"
"61","45","32","-10","3","-12","2","223"
"61","45","32","-10","3","-12","2","223"
"61","45","32","-10","-5","-13","1","223"
"62","35","30","-17","-5","-13","1","223"
"62","35","30","-17","-5","-6","1","223"
"62","12","48","-39","-5","-6","1","223"
"62","12","48","-39","-4","-10","1","223"
"62","12","32","-17","-4","-10","1","223"
"62","12","32","-17","2","-3","1","223"
"62","27","36","-19","2","-3","1","223"
"62","27","36","-19","-4","0","1","223"
"63","27","36","-19","-4","0","1","223"
"63","27","36","-19","0","1","1","223"
"63","-13","43","-35","0","1","1","223"
"63","-13","43","-35","4","6","1","223"
"63","0","22","-38","4","6","1","223"
"63","0","22","-38","-3","2","-1","223"
"63","-27","1","-45","-3","2","-1","223"
"63","-27","1","-45","-6","3","-1","223,0625"
"63","-29","9","-31","-6","3","-1","223,0625"
"63","-29","9","-31","-4","2","-1","223,0625"
"63","-29","9","-31","-4","2","-1","223,0625"
"64","-29","9","-31","13","-11","-2","223,0625"
"64","-17","79","-28","13","-11","-2","223,0625"
"64","-17","79","-28","18","-12","-3","223,0625"
"64","11","85","-51","18","-12","-3","223,0625"
"64","11","85","-51","15","-22","-3","223,125"
"64","33","48","-23","15","-22","-3","223,125"
"64","33","48","-23","-17","-25","-3","223,125"
"64","111","103","-3","-17","-25","-3","223,125"
"64","111","103","-3","-11","-16","-3","223,125"
"64","111","103","-3","-11","-16","-3","223,125"
"65","111","103","-3","10","-23","-3","223,125"
"65","65","85","-25","10","-23","-3","223,125"
"65","65","85","-25","-15","-10","-3","223,1875"
"65","127","-23","28","-15","-10","-3","223,1875"
"65","127","-23","28","-18","4","-3","223,1875"
"65","-8","-19","-50","-18","4","-3","223,1875"
"65","-8","-19","-50","-23","16","-3","223,25"
"65","21","-31","-11","-23","16","-3","223,25"
"65","21","-31","-11","-16","42","-3","223,25"
"65","21","-31","-11","-16","42","-3","223,25"
"65","21","-31","-11","-1","39","-5","223,25"
"66","-55","-42","-19","-1","39","-5","223,25"
"66","-55","-42","-19","8","35","-6","223,3125"
"66","-108","-18","-51","8","35","-6","223,3125"
"66","-108","-18","-51","23","31","-7","223,375"
"66","-138","66","-77","23","31","-7","223,375"
"66","-138","66","-77","35","6","-9","223,4375"
"66","-199","55","-96","35","6","-9","223,4375"
"66","-199","55","-96","48","-9","-9","223,5"
"66","-199","55","-96","48","-9","-9","223,5"
"66","-199","55","-96","32","-34","-10","223,5625"
"66","-133","14","-58","32","-34","-10","223,5625"
"67","-133","14","-58","28","-63","-11","223,625"
"67","32","125","12","28","-63","-11","223,625"
"67","32","125","12","39","-88","-11","223,6875"
"67","149","174","38","39","-88","-11","223,6875"
"67","149","174","38","48","-103","-12","223,75"
"67","170","207","5","48","-103","-12","223,75"
"67","170","207","5","49","-104","-12","223,8125"
"67","170","207","5","49","-104","-12","223,8125"
"67","170","207","5","23","-79","-11","223,875"
"67","222","117","38","23","-79","-11","223,875"
"68","222","117","38","-17","-50","-11","223,9375"
"68","152","-64","-15","-17","-50","-11","223,9375"
"68","152","-64","-15","-57","-8","-10","224"
"68","132","3","12","-57","-8","-10","224"
"68","132","3","12","-38","17","-10","224,0625"
"68","160","27","13","-38","17","-10","224,0625"
"68","160","27","13","3","31","-11","224,125"
"68","160","27","13","3","31","-11","224,125"
"68","160","27","13","10","51","-11","224,25"
"68","90","100","2","10","51","-11","224,25"
"68","90","100","2","22","75","-11","224,3125"
"69","-67","17","-59","22","75","-11","224,3125"
"69","-67","17","-59","6","83","-11","224,375"
"69","-87","-40","-82","6","83","-11","224,375"
"69","-87","-40","-82","-42","86","-11","224,4375"
"69","-118","-79","-70","-42","86","-11","224,4375"
"69","-118","-79","-70","-52","66","-11","224,5"
"69","-118","-79","-70","-52","66","-11","224,5"
"69","-118","-79","-70","-35","50","-12","224,5625"
"69","-136","-75","-95","-35","50","-12","224,5625"
"69","-136","-75","-95","-15","28","-11","224,625"
"70","-68","84","-33","-15","28","-11","224,625"
"70","-68","84","-33","20","-8","-13","224,75"
"70","-29","87","-24","20","-8","-13","224,75"
"70","-29","87","-24","38","-20","-13","224,8125"
"70","51","-8","-17","38","-20","-13","224,8125"
"70","51","-8","-17","7","-24","-13","224,875"
"70","51","-8","-17","7","-24","-13","224,875"
"70","51","-8","-17","-10","-38","-13","225"
"70","26","-6","-22","-10","-38","-13","225"
"70","26","-6","-22","-4","-30","-13","225,0625"
"70","121","51","8","-4","-30","-13","225,0625"
"71","121","51","8","17","-25","-12","225,125"
"71","115","74","-10","17","-25","-12","225,125"
"71","115","74","-10","4","-32","-12","225,1875"
"71","153","67","38","4","-32","-12","225,1875"
"71","153","67","38","3","-18","-12","225,25"
"71","153","67","38","3","-18","-12","225,25"
"71","153","67","38","-3","0","-11","225,375"
"71","72","29","-9","-3","0","-11","225,375"
"71","72","29","-9","-16","23","-11","225,4375"
"71","89","-56","22","-16","23","-11","225,4375"
"72","89","-56","22","-15","22","-11","225,5"
"72","-17","-30","-37","-15","22","-11","225,5"
"72","-17","-30","-37","-18","27","-11","225,5625"
"72","-31","62","-43","-18","27","-11","225,5625"
"72","-31","62","-43","6","41","-10","225,625"
"72","-31","62","-43","6","41","-10","225,625"
"72","-31","62","-43","13","33","-11","225,6875"
"72","-6","18","-28","13","33","-11","225,6875"
