Timer,AX,AY,AZ,GX,GY,GZ
"0","-2,46","-4,8","-28,9","-0,28","0","-0,32"
"0","-2,16","-5,08","-28,8","-0,3","-0,1","-0,34"
"1","-2,22","-5,08","-28,72","-0,32","-0,2","-0,36"
"1","-2,28","-5,08","-28,64","-0,38","-0,14","-0,4"
"1","-2,28","-5,06","-28,6","-0,44","-0,08","-0,44"
"1","-2,28","-5,04","-28,56","-0,36","-0,04","-0,46"
"1","-1,88","-4,96","-28,52","-0,28","0","-0,48"
"2","-1,48","-4,88","-28,48","-0,26","0,02","-0,5"
"2","-1,08","-4,8","-28,44","-0,24","0,04","-0,52"
"2","-0,68","-4,72","-28,4","-0,22","0,04","-0,5"
"2","-0,72","-4,88","-28,38","-0,2","0,04","-0,48"
"2","-0,76","-5,04","-28,36","-0,18","0,12","-0,46"
"2","-0,68","-4,88","-28,42","-0,16","0,2","-0,44"
"2","-0,6","-4,72","-28,48","-0,22","0,2","-0,4"
"2","-0,62","-4,72","-28,26","-0,28","0,2","-0,36"
"2","-0,64","-4,72","-28,04","-0,24","0,26","-0,38"
"2","-0,6","-4,7","-28","-0,2","0,32","-0,4"
"2","-0,56","-4,68","-27,96","-0,2","0,34","-0,4"
"2","-0,52","-4,66","-27,92","-0,2","0,36","-0,4"
"2","-0,48","-4,64","-27,88","-0,28","0,34","-0,4"
"2","-0,42","-4,88","-27,88","-0,36","0,32","-0,4"
"3","-0,36","-5,12","-27,88","-0,3","0,3","-0,38"
"3","-0,4","-5","-27,9","-0,24","0,28","-0,36"
"3","-0,44","-4,88","-27,92","-0,2","0,34","-0,34"
"3","-0,38","-4,86","-27,82","-0,16","0,4","-0,32"
"3","-0,32","-4,84","-27,72","-0,16","0,36","-0,26"
"3","-0,24","-4,98","-27,76","-0,16","0,32","-0,2"
"3","-0,16","-5,12","-27,8","-0,26","0,3","-0,2"
"3","-0,08","-5,26","-27,84","-0,36","0,28","-0,2"
"3","0","-5,4","-27,88","-0,44","0,26","-0,18"
"3","-0,12","-5,56","-27,72","-0,52","0,24","-0,16"
"3","-0,24","-5,72","-27,56","-0,48","0,28","-0,2"
"3","-0,14","-5,98","-27,54","-0,44","0,32","-0,24"
"3","-0,04","-6,24","-27,52","-0,46","0,26","-0,24"
"3","-0,3","-6,18","-27,68","-0,48","0,2","-0,24"
"3","-0,56","-6,12","-27,84","-0,56","0,22","-0,3"
"4","-0,72","-6,18","-27,88","-0,64","0,24","-0,36"
"4","-0,88","-6,24","-27,92","-0,64","0,28","-0,38"
"4","-1,04","-6,3","-27,96","-0,64","0,32","-0,4"
"4","-1,2","-6,36","-28","-0,64","0,28","-0,44"
"4","-1,08","-6,12","-28","-0,64","0,24","-0,48"
"4","-0,96","-5,88","-28","-0,66","0,22","-0,42"
"4","-1,12","-5,86","-27,96","-0,68","0,2","-0,36"
"4","-1,28","-5,84","-27,92","-0,7","0,2","-0,32"
"4","-1,36","-5,72","-28,34","-0,72","0,2","-0,28"
"4","-1,44","-5,6","-28,76","-0,78","0,26","-0,28"
"4","-1,52","-5,4","-28,6","-0,84","0,32","-0,28"
"4","-1,6","-5,2","-28,44","-0,8","0,34","-0,32"
"4","-1,68","-5","-28,28","-0,76","0,36","-0,36"
"5","-1,76","-4,8","-28,12","-0,7","0,36","-0,36"
"5","-1,84","-4,62","-28,24","-0,64","0,36","-0,36"
"5","-1,92","-4,44","-28,36","-0,74","0,38","-0,42"
"5","-1,78","-4,54","-28,16","-0,84","0,4","-0,48"
"5","-1,64","-4,64","-27,96","-0,82","0,4","-0,42"
"5","-1,92","-4,94","-28,12","-0,8","0,4","-0,36"
"5","-2,2","-5,24","-28,28","-0,96","0,4","-0,34"
"5","-2,34","-5,16","-28,42","-1,12","0,4","-0,32"
"5","-2,48","-5,08","-28,56","-1,12","0,36","-0,34"
"5","-2,62","-5","-28,7","-1,12","0,32","-0,36"
"5","-2,76","-4,92","-28,84","-1,08","0,3","-0,36"
