Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0
0,004;-0,02031;-0,03012;-0,33423;;-0,00004;-0,00006;-0,00067;;0,00000;0,00000;0,00000;;1004;-2,07;-3,07;-34,07
0,012;-0,02031;-0,00069;-0,33423;;-0,00020;-0,00018;-0,00334;;0,00000;0,00000;-0,00002;;1012;-2,07;-0,07;-34,07
0,012;-0,02031;-0,00069;-0,33423;;-0,00020;-0,00018;-0,00334;;0,00000;0,00000;-0,00002;;1012;-2,07;-0,07;-34,07
0,020;-0,02031;-0,01050;-0,34404;;-0,00037;-0,00023;-0,00606;;0,00000;0,00000;-0,00005;;1020;-2,07;-1,07;-35,07
0,021;-0,02031;-0,01050;-0,34404;;-0,00039;-0,00024;-0,00640;;0,00000;0,00000;-0,00006;;1021;-2,07;-1,07;-35,07
0,033;-0,01050;-0,03012;-0,31461;;-0,00057;-0,00048;-0,01035;;-0,00001;-0,00001;-0,00016;;1033;-1,07;-3,07;-32,07
0,033;-0,01050;-0,03012;-0,31461;;-0,00057;-0,00048;-0,01035;;-0,00001;-0,00001;-0,00016;;1033;-1,07;-3,07;-32,07
0,041;-0,01050;-0,00069;-0,29499;;-0,00065;-0,00061;-0,01279;;-0,00001;-0,00001;-0,00025;;1041;-1,07;-0,07;-30,07
0,041;-0,01050;-0,00069;-0,29499;;-0,00065;-0,00061;-0,01279;;-0,00001;-0,00001;-0,00025;;1041;-1,07;-0,07;-30,07
0,053;-0,02031;-0,00069;-0,37347;;-0,00084;-0,00061;-0,01680;;-0,00002;-0,00002;-0,00043;;1053;-2,07;-0,07;-38,07
0,053;-0,02031;-0,00069;-0,37347;;-0,00084;-0,00061;-0,01680;;-0,00002;-0,00002;-0,00043;;1053;-2,07;-0,07;-38,07
0,061;-0,01050;-0,03012;-0,32442;;-0,00096;-0,00074;-0,01959;;-0,00003;-0,00002;-0,00058;;1061;-1,07;-3,07;-33,07
0,062;-0,01050;-0,03012;-0,32442;;-0,00097;-0,00077;-0,01992;;-0,00003;-0,00003;-0,00060;;1062;-1,07;-3,07;-33,07
0,069;-0,01050;-0,03012;-0,31461;;-0,00105;-0,00098;-0,02215;;-0,00004;-0,00003;-0,00074;;1069;-1,07;-3,07;-32,07
0,073;-0,01050;-0,03012;-0,31461;;-0,00109;-0,00110;-0,02341;;-0,00004;-0,00004;-0,00084;;1073;-1,07;-3,07;-32,07
0,082;-0,01050;0,01893;-0,32442;;-0,00118;-0,00115;-0,02629;;-0,00005;-0,00005;-0,00106;;1082;-1,07;1,93;-33,07
0,082;-0,01050;0,01893;-0,32442;;-0,00118;-0,00115;-0,02629;;-0,00005;-0,00005;-0,00106;;1082;-1,07;1,93;-33,07
0,090;-0,02031;-0,01050;-0,31461;;-0,00131;-0,00112;-0,02884;;-0,00006;-0,00005;-0,00128;;1090;-2,07;-1,07;-32,07
0,094;-0,02031;-0,01050;-0,31461;;-0,00139;-0,00116;-0,03010;;-0,00007;-0,00006;-0,00140;;1094;-2,07;-1,07;-32,07
0,102;-0,02031;-0,04974;-0,33423;;-0,00155;-0,00140;-0,03270;;-0,00008;-0,00007;-0,00165;;1102;-2,07;-5,07;-34,07
