Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0;;;;;
0,001;-0,01962;-0,01962;-0,25506;;-0,00001;-0,00001;-0,00013;;0,00000;0,00000;0,00000;;1001;-2;-2;-26;;;;;
0,002;-0,01962;-0,01962;-0,25506;;-0,00003;-0,00003;-0,00038;;0,00000;0,00000;0,00000;;1002;-2;-2;-26;;;;;
0,009;-0,00981;0,01962;-0,28449;;-0,00013;-0,00003;-0,00227;;0,00000;0,00000;-0,00001;;1009;-1;2;-29;;;;;
0,009;-0,00981;0,01962;-0,28449;;-0,00013;-0,00003;-0,00227;;0,00000;0,00000;-0,00001;;1009;-1;2;-29;;;;;
0,021;-0,00981;0,04905;-0,27468;;-0,00025;0,00038;-0,00563;;0,00000;0,00000;-0,00006;;1021;-1;5;-28;;;;;
0,021;-0,00981;0,04905;-0,27468;;-0,00025;0,00038;-0,00563;;0,00000;0,00000;-0,00006;;1021;-1;5;-28;;;;;
0,030;0,00000;0,00000;-0,31392;;-0,00029;0,00060;-0,00827;;-0,00001;0,00001;-0,00012;;1030;0;0;-32;;;;;
0,030;0,00000;0,00000;-0,31392;;-0,00029;0,00060;-0,00827;;-0,00001;0,00001;-0,00012;;1030;0;0;-32;;;;;
0,038;-0,00981;0,00981;-0,28449;;-0,00033;0,00064;-0,01067;;-0,00001;0,00001;-0,00020;;1038;-1;1;-29;;;;;
0,042;-0,00981;0,00981;-0,28449;;-0,00037;0,00068;-0,01181;;-0,00001;0,00001;-0,00024;;1042;-1;1;-29;;;;;
0,050;-0,00981;0,00981;-0,27468;;-0,00045;0,00076;-0,01404;;-0,00001;0,00002;-0,00034;;1050;-1;1;-28;;;;;
0,051;-0,00981;0,00981;-0,27468;;-0,00046;0,00077;-0,01432;;-0,00001;0,00002;-0,00036;;1051;-1;1;-28;;;;;
0,058;0,00000;0,01962;-0,27468;;-0,00050;0,00087;-0,01624;;-0,00002;0,00003;-0,00046;;1058;0;2;-28;;;;;
0,062;0,00000;0,01962;-0,27468;;-0,00050;0,00095;-0,01734;;-0,00002;0,00003;-0,00053;;1062;0;2;-28;;;;;
0,071;0,00000;0,02943;-0,26487;;-0,00050;0,00117;-0,01977;;-0,00002;0,00004;-0,00070;;1071;0;3;-27;;;;;
0,071;0,00000;0,02943;-0,26487;;-0,00050;0,00117;-0,01977;;-0,00002;0,00004;-0,00070;;1071;0;3;-27;;;;;
0,079;-0,02943;0,00981;-0,32373;;-0,00061;0,00133;-0,02212;;-0,00003;0,00005;-0,00087;;1079;-3;1;-33;;;;;
0,079;-0,02943;0,00981;-0,32373;;-0,00061;0,00133;-0,02212;;-0,00003;0,00005;-0,00087;;1079;-3;1;-33;;;;;
0,091;-0,01962;0,00981;-0,26487;;-0,00091;0,00145;-0,02565;;-0,00004;0,00007;-0,00115;;1091;-2;1;-27;;;;;
0,091;-0,01962;0,00981;-0,26487;;-0,00091;0,00145;-0,02565;;-0,00004;0,00007;-0,00115;;1091;-2;1;-27;;;;;
0,099;-0,00981;0,00981;-0,27468;;-0,00103;0,00153;-0,02781;;-0,00004;0,00008;-0,00137;;1099;-1;1;-28;;;;;
0,099;-0,00981;0,00981;-0,27468;;-0,00103;0,00153;-0,02781;;-0,00004;0,00008;-0,00137;;1099;-1;1;-28;;;;;
0,111;-0,01962;0,03924;-0,26487;;-0,00120;0,00182;-0,03105;;-0,00006;0,00010;-0,00172;;1111;-2;4;-27;;;;;
0,111;-0,01962;0,03924;-0,26487;;-0,00120;0,00182;-0,03105;;-0,00006;0,00010;-0,00172;;1111;-2;4;-27;;;;;
0,120;-0,00981;0,03924;-0,28449;;-0,00133;0,00217;-0,03352;;-0,00007;0,00012;-0,00201;;1120;-1;4;-29;;;;;
0,120;-0,00981;0,03924;-0,28449;;-0,00133;0,00217;-0,03352;;-0,00007;0,00012;-0,00201;;1120;-1;4;-29;;;;;
