Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;;;;
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0;;;;;;;;
0,001;-0,01962;-0,01962;-0,25506;;-0,00001;-0,00001;-0,00013;;0,00000;0,00000;0,00000;;1001;-1,99999928;-1,99999838;-25,999974;;;;;;;;
0,002;-0,01962;-0,01962;-0,25506;;-0,00003;-0,00003;-0,00038;;0,00000;0,00000;0,00000;;1002;-1,999999809;-1,999999571;-25,99999343;;;;;;;;
0,009;-0,00279;0,04769;-0,30598;;-0,00011;0,00007;-0,00235;;0,00000;0,00000;-0,00001;;1009;-0,284651111;4,861395453;-31,1908221;;;;;;;;
0,009;-0,00780;0,02766;-0,29031;;-0,00011;0,00007;-0,00235;;0,00000;0,00000;-0,00001;;1009;-0,795212436;2,819150226;-29,59367454;;;;;;;;
0,021;-0,00923;0,07235;-0,26911;;-0,00021;0,00067;-0,00570;;0,00000;0,00000;-0,00006;;1021;-0,941346846;7,37538337;-27,43200515;;;;;;;;
0,021;-0,00965;0,05572;-0,27317;;-0,00021;0,00067;-0,00570;;0,00000;0,00000;-0,00006;;1021;-0,983200524;5,680358916;-27,846027;;;;;;;;
0,030;0,00705;-0,03309;-0,34211;;-0,00022;0,00077;-0,00847;;0,00000;0,00001;-0,00012;;1030;0,718390157;-3,373022652;-34,87393197;;;;;;;;
0,030;0,00202;-0,00948;-0,32156;;-0,00022;0,00077;-0,00847;;0,00000;0,00001;-0,00012;;1030;0,205762493;-0,966106709;-32,77907183;;;;;;;;
0,038;-0,01623;0,01410;-0,26511;;-0,00028;0,00079;-0,01082;;-0,00001;0,00002;-0,00020;;1038;-1,654643511;1,436864463;-27,02443916;;;;;;;;
0,042;-0,01165;0,01104;-0,27924;;-0,00033;0,00084;-0,01191;;-0,00001;0,00002;-0,00024;;1042;-1,187504078;1,125127443;-28,46446059;;;;;;;;
0,050;-0,01034;0,01016;-0,26611;;-0,00042;0,00092;-0,01409;;-0,00001;0,00003;-0,00035;;1050;-1,053705228;1,035839209;-27,12590701;;;;;;;;
0,051;-0,00996;0,00991;-0,27236;;-0,00043;0,00093;-0,01436;;-0,00001;0,00003;-0,00036;;1051;-1,01538234;1,010265126;-27,76304894;;;;;;;;
0,058;0,00696;0,02665;-0,27405;;-0,00044;0,00106;-0,01627;;-0,00001;0,00004;-0,00047;;1058;0,709172509;2,716518499;-27,93576678;;;;;;;;
0,062;0,00199;0,02163;-0,27451;;-0,00043;0,00116;-0,01737;;-0,00002;0,00004;-0,00054;;1062;0,203122364;2,205226415;-27,98258752;;;;;;;;
0,071;0,00057;0,03701;-0,25767;;-0,00041;0,00142;-0,01976;;-0,00002;0,00005;-0,00070;;1071;0,058178644;3,772359634;-26,266362;;;;;;;;
0,071;0,00016;0,03160;-0,26292;;-0,00041;0,00142;-0,01976;;-0,00002;0,00005;-0,00070;;1071;0,016663623;3,221220525;-26,80112379;;;;;;;;
0,079;-0,05038;-0,00357;-0,36611;;-0,00061;0,00153;-0,02228;;-0,00002;0,00006;-0,00087;;1079;-5,135962211;-0,36379434;-37,31959491;;;;;;;;
0,079;-0,03543;0,00598;-0,33522;;-0,00061;0,00153;-0,02228;;-0,00002;0,00006;-0,00087;;1079;-3,611785832;0,609379767;-34,17096535;;;;;;;;
0,091;-0,01434;0,00871;-0,22508;;-0,00091;0,00162;-0,02564;;-0,00003;0,00008;-0,00116;;1091;-1,461650366;0,888117906;-22,94392116;;;;;;;;
0,091;-0,01811;0,00950;-0,25408;;-0,00091;0,00162;-0,02564;;-0,00003;0,00008;-0,00116;;1091;-1,845805007;0,967954546;-25,90046917;;;;;;;;
0,099;-0,00238;0,00972;-0,27891;;-0,00100;0,00170;-0,02777;;-0,00004;0,00010;-0,00137;;1099;-0,24225687;0,990821488;-28,43085453;;;;;;;;
0,099;-0,00768;0,00978;-0,27583;;-0,00100;0,00170;-0,02777;;-0,00004;0,00010;-0,00137;;1099;-0,782965958;0,997371075;-28,116797;;;;;;;;
0,111;-0,02601;0,06023;-0,25803;;-0,00120;0,00212;-0,03097;;-0,00005;0,00012;-0,00173;;1111;-2,651415095;6,139982053;-26,3027438;;;;;;;;
0,111;-0,02145;0,04525;-0,26302;;-0,00120;0,00212;-0,03097;;-0,00005;0,00012;-0,00173;;1111;-2,18657939;4,612937202;-26,81098625;;;;;;;;
0,120;-0,00333;0,04096;-0,29829;;-0,00131;0,00251;-0,03350;;-0,00006;0,00014;-0,00202;;1120;-0,339862033;4,175558488;-30,40659731;;;;;;;;
0,120;-0,00796;0,03973;-0,28823;;-0,00131;0,00251;-0,03350;;-0,00006;0,00014;-0,00202;;1120;-0,810922191;4,050283753;-29,38130351;;;;;;;;
0,128;-0,00928;0,00576;-0,28550;;-0,00138;0,00269;-0,03580;;-0,00008;0,00016;-0,00229;;1128;-0,945844021;0,587245666;-29,1033646;;;;;;;;
0,132;-0,00966;0,01565;-0,28476;;-0,00142;0,00273;-0,03694;;-0,00008;0,00017;-0,00244;;1132;-0,984488555;1,595356565;-29,0280203;;;;;;;;
0,140;-0,02658;0,00167;-0,31849;;-0,00156;0,00280;-0,03935;;-0,00009;0,00019;-0,00274;;1140;-2,709135531;0,170523013;-32,46543138;;;;;;;;
0,140;-0,02161;0,00748;-0,30801;;-0,00156;0,00280;-0,03935;;-0,00009;0,00019;-0,00274;;1140;-2,203111773;0,762419828;-31,39725238;;;;;;;;
0,148;-0,00338;0,04276;-0,28821;;-0,00166;0,00300;-0,04173;;-0,00011;0,00022;-0,00307;;1148;-0,344597265;4,359108583;-29,37877027;;;;;;;;
0,152;-0,00797;0,03325;-0,29265;;-0,00168;0,00315;-0,04290;;-0,00011;0,00023;-0,00324;;1152;-0,812278464;3,38927813;-29,83159567;;;;;;;;
0,161;-0,02609;0,01371;-0,27689;;-0,00184;0,00337;-0,04546;;-0,00013;0,00026;-0,00364;;1161;-2,659810832;1,397919342;-28,2254308;;;;;;;;
0,162;-0,02147;0,01793;-0,28243;;-0,00186;0,00338;-0,04574;;-0,00013;0,00026;-0,00368;;1162;-2,188984111;1,827551061;-28,79002807;;;;;;;;
0,169;-0,02015;0,03595;-0,28393;;-0,00201;0,00357;-0,04772;;-0,00014;0,00029;-0,00401;;1169;-2,054129142;3,664185234;-28,94308034;;;;;;;;
0,169;-0,01977;0,03130;-0,28434;;-0,00201;0,00357;-0,04772;;-0,00014;0,00029;-0,00401;;1169;-2,015503758;3,190237034;-28,98457009;;;;;;;;
