Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0
0,002;-0,00981;0,02943;-0,29430;;-0,00001;0,00003;-0,00029;;0,00000;0,00000;0,00000;;1002;-1;3;-30
0,008;0,00000;0,00981;-0,29430;;-0,00004;0,00015;-0,00206;;0,00000;0,00000;-0,00001;;1008;0;1;-30
0,012;0,00000;0,00981;-0,29430;;-0,00004;0,00019;-0,00324;;0,00000;0,00000;-0,00002;;1012;0;1;-30
0,021;-0,00981;0,00981;-0,29430;;-0,00008;0,00027;-0,00589;;0,00000;0,00000;-0,00006;;1021;-1;1;-30
0,021;-0,00981;0,00981;-0,29430;;-0,00008;0,00027;-0,00589;;0,00000;0,00000;-0,00006;;1021;-1;1;-30
0,029;-0,00981;0,00981;-0,29430;;-0,00016;0,00035;-0,00824;;0,00000;0,00001;-0,00012;;1029;-1;1;-30
0,029;-0,00981;0,00981;-0,29430;;-0,00016;0,00035;-0,00824;;0,00000;0,00001;-0,00012;;1029;-1;1;-30
0,041;-0,01962;0,02943;-0,27468;;-0,00034;0,00059;-0,01165;;0,00000;0,00001;-0,00023;;1041;-2;3;-28
0,041;-0,01962;0,02943;-0,27468;;-0,00034;0,00059;-0,01165;;0,00000;0,00001;-0,00023;;1041;-2;3;-28
0,049;-0,01962;0,02943;-0,27468;;-0,00050;0,00082;-0,01385;;-0,00001;0,00002;-0,00034;;1049;-2;3;-28
0,049;-0,01962;0,02943;-0,27468;;-0,00050;0,00082;-0,01385;;-0,00001;0,00002;-0,00034;;1049;-2;3;-28
0,061;-0,01962;0,01962;-0,29430;;-0,00073;0,00112;-0,01727;;-0,00002;0,00003;-0,00052;;1061;-2;2;-30
0,061;-0,01962;0,01962;-0,29430;;-0,00073;0,00112;-0,01727;;-0,00002;0,00003;-0,00052;;1061;-2;2;-30
0,070;-0,01962;0,00981;-0,28449;;-0,00091;0,00125;-0,01987;;-0,00002;0,00004;-0,00069;;1070;-2;1;-29
0,070;-0,01962;0,00981;-0,28449;;-0,00091;0,00125;-0,01987;;-0,00002;0,00004;-0,00069;;1070;-2;1;-29
0,078;-0,01962;0,00981;-0,28449;;-0,00106;0,00133;-0,02215;;-0,00003;0,00005;-0,00086;;1078;-2;1;-29
0,078;-0,01962;0,00981;-0,28449;;-0,00106;0,00133;-0,02215;;-0,00003;0,00005;-0,00086;;1078;-2;1;-29
0,090;-0,00981;0,00981;-0,28449;;-0,00124;0,00145;-0,02556;;-0,00004;0,00007;-0,00115;;1090;-1;1;-29
0,090;-0,00981;0,00981;-0,28449;;-0,00124;0,00145;-0,02556;;-0,00004;0,00007;-0,00115;;1090;-1;1;-29
0,098;-0,00981;0,00981;-0,27468;;-0,00132;0,00153;-0,02780;;-0,00005;0,00008;-0,00136;;1098;-1;1;-28
0,102;-0,00981;0,00981;-0,27468;;-0,00136;0,00156;-0,02890;;-0,00006;0,00008;-0,00147;;1102;-1;1;-28
0,111;0,00000;0,02943;-0,32373;;-0,00140;0,00174;-0,03159;;-0,00007;0,00010;-0,00174;;1111;0;3;-33
0,111;0,00000;0,02943;-0,32373;;-0,00140;0,00174;-0,03159;;-0,00007;0,00010;-0,00174;;1111;0;3;-33
0,119;-0,01962;0,00981;-0,27468;;-0,00148;0,00190;-0,03398;;-0,00008;0,00011;-0,00201;;1119;-2;1;-28
0,119;-0,01962;0,00981;-0,27468;;-0,00148;0,00190;-0,03398;;-0,00008;0,00011;-0,00201;;1119;-2;1;-28
0,127;-0,01962;0,00981;-0,27468;;-0,00164;0,00198;-0,03618;;-0,00010;0,00013;-0,00229;;1127;-2;1;-28
0,127;-0,01962;0,00981;-0,27468;;-0,00164;0,00198;-0,03618;;-0,00010;0,00013;-0,00229;;1127;-2;1;-28
0,139;-0,00981;0,00981;-0,28449;;-0,00181;0,00209;-0,03953;;-0,00012;0,00015;-0,00274;;1139;-1;1;-29
0,140;-0,00981;0,00981;-0,28449;;-0,00182;0,00210;-0,03982;;-0,00012;0,00016;-0,00278;;1140;-1;1;-29
0,151;-0,00981;0,00000;-0,29430;;-0,00193;0,00216;-0,04300;;-0,00014;0,00018;-0,00324;;1151;-1;0;-30
0,152;-0,00981;0,00000;-0,29430;;-0,00194;0,00216;-0,04330;;-0,00014;0,00018;-0,00328;;1152;-1;0;-30
0,160;-0,00981;0,01962;-0,30411;;-0,00202;0,00224;-0,04569;;-0,00016;0,00020;-0,00364;;1160;-1;2;-31
0,160;-0,00981;0,01962;-0,30411;;-0,00202;0,00224;-0,04569;;-0,00016;0,00020;-0,00364;;1160;-1;2;-31
0,168;0,00000;0,01962;-0,29430;;-0,00206;0,00239;-0,04808;;-0,00017;0,00022;-0,00401;;1168;0;2;-30
0,168;0,00000;0,01962;-0,29430;;-0,00206;0,00239;-0,04808;;-0,00017;0,00022;-0,00401;;1168;0;2;-30
0,176;-0,01962;0,00981;-0,27468;;-0,00214;0,00251;-0,05036;;-0,00019;0,00024;-0,00440;;1176;-2;1;-28
0,176;-0,01962;0,00981;-0,27468;;-0,00214;0,00251;-0,05036;;-0,00019;0,00024;-0,00440;;1176;-2;1;-28
0,188;-0,00981;0,01962;-0,28449;;-0,00232;0,00269;-0,05371;;-0,00022;0,00027;-0,00503;;1188;-1;2;-29
0,192;-0,00981;0,01962;-0,28449;;-0,00235;0,00277;-0,05485;;-0,00023;0,00028;-0,00525;;1192;-1;2;-29
0,197;-0,00981;0,01962;-0,28449;;-0,00240;0,00286;-0,05628;;-0,00024;0,00029;-0,00552;;1197;-1;2;-29
0,201;-0,00981;0,01962;-0,28449;;-0,00244;0,00294;-0,05741;;-0,00025;0,00031;-0,00575;;1201;-1;2;-29
0,209;-0,00981;0,01962;-0,29430;;-0,00252;0,00310;-0,05973;;-0,00027;0,00033;-0,00622;;1209;-1;2;-30
0,209;-0,00981;0,01962;-0,29430;;-0,00252;0,00310;-0,05973;;-0,00027;0,00033;-0,00622;;1209;-1;2;-30
0,217;-0,01962;0,00981;-0,29430;;-0,00264;0,00322;-0,06208;;-0,00029;0,00035;-0,00671;;1217;-2;1;-30
0,217;-0,01962;0,00981;-0,29430;;-0,00264;0,00322;-0,06208;;-0,00029;0,00035;-0,00671;;1217;-2;1;-30
0,225;0,00000;0,00981;-0,24525;;-0,00272;0,00330;-0,06424;;-0,00031;0,00038;-0,00721;;1225;0;1;-25
0,225;0,00000;0,00981;-0,24525;;-0,00272;0,00330;-0,06424;;-0,00031;0,00038;-0,00721;;1225;0;1;-25
0,238;-0,00981;0,02943;-0,28449;;-0,00278;0,00355;-0,06768;;-0,00035;0,00043;-0,00807;;1238;-1;3;-29
0,238;-0,00981;0,02943;-0,28449;;-0,00278;0,00355;-0,06768;;-0,00035;0,00043;-0,00807;;1238;-1;3;-29
0,246;-0,01962;0,00981;-0,28449;;-0,00290;0,00371;-0,06996;;-0,00037;0,00045;-0,00862;;1246;-2;1;-29
0,250;-0,01962;0,00981;-0,28449;;-0,00298;0,00375;-0,07110;;-0,00038;0,00047;-0,00890;;1250;-2;1;-29
0,258;-0,00981;0,00981;-0,29430;;-0,00310;0,00383;-0,07341;;-0,00040;0,00050;-0,00948;;1258;-1;1;-30
0,258;-0,00981;0,00981;-0,29430;;-0,00310;0,00383;-0,07341;;-0,00040;0,00050;-0,00948;;1258;-1;1;-30
0,266;0,00000;0,01962;-0,29430;;-0,00313;0,00394;-0,07577;;-0,00043;0,00053;-0,01008;;1266;0;2;-30
