Timer,X,Y,Z
"992","2890","8975","1860"
"992","2890","8975","1860"
"992","2890","8975","1860"
"992","2890","8975","1860"
"992","2890","8975","1860"
"992","2890","8975","1860"
"992","2890","8975","1860"
"992","2890","8975","1860"
"992","2890","8975","1860"
"992","2890","8975","1860"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1053","3373","9046","4770"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1111","3354","9060","4791"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1172","2890","8990","1860"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1234","2898","8999","1873"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1291","2853","9000","1859"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
"1348","3289","9007","4676"
