Timer,X,Y,Z
"959","-643","1624","3459"
"959","-643","1624","3459"
"1021","-611","1628","3430"
"1021","-611","1628","3430"
"1021","-611","1628","3430"
"1021","-611","1628","3430"
"1021","-611","1628","3430"
"1021","-611","1628","3430"
"1082","-656","1651","3453"
"1082","-656","1651","3453"
"1082","-656","1651","3453"
"1082","-656","1651","3453"
"1082","-656","1651","3453"
"1082","-656","1651","3453"
"1139","-643","1627","3457"
"1139","-643","1627","3457"
"1139","-643","1627","3457"
"1139","-643","1627","3457"
"1139","-643","1627","3457"
"1139","-643","1627","3457"
"1201","-552","1583","3596"
"1201","-552","1583","3596"
"1201","-552","1583","3596"
"1201","-552","1583","3596"
"1201","-552","1583","3596"
"1201","-552","1583","3596"
"1262","-623","1642","3502"
"1262","-623","1642","3502"
"1262","-623","1642","3502"
"1262","-623","1642","3502"
"1262","-623","1642","3502"
"1262","-623","1642","3502"
"1320","-611","1602","3539"
"1320","-611","1602","3539"
"1320","-611","1602","3539"
"1320","-611","1602","3539"
"1320","-611","1602","3539"
"1320","-611","1602","3539"
"1381","-624","1620","3456"
"1381","-624","1620","3456"
"1381","-624","1620","3456"
"1381","-624","1620","3456"
"1381","-624","1620","3456"
"1381","-624","1620","3456"
"1443","-633","1588","3530"
"1443","-633","1588","3530"
"1443","-633","1588","3530"
"1443","-633","1588","3530"
"1443","-633","1588","3530"
"1443","-633","1588","3530"
"1443","-633","1588","3530"
"1508","-711","1663","2572"
"1508","-711","1663","2572"
"1508","-711","1663","2572"
"1508","-711","1663","2572"
"1508","-711","1663","2572"
"1508","-711","1663","2572"
"1569","-595","1597","3551"
"1569","-595","1597","3551"
"1569","-595","1597","3551"
"1569","-595","1597","3551"
"1569","-595","1597","3551"
"1569","-595","1597","3551"
"1631","-650","1620","3456"
"1631","-650","1620","3456"
"1631","-650","1620","3456"
"1631","-650","1620","3456"
"1631","-650","1620","3456"
"1631","-650","1620","3456"
"1692","-639","1638","3450"
"1692","-639","1638","3450"
"1692","-639","1638","3450"
"1692","-639","1638","3450"
"1692","-639","1638","3450"
"1692","-639","1638","3450"
"1754","-490","1521","464"
"1754","-490","1521","464"
"1754","-490","1521","464"
"1754","-490","1521","464"
"1754","-490","1521","464"
"1754","-490","1521","464"
"1754","-490","1521","464"
"1819","-575","1550","3623"
"1819","-575","1550","3623"
"1819","-575","1550","3623"
"1819","-575","1550","3623"
"1819","-575","1550","3623"
"1819","-575","1550","3623"
"1881","-627","1606","3523"
"1881","-627","1606","3523"
"1881","-627","1606","3523"
"1881","-627","1606","3523"
"1881","-627","1606","3523"
"1938","-490","1558","480"
"1938","-490","1558","480"
"1938","-490","1558","480"
"1938","-490","1558","480"
"1938","-490","1558","480"
"1938","-490","1558","480"
"1938","-490","1558","480"
"1999","-700","1673","3372"
"1999","-700","1673","3372"
"1999","-700","1673","3372"
"1999","-700","1673","3372"
"1999","-700","1673","3372"
"2057","-629","1607","3493"
"2057","-629","1607","3493"
"2057","-629","1607","3493"
"2057","-629","1607","3493"
"2057","-629","1607","3493"
"2057","-629","1607","3493"
"2057","-629","1607","3493"
"2118","-560","1572","3580"
"2118","-560","1572","3580"
"2118","-560","1572","3580"
"2118","-560","1572","3580"
"2118","-560","1572","3580"
"2118","-560","1572","3580"
"2180","-554","1631","3453"
"2180","-554","1631","3453"
"2180","-554","1631","3453"
"2180","-554","1631","3453"
"2180","-554","1631","3453"
"2180","-554","1631","3453"
"2241","-495","1612","3518"
"2241","-495","1612","3518"
"2241","-495","1612","3518"
"2241","-495","1612","3518"
"2241","-495","1612","3518"
"2241","-495","1612","3518"
"2307","-548","1585","3551"
"2307","-548","1585","3551"
"2307","-548","1585","3551"
"2307","-548","1585","3551"
"2307","-548","1585","3551"
"2307","-548","1585","3551"
"2360","-451","1508","439"
"2360","-451","1508","439"
"2360","-451","1508","439"
"2360","-451","1508","439"
"2360","-451","1508","439"
"2360","-451","1508","439"
"2417","-570","1580","550"
"2417","-570","1580","550"
"2417","-570","1580","550"
"2417","-570","1580","550"
"2417","-570","1580","550"
"2475","-626","1670","3465"
"2475","-626","1670","3465"
"2475","-626","1670","3465"
"2475","-626","1670","3465"
"2475","-626","1670","3465"
"2475","-626","1670","3465"
"2536","-870","1822","1123"
"2536","-870","1822","1123"
"2536","-870","1822","1123"
"2536","-870","1822","1123"
"2536","-870","1822","1123"
"2536","-870","1822","1123"
"2598","-610","1601","3539"
"2598","-610","1601","3539"
"2598","-610","1601","3539"
"2598","-610","1601","3539"
"2598","-610","1601","3539"
"2598","-610","1601","3539"
"2659","-640","1649","3457"
"2659","-640","1649","3457"
"2659","-640","1649","3457"
"2659","-640","1649","3457"
"2659","-640","1649","3457"
"2659","-640","1649","3457"
"2659","-640","1649","3457"
"2720","-642","1651","3500"
"2720","-642","1651","3500"
"2720","-642","1651","3500"
"2720","-642","1651","3500"
"2720","-642","1651","3500"
"2778","-597","1607","3523"
"2778","-597","1607","3523"
"2778","-597","1607","3523"
"2778","-597","1607","3523"
"2778","-597","1607","3523"
"2778","-597","1607","3523"
"2839","-656","1645","3397"
"2839","-656","1645","3397"
"2839","-656","1645","3397"
"2839","-656","1645","3397"
"2839","-656","1645","3397"
"2839","-656","1645","3397"
"2839","-656","1645","3397"
"2900","-612","1593","3488"
"2900","-612","1593","3488"
"2900","-612","1593","3488"
"2900","-612","1593","3488"
"2900","-612","1593","3488"
"2900","-612","1593","3488"
"2962","-627","1617","3516"
"2962","-627","1617","3516"
"2962","-627","1617","3516"
"2962","-627","1617","3516"
"2962","-627","1617","3516"
"2962","-627","1617","3516"
