Timer,AX,AY,AZ,GX,GY,GZ
"1003","6","0","-1","-2","1","-1"
"1014","8","2","-1","0","1","-1"
"1022","7","0","-1","-1","-1","-1"
"1035","7","1","-1","-1","1","-1"
"1043","6","0","-1","-1","-3","-4"
"1055","8","0","-1","-2","1","1"
"1063","8","2","-1","-3","2","-1"
"1075","9","2","-1","0","-1","1"
"1084","5","0","-1","1","1","-2"
"1092","5","2","-1","3","2","1"
"1104","7","1","-1","2","1","-2"
"1113","10","0","-1","1","-1","-1"
"1125","6","0","-1","0","2","0"
"1133","9","0","-1","1","0","-1"
"1145","6","1","-1","1","0","-2"
"1153","7","0","-1","1","0","1"
"1166","7","2","-1","0","-1","-1"
"1174","7","0","-1","-2","-1","2"
"1182","7","0","-1","-2","-1","-2"
"1194","9","1","-1","-2","2","-1"
"1203","6","0","-1","0","1","-1"
"1215","10","1","-1","2","1","-1"
"1223","7","2","-1","-1","-1","0"
"1235","8","0","-1","-1","-2","0"
"1244","8","0","-1","1","0","1"
"1256","7","0","-1","0","-1","-1"
"1264","8","0","-1","2","-1","-1"
"1272","6","2","-1","-2","-1","-1"
"1285","7","0","-1","0","0","1"
"1293","8","1","-1","1","0","0"
"1305","8","0","-1","0","-2","1"
"1313","6","1","-1","2","-1","-1"
"1325","7","1","-1","2","0","3"
"1334","7","2","-1","0","0","-3"
"1346","7","2","-1","1","1","-1"
"1354","4","2","-1","-1","-2","0"
"1366","10","0","-1","1","-1","1"
"1375","8","0","-1","2","0","1"
"1383","9","-1","-1","3","-1","-1"
"1395","5","1","-1","0","1","2"
"1404","9","0","-1","-1","1","0"
"1416","6","1","-1","0","-1","-1"
"1424","8","2","-1","-3","-3","0"
"1436","8","1","-1","3","-3","-1"
"1445","7","1","-1","2","0","0"
"1456","6","1","-1","-1","-2","-1"
"1465","10","1","-1","-1","0","0"
"1473","8","0","-1","-1","-2","1"
"1485","7","1","-1","0","2","2"
"1493","7","2","-1","-2","-1","1"
"1506","7","2","-1","-1","1","2"
"1514","9","2","-1","-2","0","1"
"1526","7","1","-1","-1","2","1"
"1535","6","1","-1","0","3","-1"
"1546","6","2","-1","-1","1","1"
"1555","7","0","-1","0","0","0"
"1563","8","1","-1","1","-4","2"
"1575","7","3","-1","1","-2","1"
"1583","9","0","-1","0","1","0"
"1596","8","2","-1","1","0","3"
"1604","6","0","-1","-4","-1","3"
"1616","9","1","-1","-1","0","1"
"1625","7","1","-1","1","-1","0"
"1637","7","0","-1","1","-1","1"
"1645","6","0","-1","2","-3","2"
"1653","7","0","-1","-2","1","0"
"1665","8","2","-1","2","1","0"
"1674","6","0","-1","0","2","1"
"1686","8","3","-1","0","1","1"
"1694","7","1","-1","0","-1","-1"
"1706","8","0","-1","2","1","0"
"1715","6","2","-1","3","4","0"
"1727","5","1","-1","-1","0","2"
"1735","7","1","-1","2","1","-2"
"1747","7","0","-1","0","-1","-2"
"1755","8","1","-1","0","1","-2"
"1764","9","0","-1","-2","2","0"
"1776","5","1","-1","1","-2","-2"
"1784","8","3","-1","-3","1","-2"
"1796","9","0","-1","-1","1","-2"
"1805","6","1","-1","1","1","-2"
"1817","7","0","-1","0","-2","-1"
"1825","9","2","-1","-2","1","-2"
"1837","8","1","-1","-2","-1","-1"
"1846","9","1","-1","0","0","0"
"1854","6","2","-1","-2","1","-2"
"1866","6","1","-1","2","0","-2"
"1874","7","1","-1","1","-2","-1"
"1887","10","0","-1","-1","-1","-1"
"1895","9","0","-1","-1","-1","0"
"1907","7","0","-1","0","0","-1"
"1915","8","3","-1","1","1","0"
"1927","6","0","-1","-1","-1","1"
"1936","7","1","-1","-1","-2","0"
"1944","9","1","-1","1","1","-2"
"1956","9","1","-1","-3","-1","0"
"1964","5","1","-1","0","0","-3"
"1977","6","2","-1","1","-2","1"
"1985","8","3","-1","1","-1","-3"
"1997","8","1","-1","-2","4","0"
"2005","8","4","-1","-1","1","-2"
"2017","7","-1","-1","2","0","-1"
"2026","8","1","-1","3","-1","-2"
"2034","9","0","-1","0","0","-2"
"2046","6","0","-1","-1","1","-1"
"2055","5","0","-1","2","0","-1"
"2067","8","0","-1","0","1","0"
"2075","7","1","-1","1","0","0"
"2087","9","2","-1","2","0","1"
"2095","7","1","-1","-1","4","-1"
"2107","10","0","-1","2","1","0"
"2116","8","4","-1","3","-3","0"
"2124","8","0","-1","0","-1","1"
"2137","7","1","-1","1","3","-2"
"2145","5","2","-1","-4","0","0"
"2157","11","0","-1","-2","-2","-1"
"2165","9","0","-1","-1","-1","-1"
"2177","7","0","-1","-4","3","1"
"2185","4","0","-1","-3","3","1"
"2198","13","-2","-1","1","1","-2"
"2206","5","3","-1","1","0","0"
"2218","5","4","-1","0","1","-3"
"2226","5","5","-1","0","1","-3"
"2235","9","2","-1","1","0","0"
"2247","8","2","-1","-1","-1","1"
"2255","7","1","-1","-3","0","0"
"2267","4","0","-1","0","-2","-3"
"2276","9","0","-1","0","-2","-3"
"2288","5","1","-1","0","-1","0"
"2296","8","0","-1","2","-1","0"
"2308","8","1","-1","4","-1","-2"
"2317","8","1","-1","3","-2","2"
"2325","5","6","-1","3","-2","2"
"2337","7","5","-1","2","-2","-1"
"2346","5","1","-1","-2","-2","2"
"2358","9","-2","-1","-3","0","0"
"2366","7","0","-1","-3","2","3"
"2378","8","0","-1","-3","2","3"
"2386","8","0","-1","3","-2","-1"
"2398","5","1","-1","0","-5","-2"
"2407","8","3","-1","0","-2","-1"
"2415","9","3","-1","2","-1","1"
"2427","6","4","-1","2","-1","1"
"2435","6","2","-1","3","-3","2"
"2448","5","1","-1","1","0","1"
"2456","7","1","-1","-2","-1","1"
"2468","6","-2","-1","-4","-1","1"
"2477","6","-2","-1","-4","-1","1"
"2489","6","1","-1","-2","-1","1"
"2497","6","1","-1","0","0","0"
"2505","7","2","-1","2","0","0"
"2517","8","1","-1","3","-1","1"
"2526","8","1","-1","3","-1","1"
"2538","6","2","-1","3","-3","1"
"2546","7","5","-1","1","0","3"
"2558","6","3","-1","-2","-2","0"
"2567","9","0","-1","-2","0","-3"
"2575","9","0","-1","-2","0","-3"
"2587","6","1","-1","-4","1","-1"
"2599","5","1","-1","-4","1","-1"
"2608","8","0","-1","1","0","0"
"2616","6","3","-1","1","0","0"
"2624","6","3","-1","-1","0","0"
"2636","7","1","-1","-1","-3","5"
"2648","10","2","-1","-1","-3","5"
"2657","7","3","-1","2","-1","1"
"2669","8","0","-1","-2","0","-1"
"2673","8","0","-1","-2","0","-1"
"2689","10","0","-1","-2","-2","0"
"2698","9","0","-1","-2","-2","1"
"2706","7","0","-1","0","-3","0"
"2718","7","2","-1","2","-1","0"
