Timer,AX,AY,AZ,GX,GY,GZ,A
"7","0","0","-1","0","0","-1","358.875"
"7","0","0","-1","0","0","-1","358.875"
"16","1","1","-1","1","1","-1","358.875"
"16","1","1","-1","1","1","-1","358.875"
"22","1","1","-1","1","1","-1","358.875"
"22","1","1","-1","1","1","-1","358.875"
"31","2","2","-1","2","2","-1","358.875"
"31","2","2","-1","2","2","-1","358.875"
"37","2","-1","-1","2","-1","-1","358.875"
"37","2","-1","-1","2","-1","-1","358.875"
"45","1","0","-1","1","0","-1","358.875"
"45","1","0","-1","1","0","-1","358.875"
"52","-1","-2","-1","-1","-2","-1","358.875"
"52","-1","-2","-1","-1","-2","-1","358.875"
"58","-1","-1","-1","-1","-1","-1","358.875"
"59","-1","-1","-1","-1","-1","-1","358.875"
"65","1","1","-1","1","1","-1","358.875"
"65","1","1","-1","1","1","-1","358.875"
"71","1","2","-1","1","2","-1","358.875"
"71","1","2","-1","1","2","-1","358.875"
"78","-2","4","-1","-2","4","-1","358.875"
"78","-2","4","-1","-2","4","-1","358.875"
"84","-1","1","-1","-1","1","-1","358.875"
"84","-1","1","-1","-1","1","-1","358.875"
"89","0","1","-1","0","1","-1","358.875"
"90","0","1","-1","0","1","-1","358.875"
"95","1","0","-1","1","0","-1","358.875"
"95","1","0","-1","1","0","-1","358.875"
"101","-2","1","-1","-2","1","-1","358.875"
"101","-2","1","-1","-2","1","-1","358.875"
"107","1","0","-1","1","0","-1","358.875"
"107","1","0","-1","1","0","-1","358.875"
"113","-1","-1","-1","-1","-1","-1","358.875"
"114","-1","-1","-1","-1","-1","-1","358.875"
"119","0","2","-1","0","2","-1","358.875"
"120","0","2","-1","0","2","-1","358.875"
"125","-2","1","-1","-2","1","-1","358.875"
"125","-2","1","-1","-2","1","-1","358.875"
"131","-1","-1","-1","-1","-1","-1","358.875"
"131","-1","-1","-1","-1","-1","-1","358.875"
"137","1","1","-1","1","1","-1","358.875"
"137","1","1","-1","1","1","-1","358.875"
"143","2","2","-1","2","2","-1","358.875"
"143","2","2","-1","2","2","-1","358.875"
"149","-1","-1","-1","-1","-1","-1","358.875"
"149","-1","-1","-1","-1","-1","-1","358.875"
"154","0","-2","-1","0","-2","-1","358.875"
"155","0","-2","-1","0","-2","-1","358.875"
"160","1","0","-1","1","0","-1","358.875"
"160","1","0","-1","1","0","-1","358.875"
"166","1","-1","-1","1","-1","-1","358.875"
"166","1","-1","-1","1","-1","-1","358.875"
"172","0","-1","-1","0","-1","-1","358.875"
"172","0","-1","-1","0","-1","-1","358.875"
"179","-2","-1","-1","-2","-1","-1","358.875"
"179","-2","-1","-1","-2","-1","-1","358.875"
"186","1","-1","-1","1","-1","-1","358.875"
"186","1","-1","-1","1","-1","-1","358.875"
"193","-2","2","-1","-2","2","-1","358.875"
"193","-2","2","-1","-2","2","-1","358.875"
"199","-2","1","-1","-2","1","-1","358.875"
