Timer,X,Y,Z
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"90","3326","2263","955"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"146","3373","2252","1177"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"208","3366","2247","1160"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"259","3490","2124","2421"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"317","3325","2287","973"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"421","3378","2269","1138"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"529","3339","2261","1005"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"585","3346","2285","1028"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"638","3530","2107","2473"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"698","3489","2126","2124"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"753","3490","2124","2421"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"808","3307","2279","1083"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
"862","3497","2077","2463"
