Timer,X,Y,Z
"967","3327","6806","4921"
"967","3327","6806","4921"
"967","3327","6806","4921"
"967","3327","6806","4921"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1024","3345","6788","4922"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1086","3289","7226","581"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1147","3236","6855","4733"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1200","2767","6866","1612"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1262","3276","6867","4737"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1323","3282","6851","4814"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1434","3221","6856","4769"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1495","3294","6817","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1556","3307","6834","4818"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1610","2818","6868","1609"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1671","3312","6841","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1733","3246","6832","4875"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1794","3300","6839","4850"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1855","3261","6831","4812"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1909","2735","6864","1606"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"1966","3270","6832","4823"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2028","3269","6885","4835"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2089","3275","6918","4715"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2143","2721","6902","1628"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2204","3250","6943","4731"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2265","3324","6875","4891"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2323","3290","6966","4760"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2384","3293","6963","4820"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2445","3310","7010","4895"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2503","3207","7081","4749"
"2564","3188","7097","4752"
"2564","3188","7097","4752"
"2564","3188","7097","4752"
"2564","3188","7097","4752"
"2564","3188","7097","4752"
"2564","3188","7097","4752"
"2564","3188","7097","4752"
