Timer,AX,AY,AZ,GX,GY,GZ,A
"8","-5","-1","-23","-2","1","-1","268.125"
"8","-5","-1","-23","0","-1","-1","268.125"
"16","0","-3","-23","0","-1","-1","268.125"
"17","0","-3","-23","0","-1","-1","268.125"
"29","-3","-1","-30","0","-1","-1","268.125"
"33","-3","-1","-30","-1","2","-1","268.125"
"37","0","-3","-24","-1","2","-1","268.125"
"40","0","-3","-24","-3","0","-1","268.125"
"45","-3","-3","-25","-3","0","-1","268.125"
"49","-3","-3","-25","0","-1","-1","268.125"
"57","0","-4","-30","0","-1","-1","268.125"
"57","0","-4","-30","0","-2","-1","268.125"
"65","-2","-3","-23","0","-2","-1","268.125"
"69","-2","-3","-23","-3","0","-1","268.125"
"78","-1","-4","-21","-3","0","-1","268.125"
"78","-1","-4","-21","-3","0","-1","268.125"
"86","-3","-3","-28","-3","0","-1","268.125"
"90","-3","-3","-28","2","0","-1","268.125"
"98","-5","-1","-23","2","0","-1","268.125"
"98","-5","-1","-23","0","3","-1","268.125"
"107","-3","-3","-25","0","3","-1","268.125"
"107","-3","-3","-25","2","3","-1","268.125"
"118","-2","-2","-28","2","3","-1","268.125"
"119","-2","-2","-28","4","0","-1","268.125"
"127","-3","-1","-25","4","0","-1","268.125"
"127","-3","-1","-25","1","-2","-1","268.125"
"135","-4","-4","-23","1","-2","-1","268.125"
"139","-4","-4","-23","2","0","-1","268.125"
"147","-5","0","-30","2","0","-1","268.125"
"148","-5","0","-30","1","1","-1","268.125"
"156","-6","-1","-28","1","1","-1","268.125"
"159","-6","-1","-28","2","3","-1","268.125"
"168","-4","-1","-30","2","3","-1","268.125"
"168","-4","-1","-30","0","2","-1","268.125"
"176","-8","0","-29","0","2","-1","268.125"
"176","-8","0","-29","2","0","-1","268.125"
"188","-4","-1","-27","2","0","-1","268.125"
"188","-4","-1","-27","1","-3","-1","268.125"
"197","-3","-3","-25","1","-3","-1","268.125"
"197","-3","-3","-25","-1","-1","-1","268.125"
"205","-4","-2","-29","-1","-1","-1","268.125"
"209","-4","-2","-29","0","1","-1","268.125"
"217","-3","-2","-26","0","1","-1","268.125"
"217","-3","-2","-26","-2","1","-1","268.125"
"225","-3","-4","-25","-2","1","-1","268.125"
"229","-3","-4","-25","-2","0","-1","268.125"
"238","-4","-3","-31","-2","0","-1","268.125"
"238","-4","-3","-31","-1","0","-1","268.125"
"246","-3","-2","-25","-1","0","-1","268.125"
"250","-3","-2","-25","-2","3","-1","268.125"
"258","-4","-5","-21","-2","3","-1","268.125"
"258","-4","-5","-21","-2","1","-1","268.125"
"266","-4","-1","-28","-2","1","-1","268.125"
"270","-4","-1","-28","-4","-1","-1","268.125"
"279","-2","-6","-24","-4","-1","-1","268.125"
"279","-2","-6","-24","-1","1","-1","268.125"
"287","-4","-5","-25","-1","1","-1","268.125"
"287","-4","-5","-25","2","1","-1","268.125"
"295","-4","-6","-26","2","1","-1","268.125"
"299","-4","-6","-26","-2","-1","-1","268.125"
"307","-3","-2","-20","-2","-1","-1","268.125"
"307","-3","-2","-20","1","-1","-1","268.125"
"315","-4","-1","-28","1","-1","-1","268.125"
"319","-4","-1","-28","1","2","-1","268.125"
"328","-4","-3","-30","1","2","-1","268.125"
"328","-4","-3","-30","0","3","-1","268.125"
"336","-4","-1","-23","0","3","-1","268.125"
"340","-4","-1","-23","2","1","-1","268.125"
"348","-3","-3","-25","2","1","-1","268.125"
"348","-3","-3","-25","0","1","-1","268.125"
"356","-4","-1","-28","0","1","-1","268.125"
"357","-4","-1","-28","1","2","-1","268.125"
"368","-4","-3","-23","1","2","-1","268.125"
"369","-4","-3","-23","0","3","-1","268.125"
"377","-2","-3","-26","0","3","-1","268.125"
"377","-2","-3","-26","1","-1","-1","268.125"
"385","-8","-2","-26","1","-1","-1","268.125"
"389","-8","-2","-26","1","1","-1","268.125"
"397","-5","-3","-23","1","1","-1","268.125"
"397","-5","-3","-23","2","1","-1","268.125"
"405","-3","-2","-24","2","1","-1","268.125"
"410","-3","-2","-24","-1","-4","-1","268.125"
"418","-3","0","-30","-1","-4","-1","268.125"
"418","-3","0","-30","0","0","-1","268.125"
"426","-5","-2","-28","0","0","-1","268.125"
"430","-5","-2","-28","-2","1","-1","268.125"
"438","-3","-2","-22","-2","1","-1","268.125"
"438","-3","-2","-22","1","0","-1","268.125"
"446","-2","-6","-26","1","0","-1","268.125"
