Timer,X,Y,Z
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"1","3778","10521","-63"
"58","3779","10517","-34"
"58","3779","10517","-34"
"58","3779","10517","-34"
"58","3779","10517","-34"
"58","3779","10517","-34"
"58","3779","10517","-34"
"58","3779","10517","-34"
"58","3779","10517","-34"
"58","3779","10517","-34"
"58","3779","10517","-34"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"115","3815","10572","-72"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"169","3783","10552","-36"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"226","3795","10569","-44"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"280","3802","10580","-62"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"337","3783","10533","-17"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"394","3766","10553","28"
"447","3850","10580","-72"
"447","3850","10580","-72"
"447","3850","10580","-72"
"447","3850","10580","-72"
"447","3850","10580","-72"
"447","3850","10580","-72"
"447","3850","10580","-72"
"447","3850","10580","-72"
"447","3850","10580","-72"
"447","3850","10580","-72"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"505","3770","10520","-9"
"558","3837","10601","-70"
"558","3837","10601","-70"
"558","3837","10601","-70"
"558","3837","10601","-70"
"558","3837","10601","-70"
"558","3837","10601","-70"
"558","3837","10601","-70"
"558","3837","10601","-70"
"558","3837","10601","-70"
"558","3837","10601","-70"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"615","3827","10604","-33"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"669","3783","10574","-56"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"726","3817","10594","-115"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"779","3767","10567","-75"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"837","3819","10585","-37"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"894","3738","10514","-32"
"951","3769","10559","-113"
"951","3769","10559","-113"
"951","3769","10559","-113"
"951","3769","10559","-113"
"951","3769","10559","-113"
"951","3769","10559","-113"
"951","3769","10559","-113"
"951","3769","10559","-113"
"951","3769","10559","-113"
"951","3769","10559","-113"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1005","3857","10669","-97"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1058","3820","10559","22"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1115","3818","10578","-71"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1173","3784","10543","-32"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1230","3821","10584","-41"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1287","3831","10597","-57"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1340","3790","10553","-17"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1393","3794","10550","-108"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1451","3747","10505","-92"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1549","3798","10562","-62"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1606","3814","10586","-52"
"1660","3794","10571","-86"
"1660","3794","10571","-86"
"1660","3794","10571","-86"
"1660","3794","10571","-86"
"1660","3794","10571","-86"
"1660","3794","10571","-86"
