Timer,X,Y,Z
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
"42","3600","4456","3795"
