Timer,X,Y,Z
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"49","3398","6783","710"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"155","3594","6654","1061"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"217","3519","6559","4090"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"274","3532","6626","1110"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"327","3593","6627","1157"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"393","3561","6648","1048"
"446","3574","6598","1406"
"446","3574","6598","1406"
"446","3574","6598","1406"
"446","3574","6598","1406"
"446","3574","6598","1406"
"446","3574","6598","1406"
"446","3574","6598","1406"
"446","3574","6598","1406"
"446","3574","6598","1406"
"446","3574","6598","1406"
"503","3565","6657","1096"
"503","3565","6657","1096"
"503","3565","6657","1096"
