Timer,AX,AY,AZ,GX,GY,GZ,A
"8","0","2","-22","2","-4","-1","265.8125"
"9","0","2","-22","1","0","-1","265.8125"
"17","0","0","-25","1","0","-1","265.8125"
"17","0","0","-25","1","2","-1","265.8125"
"25","0","0","-27","1","2","-1","265.8125"
"29","0","0","-27","1","0","-1","265.8125"
"37","0","-1","-27","1","0","-1","265.8125"
"37","0","-1","-27","1","-1","-1","265.8125"
"45","0","1","-25","1","-1","-1","265.8125"
"49","0","1","-25","2","-1","-1","265.8125"
"58","-1","4","-24","2","-1","-1","265.8125"
"58","-1","4","-24","0","-1","-1","265.8125"
"66","0","0","-26","0","-1","-1","265.8125"
"70","0","0","-26","1","-2","-1","265.8125"
"78","0","3","-21","1","-2","-1","265.8125"
"78","0","3","-21","1","-1","-1","265.8125"
"86","-1","3","-27","1","-1","-1","265.8125"
"90","-1","3","-27","-1","-1","-1","265.8125"
"99","-2","4","-25","-1","-1","-1","265.8125"
"99","-2","4","-25","0","-1","-1","265.8125"
"107","0","3","-25","0","-1","-1","265.8125"
"107","0","3","-25","-1","-1","-1","265.8125"
"115","0","0","-23","-1","-1","-1","265.8125"
"119","0","0","-23","-2","3","-1","265.8125"
"127","1","0","-24","-2","3","-1","265.8125"
"128","1","0","-24","-1","0","-1","265.8125"
"136","2","0","-27","-1","0","-1","265.8125"
"140","2","0","-27","-1","-2","-1","265.8125"
"148","3","5","-24","-1","-2","-1","265.8125"
"148","3","5","-24","1","0","-1","265.8125"
"156","4","0","-24","1","0","-1","265.8125"
"160","4","0","-24","1","0","-1","265.8125"
"168","5","0","-22","1","0","-1","265.8125"
"169","5","0","-22","-3","1","-1","265.8125"
"177","2","0","-24","-3","1","-1","265.8125"
"177","2","0","-24","3","1","-1","265.8125"
"189","4","3","-24","3","1","-1","265.8125"
"189","4","3","-24","0","-1","-1","265.8125"
"197","0","2","-26","0","-1","-1","265.8125"
"197","0","2","-26","0","0","-1","265.8125"
"205","1","1","-22","0","0","-1","265.8125"
"209","1","1","-22","1","1","-1","265.8125"
"218","-1","0","-23","1","1","-1","265.8125"
"218","-1","0","-23","-1","0","-1","265.8125"
"226","0","2","-25","-1","0","-1","265.8125"
"230","0","2","-25","1","1","-1","265.8125"
"238","0","6","-26","1","1","-1","265.8125"
"238","0","6","-26","2","1","-1","265.8125"
"246","-1","1","-23","2","1","-1","265.8125"
"250","-1","1","-23","0","1","-1","265.8125"
"258","-4","0","-24","0","1","-1","265.8125"
"259","-4","0","-24","3","-1","-1","265.8125"
"267","-3","4","-26","3","-1","-1","265.8125"
