Timer,AX,AY,AZ,GX,GY,GZ,A
"0","-8","-7","-26","0","-2","1","359.0625"
"0","-5","0","-26","0","-2","1","359.0625"
"0","-5","0","-26","3","-3","1","359.0625"
"0","-7","1","-25","3","-3","1","359.0625"
"0","-7","1","-25","-1","-3","1","359.0625"
"1","-15","11","-39","-1","-3","1","359.0625"
"1","-15","11","-39","3","-3","1","359.0625"
"1","-10","8","-33","3","-3","1","359.0625"
"1","-10","8","-33","4","-3","1","359.0625"
"1","0","-2","-25","4","-3","1","359.0625"
"1","0","-2","-25","-4","-5","1","359.0625"
"1","-2","10","-24","-4","-5","1","359.0625"
"1","-2","10","-24","-3","-4","1","359.0625"
"1","0","16","-27","-3","-4","1","359.0625"
"1","0","16","-27","2","-3","1","359.0625"
"1","-3","-1","-35","2","-3","1","359.0625"
"2","-3","-1","-35","-4","-4","1","359.0625"
"2","1","-11","-24","-4","-4","1","359.0625"
"2","1","-11","-24","-4","-4","1","359.0625"
"2","4","6","-18","-4","-4","1","359.0625"
"2","4","6","-18","6","-3","1","359.0625"
"2","-4","-1","-26","6","-3","1","359.0625"
"2","-4","-1","-26","1","0","1","359.0625"
"2","0","-25","-22","1","0","1","359.0625"
"2","0","-25","-22","-7","1","1","359.0625"
"2","0","-7","-28","-7","1","1","359.0625"
"3","0","-7","-28","3","-1","1","359.0625"
"3","-1","3","-26","3","-1","1","359.0625"
"3","-1","3","-26","9","7","1","359.0625"
"3","-10","-9","-28","9","7","1","359.0625"
"3","-10","-9","-28","0","5","1","359.0625"
"3","-11","-11","-30","0","5","1","359.0625"
"3","-11","-11","-30","-6","3","1","359.0625"
"3","-4","3","-30","-6","3","1","359.0625"
"3","-4","3","-30","4","-2","1","359.0625"
"3","-12","6","-32","4","-2","1","359.0625"
"3","-12","6","-32","6","3","1","359.0625"
"3","-10","1","-25","6","3","1","359.0625"
"4","-10","1","-25","-1","0","1","359.0625"
"4","-6","14","-30","-1","0","1","359.0625"
"4","-6","14","-30","6","-1","1","359.0625"
"4","-1","11","-31","6","-1","1","359.0625"
"4","-1","11","-31","1","-1","1","359.0625"
"4","-2","-2","-29","1","-1","1","359.0625"
"4","-2","-2","-29","-4","1","1","359.0625"
"4","-1","4","-30","-4","1","1","359.0625"
"4","-1","4","-30","-1","-1","1","359.0625"
"4","-1","9","-26","-1","-1","1","359.0625"
"5","-1","9","-26","4","-2","1","359.0625"
"5","-2","0","-28","4","-2","1","359.0625"
"5","-2","0","-28","-6","-3","1","359.0625"
"5","-1","-12","-31","-6","-3","1","359.0625"
"5","-1","-12","-31","-7","-2","1","359.0625"
"5","-1","-9","-26","-7","-2","1","359.0625"
"5","-1","-9","-26","-1","2","1","359.0625"
"5","-4","-13","-21","-1","2","1","359.0625"
"5","-4","-13","-21","-2","1","1","359.0625"
"5","-2","-17","-24","-2","1","1","359.0625"
"6","-2","-17","-24","-2","2","1","359.0625"
"6","-5","-5","-29","-2","2","1","359.0625"
"6","-5","-5","-29","1","0","1","359.0625"
"6","-3","-1","-27","1","0","1","359.0625"
"6","-3","-1","-27","5","1","1","359.0625"
"6","-3","-8","-24","5","1","1","359.0625"
"6","-3","-8","-24","1","1","1","359.0625"
"6","-4","-12","-24","1","1","1","359.0625"
"6","-4","-12","-24","1","-2","1","359.0625"
"6","-5","0","-28","1","-2","1","359.0625"
"7","-5","0","-28","1","4","1","359.0625"
"7","-10","15","-35","1","4","1","359.0625"
"7","-10","15","-35","4","1","1","359.0625"
"7","1","-4","-19","4","1","1","359.0625"
"7","1","-4","-19","-3","3","1","359.0625"
"7","-11","-10","-25","-3","3","1","359.0625"
"7","-11","-10","-25","-6","3","1","359.0625"
"7","-12","1","-30","-6","3","1","359.0625"
"7","-12","1","-30","-1","5","1","359.0625"
"7","-7","9","-31","-1","5","1","359.0625"
"7","-7","9","-31","4","2","1","359.0625"
"8","-10","-5","-28","4","2","1","359.0625"
"8","-10","-5","-28","1","2","1","359.0625"
"8","0","-5","-19","1","2","1","359.0625"
"8","0","-5","-19","-5","1","1","359.0625"
"8","-4","5","-24","-5","1","1","359.0625"
"8","-4","5","-24","2","1","1","359.0625"
"8","-5","-23","-27","2","1","1","359.0625"
"8","-5","-23","-27","-4","4","1","359.0625"
"8","-1","-23","-24","-4","4","1","359.0625"
"8","-1","-23","-24","-7","1","1","359.0625"
"8","0","10","-28","-7","1","1","359.0625"
"9","0","10","-28","7","-1","1","359.0625"
"9","2","13","-29","7","-1","1","359.0625"
"9","2","13","-29","3","-1","1","359.0625"
"9","0","-29","-26","3","-1","1","359.0625"
"9","0","-29","-26","-11","1","1","359.0625"
"9","-1","-1","-30","-11","1","1","359.0625"
"9","-1","-1","-30","2","0","1","359.0625"
"9","0","18","-30","2","0","1","359.0625"
"9","0","18","-30","8","0","1","359.0625"
"9","-3","-21","-23","8","0","1","359.0625"
"10","-3","-21","-23","-1","-1","1","359.0625"
"10","-7","-7","-30","-1","-1","1","359.0625"
"10","-7","-7","-30","-1","1","1","359.0625"
"10","-6","8","-28","-1","1","1","359.0625"
"10","-6","8","-28","6","2","1","359.0625"
"10","-12","-4","-31","6","2","1","359.0625"
"10","-12","-4","-31","1","2","1","359.0625"
"10","-10","0","-26","1","2","1","359.0625"
"10","-10","0","-26","1","1","1","359.0625"
"10","-11","1","-29","1","1","1","359.0625"
"10","-11","1","-29","4","-1","1","359.0625"
"11","-6","-7","-23","4","-1","1","359.0625"
"11","-6","-7","-23","-1","2","1","359.0625"
"11","-10","9","-30","-1","2","1","359.0625"
"11","-10","9","-30","1","0","1","359.0625"
"11","-6","9","-30","1","0","1","359.0625"
"11","-6","9","-30","5","1","1","359.0625"
"11","-7","-15","-31","5","1","1","359.0625"
"11","-7","-15","-31","-8","3","1","359.0625"
"12","-1","-1","-26","-8","3","1","359.0625"
"12","-1","-1","-26","-3","-1","1","359.0625"
"12","-1","7","-23","-3","-1","1","359.0625"
"12","-1","7","-23","9","1","1","359.0625"
