Timer,AX,AY,AZ,GX,GY,GZ
"1004","4","6","-1","-2","-3","0"
"1015","4","7","-1","0","-1","1"
"1024","6","7","-1","0","0","-1"
"1036","3","6","-1","-2","-1","-2"
"1044","5","6","-1","3","1","0"
"1052","-1","8","-1","1","0","-2"
"1065","17","7","-1","-1","-3","-2"
"1073","1","12","-1","-3","2","-1"
"1085","14","0","-1","0","-1","-2"
"1093","0","14","-1","0","-1","-3"
"1105","0","5","-1","-2","0","0"
"1114","5","6","-1","0","2","-1"
"1126","13","7","-1","0","-4","0"
"1134","-1","10","-1","0","0","-2"
"1146","7","6","-1","0","0","-2"
"1155","3","6","-1","0","-3","-1"
"1163","7","6","-1","0","1","-1"
"1175","5","7","-1","-3","2","-1"
"1184","7","5","-1","1","-4","0"
"1195","3","7","-1","-1","-2","0"
"1204","1","5","-1","-1","1","0"
"1216","5","5","-1","-2","-3","-1"
"1224","6","6","-1","-2","-4","0"
"1236","3","5","-1","0","-1","1"
"1245","8","8","-1","-1","-1","0"
"1253","3","6","-1","-1","0","1"
"1265","3","6","-1","0","3","1"
"1273","4","8","-1","-1","2","0"
"1286","6","7","-1","-1","-1","0"
"1294","4","6","-1","1","0","0"
"1306","3","5","-1","-2","-1","1"
"1315","5","7","-1","-1","1","-3"
"1327","5","6","-1","-4","2","-1"
"1335","6","6","-1","0","2","-1"
"1343","6","7","-1","-2","-2","-2"
"1355","3","5","-1","1","-1","-4"
"1364","4","7","-1","-2","-2","-2"
"1376","7","7","-1","-3","-4","-4"
"1384","5","7","-1","-5","-4","-1"
"1396","3","6","-1","-1","1","-1"
"1405","3","6","-1","0","1","0"
"1417","5","5","-1","-1","-2","0"
"1425","1","7","-1","0","-2","-3"
"1437","4","7","-1","1","1","1"
"1446","5","8","-1","0","-1","0"
"1454","4","6","-1","2","1","-1"
"1466","5","7","-1","-1","3","3"
"1474","8","6","-1","-1","1","-1"
"1486","4","6","-1","-3","2","2"
"1495","4","5","-1","-1","4","1"
"1507","7","6","-1","-1","1","-2"
"1515","4","6","-1","-1","2","1"
"1527","5","6","-1","-3","1","-1"
"1536","5","6","-1","-1","0","0"
"1544","4","6","-1","-2","0","-1"
"1556","3","7","-1","1","3","1"
"1564","6","8","-1","2","2","0"
"1577","6","6","-1","-1","-1","1"
