Timer,X,Y,Z
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
"973","4267","6834","1248"
