Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;;;;
0.000;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;1000;0;0;0;;;;;;;;
0.005;-0.01962;0.03924;-0.26487;;-0.00005;0.00010;-0.00066;;0.00000;0.00000;0.00000;;1005;-2;4;-27;;;;;;;;
0.005;-0.01962;0.03924;-0.26487;;-0.00005;0.00010;-0.00066;;0.00000;0.00000;0.00000;;1005;-2;4;-27;;;;;;;;
0.013;0.00000;0.01962;-0.28449;;-0.00013;0.00033;-0.00286;;0.00000;0.00000;-0.00002;;1013;0;2;-29;;;;;;;;
0.013;0.00000;0.01962;-0.28449;;-0.00013;0.00033;-0.00286;;0.00000;0.00000;-0.00002;;1013;0;2;-29;;;;;;;;
0.026;-0.00981;0.00000;-0.27468;;-0.00019;0.00046;-0.00649;;0.00000;0.00001;-0.00008;;1026;-1;0;-28;;;;;;;;
0.026;-0.00981;0.00000;-0.27468;;-0.00019;0.00046;-0.00649;;0.00000;0.00001;-0.00008;;1026;-1;0;-28;;;;;;;;
0.034;-0.00981;0.00981;-0.27468;;-0.00027;0.00050;-0.00869;;0.00000;0.00001;-0.00014;;1034;-1;1;-28;;;;;;;;
0.034;-0.00981;0.00981;-0.27468;;-0.00027;0.00050;-0.00869;;0.00000;0.00001;-0.00014;;1034;-1;1;-28;;;;;;;;
0.042;-0.02943;0.00981;-0.27468;;-0.00043;0.00058;-0.01089;;-0.00001;0.00002;-0.00022;;1042;-3;1;-28;;;;;;;;
0.046;-0.02943;0.00981;-0.27468;;-0.00054;0.00062;-0.01199;;-0.00001;0.00002;-0.00026;;1046;-3;1;-28;;;;;;;;
0.054;-0.03924;0.02943;-0.28449;;-0.00082;0.00077;-0.01422;;-0.00001;0.00002;-0.00037;;1054;-4;3;-29;;;;;;;;
0.055;-0.03924;0.02943;-0.28449;;-0.00086;0.00080;-0.01451;;-0.00002;0.00002;-0.00038;;1055;-4;3;-29;;;;;;;;
0.063;-0.01962;0.02943;-0.25506;;-0.00109;0.00104;-0.01667;;-0.00002;0.00003;-0.00051;;1063;-2;3;-26;;;;;;;;
0.063;-0.01962;0.02943;-0.25506;;-0.00109;0.00104;-0.01667;;-0.00002;0.00003;-0.00051;;1063;-2;3;-26;;;;;;;;
0.075;-0.01962;0.01962;-0.30411;;-0.00133;0.00133;-0.02002;;-0.00004;0.00005;-0.00073;;1075;-2;2;-31;;;;;;;;
0.075;-0.01962;0.01962;-0.30411;;-0.00133;0.00133;-0.02002;;-0.00004;0.00005;-0.00073;;1075;-2;2;-31;;;;;;;;
0.083;0.00000;0.02943;-0.27468;;-0.00141;0.00153;-0.02234;;-0.00005;0.00006;-0.00089;;1083;0;3;-28;;;;;;;;
0.083;0.00000;0.02943;-0.27468;;-0.00141;0.00153;-0.02234;;-0.00005;0.00006;-0.00089;;1083;0;3;-28;;;;;;;;
0.095;-0.01962;0.02943;-0.31392;;-0.00153;0.00188;-0.02587;;-0.00007;0.00008;-0.00118;;1095;-2;3;-32;;;;;;;;
0.095;-0.01962;0.02943;-0.31392;;-0.00153;0.00188;-0.02587;;-0.00007;0.00008;-0.00118;;1095;-2;3;-32;;;;;;;;
0.103;-0.01962;0.00981;-0.30411;;-0.00168;0.00204;-0.02834;;-0.00008;0.00009;-0.00140;;1103;-2;1;-31;;;;;;;;
0.104;-0.01962;0.00981;-0.30411;;-0.00170;0.00205;-0.02865;;-0.00008;0.00010;-0.00143;;1104;-2;1;-31;;;;;;;;
0.116;-0.00981;0.03924;-0.29430;;-0.00188;0.00234;-0.03224;;-0.00010;0.00012;-0.00179;;1116;-1;4;-30;;;;;;;;
0.116;-0.00981;0.03924;-0.29430;;-0.00188;0.00234;-0.03224;;-0.00010;0.00012;-0.00179;;1116;-1;4;-30;;;;;;;;
0.124;-0.00981;0.01962;-0.29430;;-0.00196;0.00258;-0.03459;;-0.00012;0.00014;-0.00206;;1124;-1;2;-30;;;;;;;;
0.124;-0.00981;0.01962;-0.29430;;-0.00196;0.00258;-0.03459;;-0.00012;0.00014;-0.00206;;1124;-1;2;-30;;;;;;;;
0.132;-0.02943;0.01962;-0.27468;;-0.00211;0.00274;-0.03687;;-0.00013;0.00016;-0.00235;;1132;-3;2;-28;;;;;;;;
0.136;-0.02943;0.01962;-0.27468;;-0.00223;0.00282;-0.03796;;-0.00014;0.00017;-0.00250;;1136;-3;2;-28;;;;;;;;
0.144;0.00000;0.01962;-0.29430;;-0.00235;0.00297;-0.04024;;-0.00016;0.00020;-0.00281;;1144;0;2;-30;;;;;;;;
0.144;0.00000;0.01962;-0.29430;;-0.00235;0.00297;-0.04024;;-0.00016;0.00020;-0.00281;;1144;0;2;-30;;;;;;;;
0.152;-0.00981;0.03924;-0.27468;;-0.00239;0.00321;-0.04252;;-0.00018;0.00022;-0.00314;;1152;-1;4;-28;;;;;;;;
0.153;-0.00981;0.03924;-0.27468;;-0.00240;0.00325;-0.04279;;-0.00018;0.00022;-0.00318;;1153;-1;4;-28;;;;;;;;
0.165;-0.00981;0.01962;-0.30411;;-0.00252;0.00360;-0.04626;;-0.00021;0.00027;-0.00372;;1165;-1;2;-31;;;;;;;;
0.165;-0.00981;0.01962;-0.30411;;-0.00252;0.00360;-0.04626;;-0.00021;0.00027;-0.00372;;1165;-1;2;-31;;;;;;;;
0.173;-0.00981;0.02943;-0.24525;;-0.00259;0.00380;-0.04846;;-0.00023;0.00030;-0.00410;;1173;-1;3;-25;;;;;;;;
0.173;-0.00981;0.02943;-0.24525;;-0.00259;0.00380;-0.04846;;-0.00023;0.00030;-0.00410;;1173;-1;3;-25;;;;;;;;
0.185;-0.01962;0.02943;-0.24525;;-0.00277;0.00415;-0.05140;;-0.00026;0.00034;-0.00470;;1185;-2;3;-25;;;;;;;;
0.185;-0.01962;0.02943;-0.24525;;-0.00277;0.00415;-0.05140;;-0.00026;0.00034;-0.00470;;1185;-2;3;-25;;;;;;;;
0.194;-0.01962;0.01962;-0.31392;;-0.00295;0.00437;-0.05392;;-0.00029;0.00038;-0.00517;;1194;-2;2;-32;;;;;;;;
0.194;-0.01962;0.01962;-0.31392;;-0.00295;0.00437;-0.05392;;-0.00029;0.00038;-0.00517;;1194;-2;2;-32;;;;;;;;
0.202;0.00000;0.02943;-0.30411;;-0.00303;0.00457;-0.05639;;-0.00031;0.00042;-0.00561;;1202;0;3;-31;;;;;;;;
0.206;0.00000;0.02943;-0.30411;;-0.00303;0.00468;-0.05761;;-0.00033;0.00044;-0.00584;;1206;0;3;-31;;;;;;;;
0.214;-0.01962;0.00981;-0.28449;;-0.00310;0.00484;-0.05996;;-0.00035;0.00047;-0.00631;;1214;-2;1;-29;;;;;;;;
0.214;-0.01962;0.00981;-0.28449;;-0.00310;0.00484;-0.05996;;-0.00035;0.00047;-0.00631;;1214;-2;1;-29;;;;;;;;
0.222;-0.01962;0.02943;-0.28449;;-0.00326;0.00500;-0.06224;;-0.00038;0.00051;-0.00680;;1222;-2;3;-29;;;;;;;;
0.226;-0.01962;0.02943;-0.28449;;-0.00334;0.00512;-0.06338;;-0.00039;0.00053;-0.00705;;1226;-2;3;-29;;;;;;;;
0.235;-0.01962;0.04905;-0.28449;;-0.00352;0.00547;-0.06594;;-0.00042;0.00058;-0.00763;;1235;-2;5;-29;;;;;;;;
0.235;-0.01962;0.04905;-0.28449;;-0.00352;0.00547;-0.06594;;-0.00042;0.00058;-0.00763;;1235;-2;5;-29;;;;;;;;
0.243;-0.00981;0.00000;-0.30411;;-0.00363;0.00567;-0.06829;;-0.00045;0.00063;-0.00817;;1243;-1;0;-31;;;;;;;;
0.243;-0.00981;0.00000;-0.30411;;-0.00363;0.00567;-0.06829;;-0.00045;0.00063;-0.00817;;1243;-1;0;-31;;;;;;;;
0.255;-0.01962;0.02943;-0.31392;;-0.00381;0.00584;-0.07200;;-0.00049;0.00069;-0.00901;;1255;-2;3;-32;;;;;;;;
0.255;-0.01962;0.02943;-0.31392;;-0.00381;0.00584;-0.07200;;-0.00049;0.00069;-0.00901;;1255;-2;3;-32;;;;;;;;
0.263;-0.01962;0.02943;-0.29430;;-0.00397;0.00608;-0.07443;;-0.00052;0.00074;-0.00960;;1263;-2;3;-30;;;;;;;;
0.263;-0.01962;0.02943;-0.29430;;-0.00397;0.00608;-0.07443;;-0.00052;0.00074;-0.00960;;1263;-2;3;-30;;;;;;;;
0.275;0.00000;0.02943;-0.27468;;-0.00409;0.00643;-0.07785;;-0.00057;0.00082;-0.01051;;1275;0;3;-28;;;;;;;;
0.276;0.00000;0.02943;-0.27468;;-0.00409;0.00646;-0.07812;;-0.00058;0.00082;-0.01059;;1276;0;3;-28;;;;;;;;
0.284;-0.00981;0.00981;-0.30411;;-0.00413;0.00662;-0.08044;;-0.00061;0.00088;-0.01122;;1284;-1;1;-31;;;;;;;;
0.284;-0.00981;0.00981;-0.30411;;-0.00413;0.00662;-0.08044;;-0.00061;0.00088;-0.01122;;1284;-1;1;-31;;;;;;;;
0.292;-0.02943;0.00981;-0.29430;;-0.00428;0.00670;-0.08283;;-0.00064;0.00093;-0.01188;;1292;-3;1;-30;;;;;;;;
0.296;-0.02943;0.00981;-0.29430;;-0.00440;0.00673;-0.08401;;-0.00066;0.00096;-0.01221;;1296;-3;1;-30;;;;;;;;
0.304;-0.00981;0.02943;-0.30411;;-0.00456;0.00689;-0.08640;;-0.00070;0.00101;-0.01289;;1304;-1;3;-31;;;;;;;;
0.304;-0.00981;0.02943;-0.30411;;-0.00456;0.00689;-0.08640;;-0.00070;0.00101;-0.01289;;1304;-1;3;-31;;;;;;;;
0.312;0.00000;0.01962;-0.27468;;-0.00460;0.00709;-0.08872;;-0.00073;0.00107;-0.01359;;1312;0;2;-28;;;;;;;;
0.316;0.00000;0.01962;-0.27468;;-0.00460;0.00717;-0.08982;;-0.00075;0.00110;-0.01395;;1316;0;2;-28;;;;;;;;
0.325;0.00000;0.00981;-0.28449;;-0.00460;0.00730;-0.09233;;-0.00079;0.00116;-0.01477;;1325;0;1;-29;;;;;;;;
0.325;0.00000;0.00981;-0.28449;;-0.00460;0.00730;-0.09233;;-0.00079;0.00116;-0.01477;;1325;0;1;-29;;;;;;;;
0.333;-0.01962;0.00981;-0.27468;;-0.00467;0.00738;-0.09457;;-0.00083;0.00122;-0.01552;;1333;-2;1;-28;;;;;;;;
0.337;-0.01962;0.00981;-0.27468;;-0.00475;0.00742;-0.09567;;-0.00085;0.00125;-0.01590;;1337;-2;1;-28;;;;;;;;
0.345;0.00000;0.03924;-0.33354;;-0.00483;0.00761;-0.09810;;-0.00089;0.00131;-0.01667;;1345;0;4;-34;;;;;;;;
0.345;0.00000;0.03924;-0.33354;;-0.00483;0.00761;-0.09810;;-0.00089;0.00131;-0.01667;;1345;0;4;-34;;;;;;;;
0.353;0.00000;0.00981;-0.28449;;-0.00483;0.00781;-0.10057;;-0.00093;0.00137;-0.01747;;1353;0;1;-29;;;;;;;;
0.354;0.00000;0.00981;-0.28449;;-0.00483;0.00782;-0.10086;;-0.00093;0.00138;-0.01757;;1354;0;1;-29;;;;;;;;
0.366;0.00000;0.00000;-0.25506;;-0.00483;0.00788;-0.10409;;-0.00099;0.00147;-0.01880;;1366;0;0;-26;;;;;;;;
0.366;0.00000;0.00000;-0.25506;;-0.00483;0.00788;-0.10409;;-0.00099;0.00147;-0.01880;;1366;0;0;-26;;;;;;;;
0.374;-0.01962;0.00981;-0.25506;;-0.00491;0.00792;-0.10613;;-0.00103;0.00154;-0.01964;;1374;-2;1;-26;;;;;;;;
0.374;-0.01962;0.00981;-0.25506;;-0.00491;0.00792;-0.10613;;-0.00103;0.00154;-0.01964;;1374;-2;1;-26;;;;;;;;
0.386;-0.01962;0.02943;-0.30411;;-0.00515;0.00815;-0.10949;;-0.00109;0.00163;-0.02093;;1386;-2;3;-31;;;;;;;;
0.386;-0.01962;0.02943;-0.30411;;-0.00515;0.00815;-0.10949;;-0.00109;0.00163;-0.02093;;1386;-2;3;-31;;;;;;;;
0.394;-0.02943;0.00981;-0.27468;;-0.00534;0.00831;-0.11180;;-0.00113;0.00170;-0.02182;;1394;-3;1;-28;;;;;;;;
0.395;-0.02943;0.00981;-0.27468;;-0.00537;0.00832;-0.11208;;-0.00114;0.00171;-0.02193;;1395;-3;1;-28;;;;;;;;
0.402;0.00000;0.00000;-0.28449;;-0.00547;0.00835;-0.11404;;-0.00117;0.00176;-0.02272;;1402;0;0;-29;;;;;;;;
0.407;0.00000;0.00000;-0.28449;;-0.00547;0.00835;-0.11546;;-0.00120;0.00181;-0.02329;;1407;0;0;-29;;;;;;;;
0.415;-0.01962;0.03924;-0.30411;;-0.00555;0.00851;-0.11781;;-0.00125;0.00187;-0.02423;;1415;-2;4;-31;;;;;;;;
0.415;-0.01962;0.03924;-0.30411;;-0.00555;0.00851;-0.11781;;-0.00125;0.00187;-0.02423;;1415;-2;4;-31;;;;;;;;
0.423;-0.00981;0.03924;-0.28449;;-0.00567;0.00882;-0.12017;;-0.00129;0.00194;-0.02518;;1423;-1;4;-29;;;;;;;;
0.427;-0.00981;0.03924;-0.28449;;-0.00571;0.00898;-0.12131;;-0.00131;0.00198;-0.02566;;1427;-1;4;-29;;;;;;;;
0.435;-0.01962;0.00000;-0.28449;;-0.00583;0.00914;-0.12358;;-0.00136;0.00205;-0.02664;;1435;-2;0;-29;;;;;;;;
0.436;-0.01962;0.00000;-0.28449;;-0.00585;0.00914;-0.12387;;-0.00136;0.00206;-0.02676;;1436;-2;0;-29;;;;;;;;
0.443;-0.01962;0.00981;-0.33354;;-0.00598;0.00917;-0.12603;;-0.00141;0.00212;-0.02764;;1443;-2;1;-34;;;;;;;;
0.444;-0.01962;0.00981;-0.33354;;-0.00600;0.00918;-0.12636;;-0.00141;0.00213;-0.02777;;1444;-2;1;-34;;;;;;;;
0.456;0.00000;0.00000;-0.27468;;-0.00612;0.00924;-0.13001;;-0.00148;0.00224;-0.02930;;1456;0;0;-28;;;;;;;;
0.456;0.00000;0.00000;-0.27468;;-0.00612;0.00924;-0.13001;;-0.00148;0.00224;-0.02930;;1456;0;0;-28;;;;;;;;
0.464;-0.01962;0.01962;-0.27468;;-0.00620;0.00932;-0.13221;;-0.00153;0.00232;-0.03035;;1464;-2;2;-28;;;;;;;;
0.464;-0.01962;0.01962;-0.27468;;-0.00620;0.00932;-0.13221;;-0.00153;0.00232;-0.03035;;1464;-2;2;-28;;;;;;;;
0.476;-0.01962;0.00981;-0.26487;;-0.00644;0.00950;-0.13545;;-0.00161;0.00243;-0.03196;;1476;-2;1;-27;;;;;;;;
0.476;-0.01962;0.00981;-0.26487;;-0.00644;0.00950;-0.13545;;-0.00161;0.00243;-0.03196;;1476;-2;1;-27;;;;;;;;
0.485;-0.01962;0.02943;-0.30411;;-0.00661;0.00967;-0.13801;;-0.00167;0.00252;-0.03319;;1485;-2;3;-31;;;;;;;;
0.485;-0.01962;0.02943;-0.30411;;-0.00661;0.00967;-0.13801;;-0.00167;0.00252;-0.03319;;1485;-2;3;-31;;;;;;;;
0.493;-0.01962;0.00000;-0.28449;;-0.00677;0.00979;-0.14036;;-0.00172;0.00260;-0.03430;;1493;-2;0;-29;;;;;;;;
0.497;-0.01962;0.00000;-0.28449;;-0.00685;0.00979;-0.14150;;-0.00175;0.00263;-0.03487;;1497;-2;0;-29;;;;;;;;
0.505;-0.01962;0.01962;-0.29430;;-0.00700;0.00987;-0.14381;;-0.00180;0.00271;-0.03601;;1505;-2;2;-30;;;;;;;;
0.505;-0.01962;0.01962;-0.29430;;-0.00700;0.00987;-0.14381;;-0.00180;0.00271;-0.03601;;1505;-2;2;-30;;;;;;;;
