Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;;;;
0.000;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;0.00000;0.00000;0.00000;;1000;0;0;0;;;;;;;;
0.005;-0.01962;0.03924;-0.26487;;-0.00005;0.00010;-0.00066;;0.00000;0.00000;0.00000;;1005;-1.99999928;3.99999744;-26.99997813;;;;;;;;
0.005;-0.01962;0.03924;-0.26487;;-0.00005;0.00010;-0.00066;;0.00000;0.00000;0.00000;;1005;-1.999999831;3.999999448;-26.99999505;;;;;;;;
0.013;0.01473;0.00443;-0.29943;;-0.00007;0.00027;-0.00292;;0.00000;0.00000;-0.00002;;1013;1.501831542;0.451963309;-30.52306979;;;;;;;;
0.013;0.00368;0.01618;-0.28806;;-0.00007;0.00027;-0.00292;;0.00000;0.00000;-0.00002;;1013;0.375371949;1.649340481;-29.36425847;;;;;;;;
0.026;-0.01625;-0.01595;-0.26807;;-0.00015;0.00027;-0.00653;;0.00000;0.00001;-0.00008;;1026;-1.656161932;-1.626347797;-27.32633138;;;;;;;;
0.026;-0.01142;-0.00361;-0.27310;;-0.00015;0.00027;-0.00653;;0.00000;0.00001;-0.00008;;1026;-1.164040336;-0.368445593;-27.83885656;;;;;;;;
0.034;-0.01021;0.01658;-0.27430;;-0.00024;0.00033;-0.00872;;0.00000;0.00001;-0.00014;;1034;-1.041010082;1.689981496;-27.96145401;;;;;;;;
0.034;-0.00991;0.01134;-0.27459;;-0.00024;0.00033;-0.00872;;0.00000;0.00001;-0.00014;;1034;-1.01025252;1.156313876;-27.99077969;;;;;;;;
0.042;-0.04417;0.01016;-0.27466;;-0.00045;0.00041;-0.01092;;-0.00001;0.00001;-0.00022;;1042;-4.50256313;1.035412584;-27.99779447;;;;;;;;
0.046;-0.03312;0.00989;-0.27467;;-0.00061;0.00045;-0.01202;;-0.00001;0.00001;-0.00026;;1046;-3.375640783;1.008022647;-27.99947243;;;;;;;;
0.054;-0.04752;0.04462;-0.29195;;-0.00093;0.00067;-0.01429;;-0.00001;0.00002;-0.00037;;1054;-4.843910196;4.548721665;-29.76067084;;;;;;;;
0.055;-0.04131;0.03287;-0.28627;;-0.00097;0.00071;-0.01458;;-0.00002;0.00002;-0.00038;;1055;-4.210977549;3.350859679;-29.18195472;;;;;;;;
0.063;-0.00542;0.03021;-0.23310;;-0.00116;0.00096;-0.01665;;-0.00002;0.00002;-0.00051;;1063;-0.552744387;3.079486532;-23.76113302;;;;;;;;
0.063;-0.01607;0.02961;-0.24981;;-0.00116;0.00096;-0.01665;;-0.00002;0.00002;-0.00051;;1063;-1.638186097;3.018007509;-25.46445637;;;;;;;;
0.075;-0.01873;0.01207;-0.34017;;-0.00137;0.00121;-0.02019;;-0.00004;0.00004;-0.00073;;1075;-1.909546524;1.230627488;-34.67588153;;;;;;;;
0.075;-0.01940;0.01791;-0.31274;;-0.00137;0.00121;-0.02019;;-0.00004;0.00004;-0.00073;;1075;-1.977386631;1.825700254;-31.87928178;;;;;;;;
0.083;0.01477;0.03663;-0.25435;;-0.00139;0.00143;-0.02246;;-0.00005;0.00005;-0.00090;;1083;1.505653342;3.73396483;-25.92793572;;;;;;;;
0.083;0.00369;0.03106;-0.26982;;-0.00139;0.00143;-0.02246;;-0.00005;0.00005;-0.00090;;1083;0.376413336;3.166278209;-27.50435607;;;;;;;;
0.095;-0.03341;0.02980;-0.34261;;-0.00157;0.00179;-0.02614;;-0.00007;0.00007;-0.00119;;1095;-3.405896666;3.037669983;-34.92462862;;;;;;;;
0.095;-0.02307;0.02951;-0.32078;;-0.00157;0.00179;-0.02614;;-0.00007;0.00007;-0.00119;;1095;-2.351474167;3.008534056;-32.69957985;;;;;;;;
0.103;-0.02048;-0.00535;-0.29829;;-0.00174;0.00189;-0.02861;;-0.00008;0.00008;-0.00141;;1103;-2.087868542;-0.544970778;-30.40654455;;;;;;;;
0.104;-0.01984;0.00638;-0.30272;;-0.00176;0.00189;-0.02891;;-0.00008;0.00008;-0.00144;;1104;-2.021967135;0.649990077;-30.85804369;;;;;;;;
0.116;-0.00251;0.06122;-0.28650;;-0.00190;0.00230;-0.03245;;-0.00010;0.00011;-0.00181;;1116;-0.255491784;6.241062205;-29.2052466;;;;;;;;
0.116;-0.00798;0.04422;-0.29244;;-0.00190;0.00230;-0.03245;;-0.00010;0.00011;-0.00181;;1116;-0.813872946;4.507707991;-29.80989263;;;;;;;;
0.124;-0.00935;0.00557;-0.29385;;-0.00196;0.00250;-0.03479;;-0.00012;0.00013;-0.00208;;1124;-0.953468236;0.568116041;-29.95452575;;;;;;;;
0.124;-0.00970;0.01644;-0.29419;;-0.00196;0.00250;-0.03479;;-0.00012;0.00013;-0.00208;;1124;-0.988367059;1.675609661;-29.98912242;;;;;;;;
0.132;-0.04412;0.01890;-0.25973;;-0.00218;0.00264;-0.03701;;-0.00014;0.00015;-0.00236;;1132;-4.497091765;1.926510042;-26.47580399;;;;;;;;
0.136;-0.03310;0.01946;-0.27110;;-0.00233;0.00271;-0.03807;;-0.00015;0.00016;-0.00251;;1136;-3.374272941;1.983351003;-27.63540779;;;;;;;;
