Timer,X,Y,Z
"972","2898","9002","1857"
"972","2898","9002","1857"
"972","2898","9002","1857"
"972","2898","9002","1857"
"972","2898","9002","1857"
"972","2898","9002","1857"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1029","2914","9004","1880"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1087","2873","8971","1854"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1140","2861","8974","1860"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1197","2879","9015","1853"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1259","3280","8993","4753"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1316","2880","8967","1865"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1377","2885","8973","1869"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1434","2905","8991","1857"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1488","2871","8989","1853"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1549","2859","8951","1862"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1603","2862","8968","1870"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1660","2878","8989","1858"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1713","2845","8940","1864"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1770","2878","8995","1862"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1836","2882","8977","1878"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1889","2851","8970","1865"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"1946","2889","8974","1873"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
"2008","2868","8965","1851"
