Timer,X,Y,Z
"977","3880","4493","4870"
"977","3880","4493","4870"
"977","3880","4493","4870"
"977","3880","4493","4870"
"1039","3899","4491","4845"
"1039","3899","4491","4845"
"1039","3899","4491","4845"
"1039","3899","4491","4845"
"1039","3899","4491","4845"
"1039","3899","4491","4845"
"1039","3899","4491","4845"
"1100","3923","4501","4774"
"1100","3923","4501","4774"
"1100","3923","4501","4774"
"1100","3923","4501","4774"
"1100","3923","4501","4774"
"1158","3866","4493","4839"
"1158","3866","4493","4839"
"1158","3866","4493","4839"
"1158","3866","4493","4839"
"1158","3866","4493","4839"
"1158","3866","4493","4839"
"1219","3249","4508","1382"
"1219","3249","4508","1382"
"1219","3249","4508","1382"
"1219","3249","4508","1382"
"1219","3249","4508","1382"
"1219","3249","4508","1382"
"1280","3894","4512","4780"
"1280","3894","4512","4780"
"1280","3894","4512","4780"
"1280","3894","4512","4780"
"1280","3894","4512","4780"
"1280","3894","4512","4780"
"1338","3906","4499","4895"
"1338","3906","4499","4895"
"1338","3906","4499","4895"
"1338","3906","4499","4895"
"1338","3906","4499","4895"
"1338","3906","4499","4895"
"1399","3883","4506","4887"
"1399","3883","4506","4887"
"1399","3883","4506","4887"
"1399","3883","4506","4887"
"1399","3883","4506","4887"
"1399","3883","4506","4887"
"1460","3847","4526","4867"
"1460","3847","4526","4867"
"1460","3847","4526","4867"
"1460","3847","4526","4867"
"1460","3847","4526","4867"
"1460","3847","4526","4867"
"1518","3883","4511","4849"
"1518","3883","4511","4849"
"1518","3883","4511","4849"
"1518","3883","4511","4849"
"1518","3883","4511","4849"
"1518","3883","4511","4849"
"1580","3909","4509","4905"
"1580","3909","4509","4905"
"1580","3909","4509","4905"
"1580","3909","4509","4905"
"1580","3909","4509","4905"
"1580","3909","4509","4905"
"1641","3906","4505","4864"
"1641","3906","4505","4864"
"1641","3906","4505","4864"
"1641","3906","4505","4864"
"1641","3906","4505","4864"
"1641","3906","4505","4864"
"1698","3873","4539","4794"
"1698","3873","4539","4794"
"1698","3873","4539","4794"
"1698","3873","4539","4794"
"1698","3873","4539","4794"
"1698","3873","4539","4794"
"1760","3868","4536","4786"
"1760","3868","4536","4786"
"1760","3868","4536","4786"
"1760","3868","4536","4786"
"1760","3868","4536","4786"
"1760","3868","4536","4786"
"1821","3872","4515","4772"
"1821","3872","4515","4772"
"1821","3872","4515","4772"
"1821","3872","4515","4772"
"1821","3872","4515","4772"
"1821","3872","4515","4772"
"1878","3838","4507","4815"
"1878","3838","4507","4815"
"1878","3838","4507","4815"
"1878","3838","4507","4815"
"1878","3838","4507","4815"
"1878","3838","4507","4815"
"1940","3872","4519","4887"
"1940","3872","4519","4887"
"1940","3872","4519","4887"
"1940","3872","4519","4887"
"1940","3872","4519","4887"
"1940","3872","4519","4887"
"2001","3868","4506","4870"
"2001","3868","4506","4870"
"2001","3868","4506","4870"
"2001","3868","4506","4870"
"2001","3868","4506","4870"
"2001","3868","4506","4870"
"2059","3839","4506","4858"
"2059","3839","4506","4858"
"2059","3839","4506","4858"
"2059","3839","4506","4858"
"2059","3839","4506","4858"
"2059","3839","4506","4858"
"2120","3868","4498","4893"
"2120","3868","4498","4893"
"2120","3868","4498","4893"
"2120","3868","4498","4893"
"2120","3868","4498","4893"
"2120","3868","4498","4893"
"2181","3725","4839","-33"
"2181","3725","4839","-33"
"2181","3725","4839","-33"
"2181","3725","4839","-33"
"2181","3725","4839","-33"
"2181","3725","4839","-33"
"2181","3725","4839","-33"
"2242","3876","4511","4816"
"2242","3876","4511","4816"
"2242","3876","4511","4816"
"2242","3876","4511","4816"
"2242","3876","4511","4816"
"2300","3844","4526","4779"
"2300","3844","4526","4779"
"2300","3844","4526","4779"
"2300","3844","4526","4779"
"2300","3844","4526","4779"
"2300","3844","4526","4779"
"2362","3862","4515","4735"
"2362","3862","4515","4735"
"2362","3862","4515","4735"
"2362","3862","4515","4735"
"2362","3862","4515","4735"
"2362","3862","4515","4735"
"2423","3870","4508","4897"
"2423","3870","4508","4897"
"2423","3870","4508","4897"
"2423","3870","4508","4897"
"2423","3870","4508","4897"
"2423","3870","4508","4897"
"2481","3871","4523","4803"
"2481","3871","4523","4803"
"2481","3871","4523","4803"
"2481","3871","4523","4803"
"2481","3871","4523","4803"
"2481","3871","4523","4803"
"2481","3871","4523","4803"
"2542","3735","4853","-14"
"2542","3735","4853","-14"
"2542","3735","4853","-14"
"2542","3735","4853","-14"
"2542","3735","4853","-14"
"2603","3726","4863","-31"
"2603","3726","4863","-31"
"2603","3726","4863","-31"
"2603","3726","4863","-31"
"2603","3726","4863","-31"
"2603","3726","4863","-31"
"2603","3726","4863","-31"
"2665","3883","4491","4864"
"2665","3883","4491","4864"
"2665","3883","4491","4864"
"2665","3883","4491","4864"
"2665","3883","4491","4864"
"2665","3883","4491","4864"
"2726","3707","4851","-21"
"2726","3707","4851","-21"
"2726","3707","4851","-21"
"2726","3707","4851","-21"
"2726","3707","4851","-21"
"2726","3707","4851","-21"
"2787","3841","4529","4799"
"2787","3841","4529","4799"
"2787","3841","4529","4799"
"2787","3841","4529","4799"
"2787","3841","4529","4799"
"2787","3841","4529","4799"
"2849","3879","4532","4866"
"2849","3879","4532","4866"
"2849","3879","4532","4866"
"2849","3879","4532","4866"
"2849","3879","4532","4866"
"2849","3879","4532","4866"
"2906","3890","4501","4901"
"2906","3890","4501","4901"
"2906","3890","4501","4901"
"2906","3890","4501","4901"
"2906","3890","4501","4901"
"2906","3890","4501","4901"
"2968","3723","4868","1"
"2968","3723","4868","1"
"2968","3723","4868","1"
"2968","3723","4868","1"
"2968","3723","4868","1"
