Timer,AX,AY,AZ,GX,GY,GZ
"1008","-0.727","-0.727","-32.727","-0.224","-1.992","-1.144"
"1008","-0.727","-0.727","-32.727","-0.224","1.008","0.856"
"1016","2.273","4.273","-30.727","-0.224","1.008","0.856"
"1020","2.273","4.273","-30.727","-0.224","-0.992","-0.144"
"1029","0.273","2.273","-32.727","-0.224","-0.992","-0.144"
"1029","0.273","2.273","-32.727","-2.224","1.008","-0.144"
"1037","2.273","0.273","-26.727","-2.224","1.008","-0.144"
"1037","2.273","0.273","-26.727","1.776","-0.992","0.856"
"1049","1.273","4.273","-28.727","1.776","-0.992","0.856"
"1049","1.273","4.273","-28.727","1.776","1.008","0.856"
"1058","0.273","-0.727","-28.727","1.776","1.008","0.856"
"1058","0.273","-0.727","-28.727","1.776","-0.992","0.856"
"1069","3.273","0.273","-31.727","1.776","-0.992","0.856"
"1070","3.273","0.273","-31.727","2.776","-0.992","1.856"
"1078","4.273","0.273","-30.727","2.776","-0.992","1.856"
"1078","4.273","0.273","-30.727","1.776","-0.992","1.856"
"1086","2.273","-0.727","-28.727","1.776","-0.992","1.856"
"1090","2.273","-0.727","-28.727","0.776","0.008","0.856"
"1098","1.273","1.273","-29.727","0.776","0.008","0.856"
"1099","1.273","1.273","-29.727","-0.224","-0.992","-0.144"
"1107","2.273","3.273","-30.727","-0.224","-0.992","-0.144"
"1111","2.273","3.273","-30.727","-1.224","2.008","0.856"
"1119","3.273","0.273","-33.727","-1.224","2.008","0.856"
"1119","3.273","0.273","-33.727","-1.224","0.008","-0.144"
"1127","1.273","-0.727","-30.727","-1.224","0.008","-0.144"
"1127","1.273","-0.727","-30.727","1.776","-0.992","-0.144"
"1139","0.273","3.273","-28.727","1.776","-0.992","-0.144"
"1139","0.273","3.273","-28.727","1.776","1.008","1.856"
"1148","-0.727","0.273","-31.727","1.776","1.008","1.856"
"1148","-0.727","0.273","-31.727","1.776","0.008","0.856"
"1156","-0.727","2.273","-31.727","1.776","0.008","0.856"
"1160","-0.727","2.273","-31.727","2.776","-1.992","0.856"
"1168","-0.727","4.273","-30.727","2.776","-1.992","0.856"
"1168","-0.727","4.273","-30.727","-1.224","-1.992","-0.144"
"1176","1.273","4.273","-28.727","-1.224","-1.992","-0.144"
"1180","1.273","4.273","-28.727","-0.224","1.008","-1.144"
"1189","-0.727","0.273","-29.727","-0.224","1.008","-1.144"
"1189","-0.727","0.273","-29.727","-0.224","-0.992","-2.144"
"1197","-1.727","-0.727","-28.727","-0.224","-0.992","-2.144"
"1197","-1.727","-0.727","-28.727","0.776","-3.992","-0.144"
"1209","0.273","3.273","-30.727","0.776","-3.992","-0.144"
"1209","0.273","3.273","-30.727","-0.224","-0.992","-1.144"
"1217","1.273","7.273","-30.727","-0.224","-0.992","-1.144"
"1217","1.273","7.273","-30.727","-1.224","0.008","0.856"
"1229","0.273","-1.727","-28.727","-1.224","0.008","0.856"
"1230","0.273","-1.727","-28.727","-1.224","-1.992","-1.144"
"1238","1.273","-0.727","-30.727","-1.224","-1.992","-1.144"
"1238","1.273","-0.727","-30.727","-1.224","-1.992","0.856"
"1246","2.273","-0.727","-29.727","-1.224","-1.992","0.856"
"1250","2.273","-0.727","-29.727","-0.224","-1.992","-0.144"
"1258","4.273","0.273","-29.727","-0.224","-1.992","-0.144"
"1258","4.273","0.273","-29.727","-0.224","-0.992","-1.144"
"1266","5.273","1.273","-32.727","-0.224","-0.992","-1.144"
"1270","5.273","1.273","-32.727","-0.224","-1.992","-0.144"
"1279","0.273","-0.727","-31.727","-0.224","-1.992","-0.144"
"1279","0.273","-0.727","-31.727","0.776","-0.992","0.856"
"1287","1.273","-1.727","-30.727","0.776","-0.992","0.856"
"1291","1.273","-1.727","-30.727","-3.224","1.008","0.856"
"1299","1.273","1.273","-29.727","-3.224","1.008","0.856"
"1299","1.273","1.273","-29.727","-0.224","0.008","-0.144"
"1307","0.273","2.273","-31.727","-0.224","0.008","-0.144"
"1308","0.273","2.273","-31.727","-0.224","1.008","-0.144"
"1320","-1.727","1.273","-32.727","-0.224","1.008","-0.144"
"1320","-1.727","1.273","-32.727","-3.224","1.008","-1.144"
"1328","3.273","-0.727","-29.727","-3.224","1.008","-1.144"
"1328","3.273","-0.727","-29.727","3.776","0.008","-1.144"
"1340","2.273","0.273","-29.727","3.776","0.008","-1.144"
"1340","2.273","0.273","-29.727","2.776","-0.992","-1.144"
"1348","1.273","3.273","-27.727","2.776","-0.992","-1.144"
"1348","1.273","3.273","-27.727","-0.224","0.008","-0.144"
"1356","0.273","0.273","-31.727","-0.224","0.008","-0.144"
"1361","0.273","0.273","-31.727","3.776","-0.992","-1.144"
"1369","1.273","-0.727","-31.727","3.776","-0.992","-1.144"
"1369","1.273","-0.727","-31.727","-2.224","-1.992","-0.144"
"1377","4.273","2.273","-28.727","-2.224","-1.992","-0.144"
"1381","4.273","2.273","-28.727","-1.224","-2.992","-0.144"
"1389","6.273","1.273","-27.727","-1.224","-2.992","-0.144"
"1389","6.273","1.273","-27.727","2.776","-3.992","-1.144"
"1397","2.273","0.273","-29.727","2.776","-3.992","-1.144"
"1398","2.273","0.273","-29.727","1.776","-2.992","-1.144"
"1410","-0.727","-0.727","-30.727","1.776","-2.992","-1.144"
"1410","-0.727","-0.727","-30.727","-1.224","-0.992","0.856"
"1418","4.273","-0.727","-27.727","-1.224","-0.992","0.856"
"1418","4.273","-0.727","-27.727","-2.224","-0.992","-0.144"
"1430","3.273","-1.727","-31.727","-2.224","-0.992","-0.144"
"1430","3.273","-1.727","-31.727","-1.224","-0.992","-0.144"
"1438","1.273","-2.727","-31.727","-1.224","-0.992","-0.144"
"1439","1.273","-2.727","-31.727","-1.224","2.008","0.856"
"1447","2.273","-2.727","-29.727","-1.224","2.008","0.856"
"1451","2.273","-2.727","-29.727","1.776","0.008","-0.144"
"1459","-0.727","0.273","-30.727","1.776","0.008","-0.144"
"1459","-0.727","0.273","-30.727","-0.224","4.008","-0.144"
"1467","1.273","0.273","-30.727","-0.224","4.008","-0.144"
"1471","1.273","0.273","-30.727","-1.224","3.008","2.856"
"1479","2.273","1.273","-27.727","-1.224","3.008","2.856"
"1479","2.273","1.273","-27.727","-0.224","-1.992","0.856"
"1487","1.273","1.273","-30.727","-0.224","-1.992","0.856"
"1487","1.273","1.273","-30.727","-0.224","2.008","0.856"
"1500","0.273","0.273","-29.727","-0.224","2.008","0.856"
"1500","0.273","0.273","-29.727","-2.224","3.008","-0.144"
"1508","3.273","0.273","-28.727","-2.224","3.008","-0.144"
"1508","3.273","0.273","-28.727","0.776","2.008","-0.144"
"1520","-0.727","6.273","-27.727","0.776","2.008","-0.144"
"1520","-0.727","6.273","-27.727","1.776","1.008","-2.144"
"1528","-2.727","4.273","-34.727","1.776","1.008","-2.144"
"1528","-2.727","4.273","-34.727","1.776","0.008","0.856"
"1536","-0.727","4.273","-30.727","1.776","0.008","0.856"
"1540","-0.727","4.273","-30.727","-0.224","0.008","0.856"
"1549","-0.727","3.273","-31.727","-0.224","0.008","0.856"
"1549","-0.727","3.273","-31.727","-2.224","-0.992","-1.144"
"1557","14.273","2.273","-24.727","-2.224","-0.992","-1.144"
"1561","14.273","2.273","-24.727","-2.224","-2.992","-2.144"
"1569","-14.727","-0.727","-32.727","-2.224","-2.992","-2.144"
"1570","-14.727","-0.727","-32.727","-1.224","7.008","0.856"
"1577","-38.727","4.273","-52.727","-1.224","7.008","0.856"
"1581","-38.727","4.273","-52.727","0.776","3.008","-1.144"
"1590","-7.727","6.273","-42.727","0.776","3.008","-1.144"
"1590","-7.727","6.273","-42.727","0.776","-7.992","-2.144"
"1598","43.273","-3.727","-10.727","0.776","-7.992","-2.144"
"1598","43.273","-3.727","-10.727","0.776","-4.992","-0.144"
"1610","21.273","-0.727","-19.727","0.776","-4.992","-0.144"
"1610","21.273","-0.727","-19.727","0.776","5.008","1.856"
"1619","1.273","0.273","-36.727","0.776","5.008","1.856"
"1619","1.273","0.273","-36.727","-1.224","8.008","2.856"
"1631","-1.727","-10.727","-34.727","-1.224","8.008","2.856"
"1631","-1.727","-10.727","-34.727","0.776","2.008","1.856"
"1639","-42.727","-0.727","-47.727","0.776","2.008","1.856"
"1639","-42.727","-0.727","-47.727","5.776","9.008","1.856"
"1647","-37.727","4.273","-55.727","5.776","9.008","1.856"
"1651","-37.727","4.273","-55.727","6.776","-4.992","-1.144"
"1660","-1.727","14.273","-23.727","6.776","-4.992","-1.144"
"1660","-1.727","14.273","-23.727","3.776","-12.992","-3.144"
"1668","14.273","3.273","-24.727","3.776","-12.992","-3.144"
"1672","14.273","3.273","-24.727","-2.224","-2.992","-0.144"
"1680","9.273","-20.727","-22.727","-2.224","-2.992","-0.144"
"1680","9.273","-20.727","-22.727","-9.224","3.008","0.856"
"1688","-0.727","-12.727","-25.727","-9.224","3.008","0.856"
"1688","-0.727","-12.727","-25.727","3.776","5.008","0.856"
"1701","-5.727","25.273","-38.727","3.776","5.008","0.856"
"1701","-5.727","25.273","-38.727","5.776","4.008","3.856"
"1709","-0.727","13.273","-27.727","5.776","4.008","3.856"
"1709","-0.727","13.273","-27.727","-5.224","-0.992","1.856"
"1721","-4.727","9.273","-28.727","-5.224","-0.992","1.856"
"1721","-4.727","9.273","-28.727","-3.224","0.008","-4.144"
"1729","12.273","18.273","-27.727","-3.224","0.008","-4.144"
"1730","12.273","18.273","-27.727","-0.224","-1.992","-16.144"
"1741","26.273","-50.727","-19.727","-0.224","-1.992","-16.144"
"1742","26.273","-50.727","-19.727","-6.224","1.008","-19.144"
"1750","-19.727","21.273","-31.727","-6.224","1.008","-19.144"
"1750","-19.727","21.273","-31.727","19.776","7.008","-15.144"
"1758","3.273","103.273","-21.727","19.776","7.008","-15.144"
"1762","3.273","103.273","-21.727","24.776","3.008","-21.144"
"1770","-17.727","-48.727","-26.727","24.776","3.008","-21.144"
"1771","-17.727","-48.727","-26.727","-31.224","8.008","-11.144"
"1778","-84.727","29.273","-64.727","-31.224","8.008","-11.144"
"1779","-84.727","29.273","-64.727","6.776","12.008","-9.144"
"1791","-43.727","68.273","-66.727","6.776","12.008","-9.144"
"1791","-43.727","68.273","-66.727","3.776","-7.992","-16.144"
"1799","13.273","-17.727","6.273","3.776","-7.992","-16.144"
"1799","13.273","-17.727","6.273","3.776","-7.992","-16.144"
"1811","-65.727","-5.727","-58.727","3.776","-7.992","-16.144"
"1811","-65.727","-5.727","-58.727","2.776","7.008","-9.144"
"1819","-52.727","-35.727","-81.727","2.776","7.008","-9.144"
"1820","-52.727","-35.727","-81.727","-15.224","-12.992","-1.144"
"1828","-0.727","-51.727","-12.727","-15.224","-12.992","-1.144"
"1832","-0.727","-51.727","-12.727","3.776","-17.992","0.856"
"1840","62.273","1.273","-0.727","3.776","-17.992","0.856"
"1840","62.273","1.273","-0.727","14.776","-7.992","8.856"
"1848","62.273","1.273","-0.727","14.776","-7.992","8.856"
"1848","62.273","1.273","-0.727","14.776","-7.992","8.856"
"1860","-27.727","54.273","-39.727","14.776","-7.992","8.856"
"1861","-27.727","54.273","-39.727","-3.224","13.008","20.856"
"1869","-0.727","-88.727","-6.727","-3.224","13.008","20.856"
"1869","-0.727","-88.727","-6.727","-46.224","7.008","33.856"
"1881","-101.727","-121.727","-34.727","-46.224","7.008","33.856"
"1881","-101.727","-121.727","-34.727","-41.224","19.008","37.856"
"1889","-86.727","-110.727","-33.727","-41.224","19.008","37.856"
"1889","-86.727","-110.727","-33.727","6.776","11.008","37.856"
"1897","-86.727","-110.727","-33.727","6.776","11.008","37.856"
"1901","-86.727","-110.727","-33.727","6.776","11.008","37.856"
"1909","-145.727","45.273","-107.727","6.776","11.008","37.856"
"1910","-145.727","45.273","-107.727","29.776","-4.992","38.856"
"1918","-48.727","46.273","-48.727","29.776","-4.992","38.856"
"1922","-48.727","46.273","-48.727","3.776","-23.992","33.856"
"1930","-11.727","62.273","5.273","3.776","-23.992","33.856"
"1930","-11.727","62.273","5.273","-1.224","-27.992","36.856"
"1938","-20.727","75.273","-30.727","-1.224","-27.992","36.856"
"1942","-20.727","75.273","-30.727","-8.224","-4.992","38.856"
"1950","-20.727","75.273","-30.727","-8.224","-4.992","38.856"
"1951","-20.727","75.273","-30.727","-8.224","-4.992","38.856"
"1959","-12.727","-34.727","-33.727","-8.224","-4.992","38.856"
"1959","-12.727","-34.727","-33.727","-34.224","3.008","46.856"
"1971","-138.727","23.273","-82.727","-34.224","3.008","46.856"
"1971","-138.727","23.273","-82.727","-4.224","24.008","54.856"
"1979","-86.727","142.273","-53.727","-4.224","24.008","54.856"
"1979","-86.727","142.273","-53.727","33.776","4.008","52.856"
"1991","-17.727","143.273","36.273","33.776","4.008","52.856"
"1992","-17.727","143.273","36.273","-6.224","-2.992","48.856"
"2000","-17.727","143.273","36.273","-6.224","-2.992","48.856"
"2000","-17.727","143.273","36.273","-6.224","-2.992","48.856"
"2008","-63.727","54.273","7.273","-6.224","-2.992","48.856"
"2008","-63.727","54.273","7.273","-66.224","32.008","48.856"
"2020","-51.727","-142.727","17.273","-66.224","32.008","48.856"
