Timer,X,Y,Z
"957","3371","9027","4727"
"957","3371","9027","4727"
"957","3371","9027","4727"
"957","3371","9027","4727"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1019","3338","9005","4744"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1076","2878","8959","1868"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1138","3380","9012","4684"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1199","3356","9015","4806"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1256","3306","8981","4726"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1318","3332","9011","4684"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1379","3360","9022","4717"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1437","3332","9016","4693"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1498","3342","9000","4722"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1559","3327","9019","4701"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1621","3561","9127","-162"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1682","3358","9014","4630"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1740","3342","9014","4685"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1801","3312","9024","4654"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1863","3314","8992","4663"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1920","3352","9005","4684"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"1981","3330","9016","4706"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2043","3365","9026","4666"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2100","3291","9010","4660"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2161","3333","9011","4714"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2223","3364","9015","4777"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2276","2871","8961","1859"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2338","3360","9008","4728"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2399","3394","9051","4764"
"2456","3321","8998","4723"
