Timer,AX,AY,AZ,GX,GY,GZ
"1001","9,114","-2,886","-30,886","-1,121","-1,951","1,041"
"1005","9,114","-2,886","-30,886","-0,121","-1,951","-0,959"
"1014","2,114","-2,886","-31,886","-0,121","-1,951","-0,959"
"1014","2,114","-2,886","-31,886","-3,121","1,049","-0,959"
"1022","2,114","-2,886","-23,886","-3,121","1,049","-0,959"
"1022","2,114","-2,886","-23,886","0,879","1,049","-0,959"
"1034","7,114","-3,886","-28,886","0,879","1,049","-0,959"
"1034","7,114","-3,886","-28,886","-2,121","0,049","1,041"
"1042","5,114","-1,886","-26,886","-2,121","0,049","1,041"
"1042","5,114","-1,886","-26,886","-1,121","0,049","0,041"
"1054","-1,886","-1,886","-28,886","-1,121","0,049","0,041"
"1055","-1,886","-1,886","-28,886","-1,121","0,049","0,041"
"1063","4,114","-0,886","-27,886","-1,121","0,049","0,041"
"1063","4,114","-0,886","-27,886","-1,121","2,049","1,041"
"1071","4,114","0,114","-26,886","-1,121","2,049","1,041"
"1075","4,114","0,114","-26,886","-0,121","0,049","0,041"
"1083","2,114","-1,886","-29,886","-0,121","0,049","0,041"
"1083","2,114","-1,886","-29,886","-2,121","0,049","2,041"
"1091","4,114","-3,886","-26,886","-2,121","0,049","2,041"
"1095","4,114","-3,886","-26,886","-0,121","-0,951","1,041"
"1103","7,114","2,114","-26,886","-0,121","-0,951","1,041"
"1104","7,114","2,114","-26,886","-2,121","1,049","-0,959"
"1112","3,114","-6,886","-25,886","-2,121","1,049","-0,959"
"1112","3,114","-6,886","-25,886","-2,121","2,049","0,041"
"1124","6,114","0,114","-20,886","-2,121","2,049","0,041"
"1124","6,114","0,114","-20,886","1,879","3,049","1,041"
"1132","2,114","2,114","-26,886","1,879","3,049","1,041"
"1132","2,114","2,114","-26,886","1,879","-1,951","0,041"
"1144","4,114","-4,886","-27,886","1,879","-1,951","0,041"
"1144","4,114","-4,886","-27,886","-2,121","-1,951","0,041"
"1153","3,114","-1,886","-28,886","-2,121","-1,951","0,041"
"1153","3,114","-1,886","-28,886","-1,121","-1,951","1,041"
"1161","2,114","2,114","-23,886","-1,121","-1,951","1,041"
"1165","2,114","2,114","-23,886","1,879","-0,951","2,041"
"1173","6,114","-0,886","-24,886","1,879","-0,951","2,041"
"1173","6,114","-0,886","-24,886","-1,121","0,049","-1,959"
"1181","3,114","-1,886","-27,886","-1,121","0,049","-1,959"
"1181","3,114","-1,886","-27,886","-0,121","1,049","0,041"
"1194","6,114","-2,886","-19,886","-0,121","1,049","0,041"
"1194","6,114","-2,886","-19,886","-3,121","0,049","1,041"
"1202","3,114","-2,886","-30,886","-3,121","0,049","1,041"
"1202","3,114","-2,886","-30,886","-2,121","0,049","-2,959"
"1214","8,114","-4,886","-28,886","-2,121","0,049","-2,959"
"1214","8,114","-4,886","-28,886","-2,121","-0,951","0,041"
"1222","3,114","-0,886","-31,886","-2,121","-0,951","0,041"
"1222","3,114","-0,886","-31,886","0,879","0,049","1,041"
"1230","6,114","-1,886","-25,886","0,879","0,049","1,041"
"1234","6,114","-1,886","-25,886","1,879","0,049","2,041"
"1243","2,114","-3,886","-32,886","1,879","0,049","2,041"
"1243","2,114","-3,886","-32,886","1,879","1,049","1,041"
"1251","-1,886","-1,886","-30,886","1,879","1,049","1,041"
"1255","-1,886","-1,886","-30,886","0,879","-0,951","-0,959"
"1263","6,114","-1,886","-27,886","0,879","-0,951","-0,959"
"1263","6,114","-1,886","-27,886","1,879","1,049","1,041"
"1271","2,114","-2,886","-23,886","1,879","1,049","1,041"
"1271","2,114","-2,886","-23,886","-2,121","0,049","0,041"
"1284","8,114","-4,886","-22,886","-2,121","0,049","0,041"
"1284","8,114","-4,886","-22,886","-4,121","0,049","2,041"
"1292","6,114","-3,886","-24,886","-4,121","0,049","2,041"
"1292","6,114","-3,886","-24,886","2,879","2,049","1,041"
"1304","1,114","1,114","-33,886","2,879","2,049","1,041"
"1304","1,114","1,114","-33,886","-1,121","1,049","0,041"
"1312","11,114","-3,886","-25,886","-1,121","1,049","0,041"
"1312","11,114","-3,886","-25,886","-0,121","0,049","1,041"
"1320","8,114","-3,886","-23,886","-0,121","0,049","1,041"
"1325","8,114","-3,886","-23,886","0,879","1,049","0,041"
"1333","3,114","0,114","-27,886","0,879","1,049","0,041"
"1333","3,114","0,114","-27,886","-1,121","0,049","2,041"
"1341","5,114","-1,886","-26,886","-1,121","0,049","2,041"
"1345","5,114","-1,886","-26,886","-4,121","1,049","1,041"
"1353","4,114","1,114","-23,886","-4,121","1,049","1,041"
"1353","4,114","1,114","-23,886","-1,121","1,049","1,041"
"1362","7,114","-0,886","-26,886","-1,121","1,049","1,041"
"1362","7,114","-0,886","-26,886","-1,121","-0,951","1,041"
"1374","2,114","-2,886","-22,886","-1,121","-0,951","1,041"
"1374","2,114","-2,886","-22,886","-3,121","-1,951","-0,959"
"1382","6,114","-3,886","-26,886","-3,121","-1,951","-0,959"
"1382","6,114","-3,886","-26,886","-4,121","-0,951","1,041"
"1394","4,114","-1,886","-31,886","-4,121","-0,951","1,041"
"1395","4,114","-1,886","-31,886","-1,121","2,049","1,041"
"1403","3,114","-4,886","-28,886","-1,121","2,049","1,041"
"1403","3,114","-4,886","-28,886","-1,121","1,049","2,041"
"1411","3,114","-1,886","-21,886","-1,121","1,049","2,041"
"1415","3,114","-1,886","-21,886","-2,121","-1,951","1,041"
"1423","3,114","-3,886","-27,886","-2,121","-1,951","1,041"
"1423","3,114","-3,886","-27,886","-3,121","3,049","2,041"
"1431","3,114","-3,886","-24,886","-3,121","3,049","2,041"
"1435","3,114","-3,886","-24,886","0,879","-0,951","-2,959"
"1444","1,114","-2,886","-27,886","0,879","-0,951","-2,959"
"1444","1,114","-2,886","-27,886","3,879","0,049","-2,959"
"1452","6,114","-2,886","-25,886","3,879","0,049","-2,959"
"1452","6,114","-2,886","-25,886","0,879","-0,951","-0,959"
"1464","5,114","-0,886","-27,886","0,879","-0,951","-0,959"
"1464","5,114","-0,886","-27,886","0,879","1,049","1,041"
"1472","3,114","-1,886","-28,886","0,879","1,049","1,041"
"1473","3,114","-1,886","-28,886","-0,121","-0,951","-1,959"
"1485","5,114","1,114","-28,886","-0,121","-0,951","-1,959"
"1485","5,114","1,114","-28,886","1,879","-1,951","0,041"
"1493","6,114","-2,886","-28,886","1,879","-1,951","0,041"
"1493","6,114","-2,886","-28,886","-1,121","1,049","-1,959"
"1501","4,114","-3,886","-26,886","-1,121","1,049","-1,959"
"1505","4,114","-3,886","-26,886","1,879","-0,951","1,041"
"1513","0,114","-2,886","-26,886","1,879","-0,951","1,041"
"1514","0,114","-2,886","-26,886","1,879","-1,951","2,041"
"1522","2,114","-3,886","-28,886","1,879","-1,951","2,041"
"1526","2,114","-3,886","-28,886","0,879","-0,951","-1,959"
"1534","5,114","-1,886","-24,886","0,879","-0,951","-1,959"
"1534","5,114","-1,886","-24,886","0,879","0,049","0,041"
"1542","3,114","-4,886","-27,886","0,879","0,049","0,041"
"1542","3,114","-4,886","-27,886","-0,121","1,049","-0,959"
"1554","-1,886","-1,886","-28,886","-0,121","1,049","-0,959"
"1555","-1,886","-1,886","-28,886","-3,121","1,049","-2,959"
"1563","-9,886","-3,886","-23,886","-3,121","1,049","-2,959"
"1563","-9,886","-3,886","-23,886","-1,121","0,049","-1,959"
"1575","-12,886","-0,886","-27,886","-1,121","0,049","-1,959"
"1575","-12,886","-0,886","-27,886","1,879","1,049","0,041"
"1583","-20,886","2,114","-34,886","1,879","1,049","0,041"
"1583","-20,886","2,114","-34,886","1,879","-1,951","1,041"
"1591","0,114","-10,886","-29,886","1,879","-1,951","1,041"
"1595","0,114","-10,886","-29,886","-2,121","-7,951","-1,959"
"1603","12,114","-3,886","-17,886","-2,121","-7,951","-1,959"
"1604","12,114","-3,886","-17,886","-0,121","-7,951","0,041"
"1612","-5,886","7,114","-28,886","-0,121","-7,951","0,041"
"1616","-5,886","7,114","-28,886","4,879","-5,951","0,041"
"1624","3,114","-22,886","-23,886","4,879","-5,951","0,041"
"1624","3,114","-22,886","-23,886","-1,121","-7,951","0,041"
"1632","8,114","-41,886","-21,886","-1,121","-7,951","0,041"
"1632","8,114","-41,886","-21,886","-8,121","-4,951","-0,959"
"1644","6,114","11,114","-28,886","-8,121","-4,951","-0,959"
"1645","6,114","11,114","-28,886","10,879","-6,951","1,041"
"1653","1,114","27,114","-30,886","10,879","-6,951","1,041"
"1653","1,114","27,114","-30,886","8,879","-5,951","2,041"
"1665","11,114","-39,886","-25,886","8,879","-5,951","2,041"
"1665","11,114","-39,886","-25,886","-16,121","-4,951","4,041"
"1673","19,114","24,114","-36,886","-16,121","-4,951","4,041"
"1673","19,114","24,114","-36,886","9,879","0,049","4,041"
"1685","18,114","36,114","-33,886","9,879","0,049","4,041"
"1685","18,114","36,114","-33,886","3,879","-1,951","3,041"
"1694","42,114","-26,886","-15,886","3,879","-1,951","3,041"
"1694","42,114","-26,886","-15,886","-19,121","-2,951","1,041"
"1702","25,114","43,114","-42,886","-19,121","-2,951","1,041"
"1706","25,114","43,114","-42,886","16,879","7,049","5,041"
"1714","41,114","19,114","-27,886","16,879","7,049","5,041"
"1714","41,114","19,114","-27,886","4,879","8,049","3,041"
"1722","69,114","-2,886","-12,886","4,879","8,049","3,041"
"1723","69,114","-2,886","-12,886","-12,121","7,049","0,041"
"1735","125,114","45,114","13,114","-12,121","7,049","0,041"
"1735","125,114","45,114","13,114","15,879","2,049","2,041"
"1743","60,114","39,114","0,114","15,879","2,049","2,041"
"1743","60,114","39,114","0,114","8,879","19,049","2,041"
"1755","-34,886","-79,886","-40,886","8,879","19,049","2,041"
"1755","-34,886","-79,886","-40,886","-24,121","33,049","0,041"
"1763","-87,886","97,114","-68,886","-24,121","33,049","0,041"
"1764","-87,886","97,114","-68,886","31,879","25,049","-0,959"
"1771","-42,886","-8,886","-33,886","31,879","25,049","-0,959"
"1775","-42,886","-8,886","-33,886","-5,121","7,049","-4,959"
"1784","-115,886","-37,886","-46,886","-5,121","7,049","-4,959"
"1784","-115,886","-37,886","-46,886","-18,121","9,049","-6,959"
"1792","-84,886","46,114","-79,886","-18,121","9,049","-6,959"
"1796","-84,886","46,114","-79,886","11,879","-6,951","-13,959"
"1804","84,114","-40,886","34,114","11,879","-6,951","-13,959"
"1804","84,114","-40,886","34,114","-0,121","-22,951","-23,959"
