Timer,X,Y,Z
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
"35","3407","4766","1192"
