Timer,X,Y,Z
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"21","3511","6679","1062"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"82","3528","6662","1090"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"143","3520","6687","1099"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"205","3488","6672","1072"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"262","3577","6650","1135"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"324","3545","6655","1086"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"385","3489","6678","1034"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"443","3528","6696","1110"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"504","3501","6686","1047"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"565","3509","6671","1067"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"623","3524","6684","1010"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"684","3545","6693","1024"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"745","3508","6700","1094"
"803","3527","6701","976"
"803","3527","6701","976"
"803","3527","6701","976"
