Timer,AX,AY,AZ,GX,GY,GZ,A
"0","-4","0","-28","-3","3","-1","173,4375"
"0","-4","0","-28","0","-1","-1","173,4375"
"0","0","-2","-23","0","-1","-1","173,4375"
"0","0","-2","-23","-4","-1","-1","173,4375"
"1","0","-2","-23","-4","-1","-1","173,4375"
"1","0","-2","-23","-3","0","-1","173,4375"
"1","-2","2","-23","-3","0","-1","173,4375"
"1","-2","2","-23","0","2","-1","173,4375"
"1","0","-4","-26","0","2","-1","173,4375"
"1","0","-4","-26","1","0","-1","173,4375"
"1","0","-4","-25","1","0","-1","173,4375"
"1","0","-4","-25","-2","-1","-1","173,4375"
"1","0","0","-24","-2","-1","-1","173,4375"
"1","0","0","-24","-2","-1","-1","173,4375"
"1","0","0","-24","-2","-1","-1","173,4375"
"1","0","0","-24","5","-2","-1","173,4375"
"2","4","0","-19","5","-2","-1","173,4375"
"2","4","0","-19","2","1","-1","173,4375"
"2","4","0","-19","2","1","-1","173,4375"
"2","4","0","-19","1","-2","-1","173,4375"
"2","-1","7","-28","1","-2","-1","173,4375"
"2","-1","7","-28","-2","0","-1","173,4375"
"2","1","5","-22","-2","0","-1","173,4375"
"2","1","5","-22","2","2","-1","173,4375"
"2","1","5","-22","2","2","-1","173,4375"
"2","1","5","-22","1","0","-1","173,4375"
"2","4","-1","-22","1","0","-1","173,4375"
"2","4","-1","-22","0","0","-1","173,4375"
"3","4","-1","-22","0","0","-1","173,4375"
"3","4","-1","-22","-1","1","-1","173,4375"
"3","-1","-2","-25","-1","1","-1","173,4375"
"3","-1","-2","-25","-1","0","-1","173,4375"
"3","-5","2","-29","-1","0","-1","173,4375"
"3","-5","2","-29","4","1","-1","173,4375"
"3","-5","2","-29","4","1","-1","173,4375"
"3","-5","2","-29","1","1","-1","173,4375"
"3","-1","0","-25","1","1","-1","173,4375"
"3","-1","0","-25","-2","3","-1","173,4375"
"3","-1","0","-25","-2","3","-1","173,4375"
"4","-1","0","-25","-1","-1","-1","173,4375"
"4","-2","6","-23","-1","-1","-1","173,4375"
"4","-2","6","-23","3","1","-1","173,4375"
"4","-1","0","-25","3","1","-1","173,4375"
"4","-1","0","-25","-2","0","-1","173,4375"
"4","-1","0","-25","-2","0","-1","173,4375"
"4","-1","0","-25","-3","-1","-1","173,4375"
"4","-6","0","-31","-3","-1","-1","173,4375"
"4","-6","0","-31","0","2","-1","173,4375"
"4","-3","3","-26","0","2","-1","173,4375"
"4","-3","3","-26","2","-1","-1","173,4375"
"4","-1","6","-27","2","-1","-1","173,4375"
"5","-1","6","-27","-1","1","-1","173,4375"
"5","0","4","-21","-1","1","-1","173,4375"
"5","0","4","-21","1","0","-1","173,4375"
"5","0","4","-21","1","0","-1","173,4375"
"5","0","4","-21","2","-2","-1","173,4375"
"5","-1","0","-29","2","-2","-1","173,4375"
"5","-1","0","-29","-2","0","-1","173,4375"
"5","-1","0","-29","-2","0","-1","173,4375"
"5","-1","0","-29","-3","-2","-1","173,4375"
"5","-3","1","-29","-3","-2","-1","173,4375"
"5","-3","1","-29","2","-1","-1","173,4375"
"6","0","-2","-26","2","-1","-1","173,4375"
"6","0","-2","-26","-1","-1","-1","173,4375"
"6","0","-2","-26","-1","-1","-1","173,4375"
"6","0","-2","-26","-3","0","-1","173,4375"
"6","-3","-4","-25","-3","0","-1","173,4375"
"6","-3","-4","-25","-3","-2","-1","173,4375"
"6","1","-1","-23","-3","-2","-1","173,4375"
"6","1","-1","-23","-2","-2","-1","173,4375"
"6","3","-2","-23","-2","-2","-1","173,4375"
"6","3","-2","-23","-3","-1","-1","173,4375"
"6","-3","4","-28","-3","-1","-1","173,4375"
"7","-3","4","-28","0","-3","-1","173,4375"
"7","-3","4","-28","0","-3","-1","173,4375"
"7","-3","4","-28","6","-2","-1","173,4375"
"7","-2","3","-22","6","-2","-1","173,4375"
"7","-2","3","-22","-1","-2","-1","173,4375"
"7","-3","2","-24","-1","-2","-1","173,4375"
"7","-3","2","-24","1","-1","-1","173,4375"
"7","-2","0","-27","1","-1","-1","173,4375"
"7","-2","0","-27","-3","2","-1","173,4375"
"7","-4","4","-29","-3","2","-1","173,4375"
"7","-4","4","-29","3","2","-1","173,4375"
"8","1","1","-21","3","2","-1","173,4375"
"8","1","1","-21","1","-1","-1","173,4375"
"8","1","-1","-22","1","-1","-1","173,4375"
"8","1","-1","-22","-4","0","-1","173,4375"
"8","-5","1","-26","-4","0","-1","173,4375"
"8","-5","1","-26","-1","-2","-1","173,4375"
"8","-5","1","-26","-1","-2","-1","173,4375"
"8","-5","1","-26","-2","1","-1","173,4375"
"8","-6","-6","-26","-2","1","-1","173,4375"
"8","-6","-6","-26","1","-2","-1","173,4375"
"8","-1","-4","-24","1","-2","-1","173,4375"
"9","-1","-4","-24","1","-4","-1","173,4375"
"9","-2","0","-28","1","-4","-1","173,4375"
"9","-2","0","-28","2","0","-1","173,4375"
"9","-1","0","-23","2","0","-1","173,4375"
"9","-1","0","-23","0","2","-1","173,4375"
"9","0","-3","-24","0","2","-1","173,4375"
"9","0","-3","-24","1","1","-1","173,4375"
"9","-4","-1","-26","1","1","-1","173,4375"
"9","-4","-1","-26","1","1","-1","173,4375"
"9","-6","4","-24","1","1","-1","173,4375"
"9","-6","4","-24","4","0","-1","173,4375"
"9","-1","5","-25","4","0","-1","173,4375"
"10","-1","5","-25","1","0","-1","173,4375"
"10","-3","2","-26","1","0","-1","173,4375"
"10","-3","2","-26","0","-1","-1","173,4375"
"10","3","4","-22","0","-1","-1","173,4375"
"10","3","4","-22","4","-3","-1","173,4375"
"10","2","3","-24","4","-3","-1","173,4375"
"10","2","3","-24","1","0","-1","173,4375"
"10","-3","5","-29","1","0","-1","173,4375"
"10","-3","5","-29","-1","1","-1","173,4375"
"10","-3","4","-26","-1","1","-1","173,4375"
"10","-3","4","-26","-4","3","-1","173,4375"
"10","-3","1","-25","-4","3","-1","173,4375"
"11","-3","1","-25","-3","4","-1","173,4375"
"11","-3","3","-28","-3","4","-1","173,4375"
"11","-3","3","-28","0","1","-1","173,4375"
"11","2","-1","-23","0","1","-1","173,4375"
"11","2","-1","-23","-2","-1","-1","173,4375"
"11","-1","-9","-23","-2","-1","-1","173,4375"
"11","-1","-9","-23","-4","1","-1","173,4375"
"11","-3","2","-25","-4","1","-1","173,4375"
"11","-3","2","-25","3","1","-1","173,4375"
"11","0","-2","-26","3","1","-1","173,4375"
"11","0","-2","-26","2","2","-1","173,4375"
"12","-5","-6","-26","2","2","-1","173,4375"
"12","-5","-6","-26","-1","1","-1","173,4375"
"12","-7","4","-30","-1","1","-1","173,4375"
"12","-7","4","-30","5","1","-1","173,4375"
"12","0","5","-29","5","1","-1","173,4375"
"12","0","5","-29","1","1","-1","173,4375"
"12","-3","-3","-26","1","1","-1","173,4375"
"12","-3","-3","-26","1","0","-1","173,4375"
"12","2","-1","-22","1","0","-1","173,4375"
"12","2","-1","-22","0","0","-1","173,4375"
"12","2","5","-23","0","0","-1","173,4375"
"12","2","5","-23","0","4","-1","173,4375"
"13","-4","-1","-27","0","4","-1","173,4375"
"13","-4","-1","-27","0","2","-1","173,4375"
"13","-1","1","-24","0","2","-1","173,4375"
"13","-1","1","-24","2","-1","-1","173,4375"
"13","0","7","-27","2","-1","-1","173,4375"
"13","0","7","-27","1","1","-1","173,4375"
"13","-6","1","-29","1","1","-1","173,4375"
"13","-6","1","-29","-5","2","-1","173,4375"
"13","0","0","-22","-5","2","-1","173,4375"
"13","0","0","-22","-3","1","-1","173,4375"
"13","-2","1","-21","-3","1","-1","173,4375"
"13","-2","1","-21","2","-1","-1","173,4375"
"14","-4","-5","-24","2","-1","-1","173,4375"
"14","-4","-5","-24","-2","2","-1","173,4375"
"14","-3","-7","-26","-2","2","-1","173,4375"
"14","-3","-7","-26","1","-1","-1","173,4375"
"14","-6","-1","-29","1","-1","-1","173,4375"
"14","-6","-1","-29","4","2","-1","173,4375"
"14","-3","-5","-25","4","2","-1","173,4375"
"14","-3","-5","-25","0","1","-1","173,4375"
"14","-3","-1","-25","0","1","-1","173,4375"
"14","-3","-1","-25","-1","1","-1","173,4375"
"14","-3","2","-22","-1","1","-1","173,4375"
"15","-3","2","-22","3","2","-1","173,4375"
"15","-1","3","-25","3","2","-1","173,4375"
"15","-1","3","-25","-1","0","-1","173,4375"
"15","4","-2","-19","-1","0","-1","173,4375"
"15","4","-2","-19","-2","0","-1","173,4375"
"15","-4","2","-28","-2","0","-1","173,4375"
"15","-4","2","-28","0","2","-1","173,4375"
"15","1","6","-27","0","2","-1","173,4375"
"15","1","6","-27","3","1","-1","173,4375"
"15","0","-1","-20","3","1","-1","173,4375"
"15","0","-1","-20","1","2","-1","173,4375"
"15","-1","1","-23","1","2","-1","173,4375"
"16","-1","1","-23","0","-1","-1","173,4375"
"16","-2","7","-29","0","-1","-1","173,4375"
"16","-2","7","-29","0","-3","-1","173,4375"
"16","0","-2","-25","0","-3","-1","173,4375"
"16","0","-2","-25","-4","1","-1","173,4375"
"16","-1","0","-27","-4","1","-1","173,4375"
"16","-1","0","-27","-4","0","-1","173,4375"
"16","-1","2","-22","-4","0","-1","173,4375"
"16","-1","2","-22","1","-1","-1","173,4375"
"16","-2","0","-20","1","-1","-1","173,4375"
"16","-2","0","-20","-1","0","-1","173,4375"
"17","-6","-2","-27","-1","0","-1","173,4375"
"17","-6","-2","-27","-3","2","-1","173,4375"
"17","-5","0","-33","-3","2","-1","173,4375"
