Timer,AX,AY,AZ,GX,GY,GZ,A
"23","1","-7","6","3","-2","1","261,75"
"23","1","-8","6","3","-2","1","261,75"
"23","1","-8","6","0","-2","1","261,75"
"23","0","0","2","0","-2","1","261,75"
"23","0","0","2","1","2","1","261,75"
"23","2","-3","7","1","2","1","261,75"
"23","2","-3","7","2","-1","1","261,75"
"23","3","-7","4","2","-1","1","261,75"
"24","3","-7","4","0","-1","1","261,75"
"24","4","-7","7","0","-1","1","261,75"
"24","4","-7","7","-1","-1","1","261,75"
"24","1","-8","8","-1","-1","1","261,75"
"24","1","-8","8","0","0","1","261,75"
"24","0","-3","2","0","0","1","261,75"
"24","0","-3","2","-1","0","1","261,75"
"24","2","-5","5","-1","0","1","261,75"
"24","2","-5","5","1","1","1","261,75"
"24","3","-5","5","1","1","1","261,75"
"24","3","-5","5","-1","-3","1","261,75"
"24","0","-2","5","-1","-3","1","261,75"
"24","0","-2","5","3","-2","1","261,75"
"25","3","-9","4","3","-2","1","261,75"
"25","3","-9","4","-2","0","1","261,75"
"25","2","-6","5","-2","0","1","261,75"
"25","2","-6","5","0","3","1","261,75"
"25","1","-2","5","0","3","1","261,75"
"25","1","-2","5","0","1","1","261,75"
"25","-1","1","0","0","1","1","261,75"
"25","-1","1","0","1","-3","1","261,75"
"25","3","-5","6","1","-3","1","261,75"
"25","3","-5","6","-2","2","1","261,75"
"25","1","-1","6","-2","2","1","261,75"
"25","1","-1","6","-2","2","1","261,75"
"26","0","-10","5","-2","2","1","261,75"
"26","0","-10","5","-2","1","1","261,75"
"26","-1","-3","1","-2","1","1","261,75"
"26","-1","-3","1","0","-1","1","261,75"
"26","8","-9","8","0","-1","1","261,75"
"26","8","-9","8","-1","0","1","261,75"
"26","6","3","2","-1","0","1","261,75"
"26","6","3","2","-1","0","1","261,75"
"26","0","-8","4","-1","0","1","261,75"
"26","0","-8","4","-1","0","1","261,75"
"26","4","-15","7","-1","0","1","261,75"
"26","4","-15","7","-2","-1","1","261,75"
"27","2","-11","2","-2","-1","1","261,75"
"27","2","-11","2","2","0","1","261,75"
"27","0","-2","4","2","0","1","261,75"
"27","0","-2","4","5","-1","1","261,75"
"27","0","-2","4","5","-1","1","261,75"
"27","0","-2","4","5","-1","1","261,75"
"27","-2","-3","3","5","-1","1","261,75"
"27","-2","-3","3","-2","2","1","261,75"
"36","-1","-4","3","-2","2","1","261,75"
"36","-1","-4","3","1","-2","1","261,75"
"48","1","-2","4","1","-2","1","261,75"
"48","1","-2","4","0","0","1","261,75"
"56","-4","0","5","0","0","1","261,75"
"56","-4","0","5","2","0","1","261,75"
"64","0","0","5","2","0","1","261,75"
"68","0","0","5","2","0","1","261,75"
"77","0","-1","4","2","0","1","261,75"
"77","0","-1","4","0","-1","1","261,75"
"85","-1","0","1","0","-1","1","261,75"
"89","-1","0","1","2","0","1","261,75"
"97","1","-2","4","2","0","1","261,75"
"97","1","-2","4","0","-1","1","261,75"
"105","4","-4","9","0","-1","1","261,75"
"109","4","-4","9","0","-3","1","261,75"
"117","3","-5","4","0","-3","1","261,75"
"118","3","-5","4","0","-3","1","261,75"
"126","-1","-2","3","0","-3","1","261,75"
"129","-1","-2","3","-1","0","1","261,75"
"138","4","-4","4","-1","0","1","261,75"
"138","4","-4","4","-1","0","1","261,75"
"146","11","-11","9","-1","0","1","261,75"
"146","11","-11","9","1","-2","1","261,75"
"158","7","-11","9","1","-2","1","261,75"
"158","7","-11","9","-3","-1","1","261,75"
"167","1","-11","4","-3","-1","1","261,75"
"167","1","-11","4","-3","-1","1","261,75"
"175","3","0","1","-3","-1","1","261,75"
"179","3","0","1","2","3","1","261,75"
"187","5","-3","5","2","3","1","261,75"
"187","5","-3","5","1","-1","1","261,75"
"195","0","-14","8","1","-1","1","261,75"
"199","0","-14","8","1","-1","1","261,75"
"207","-4","0","3","1","-1","1","261,75"
"208","-4","0","3","-2","0","1","261,75"
"216","-4","0","3","-2","0","1","261,75"
"216","-4","0","3","3","2","1","261,75"
"228","-1","-2","5","3","2","1","261,75"
"228","-1","-2","5","0","-1","1","261,75"
"236","-3","3","3","0","-1","1","261,75"
"237","-3","3","3","2","-1","1","261,75"
"245","-1","6","2","2","-1","1","261,75"
"249","-1","6","2","2","-2","1","261,75"
"257","8","0","11","2","-2","1","261,75"
"257","8","0","11","-1","-2","1","261,75"
"265","8","0","11","-1","-2","1","261,75"
"265","8","0","11","-6","-2","1","261,75"
"277","-4","-5","-2","-6","-2","1","261,75"
"278","-4","-5","-2","-3","2","1","261,75"
"286","18","-5","9","-3","2","1","261,75"
"290","18","-5","9","-1","2","1","261,75"
"298","12","4","7","-1","2","1","261,75"
"298","12","4","7","1","-2","1","261,75"
"306","-8","-14","5","1","-2","1","261,75"
"310","-8","-14","5","4","-3","1","261,75"
"314","-8","-14","5","4","-3","1","261,75"
"314","-8","-14","5","-2","-1","1","261,75"
"326","-2","-7","1","-2","-1","1","261,75"
"327","-2","-7","1","1","0","1","261,75"
"335","3","2","2","1","0","1","261,75"
"339","3","2","2","1","-2","1","261,75"
"347","2","-7","8","1","-2","1","261,75"
"347","2","-7","8","0","-1","1","261,75"
