Timer,AX,AY,AZ,GX,GY,GZ,A
"5","0","-2","-26","2","1","-1","272,9375"
"5","0","0","-24","2","1","-1","272,9375"
"5","0","0","-24","1","2","-1","272,9375"
"5","0","0","-24","1","2","-1","272,9375"
"6","0","0","-24","-1","2","-1","272,9375"
"6","0","0","-24","-1","2","-1","272,9375"
"6","0","0","-24","2","2","-1","272,9375"
"6","0","0","-24","2","2","-1","272,9375"
"6","0","0","-24","1","-1","-1","272,9375"
"6","-2","1","-27","1","-1","-1","272,9375"
"6","-2","1","-27","0","-2","-1","272,9375"
"6","-2","0","-25","0","-2","-1","272,9375"
"6","-2","0","-25","0","-1","-1","272,9375"
"6","-2","0","-25","0","-1","-1","272,9375"
"6","-2","0","-25","0","-1","-1","272,9375"
"6","0","2","-26","0","-1","-1","272,9375"
"7","0","2","-26","0","-1","-1","272,9375"
"7","0","2","-26","0","-1","-1","272,9375"
"7","0","2","-26","0","-3","-1","272,9375"
"7","-1","1","-27","0","-3","-1","272,9375"
"7","-1","1","-27","1","1","-1","272,9375"
"7","-2","0","-26","1","1","-1","272,9375"
"7","-2","0","-26","1","-1","-1","272,9375"
"7","-2","0","-26","1","-1","-1","272,9375"
"7","-2","0","-26","1","-1","-1","272,9375"
"7","0","0","-27","1","-1","-1","272,9375"
"7","0","0","-27","1","-2","-1","272,9375"
"7","0","0","-27","1","-2","-1","272,9375"
"8","0","0","-27","-1","1","-1","272,9375"
"8","0","0","-26","-1","1","-1","272,9375"
"8","0","0","-26","0","1","-1","272,9375"
"8","1","0","-23","0","1","-1","272,9375"
"8","1","0","-23","2","1","-1","272,9375"
"8","1","0","-23","2","1","-1","272,9375"
"8","1","0","-23","0","-1","-1","272,9375"
"8","1","1","-23","0","-1","-1","272,9375"
"8","1","1","-23","-1","0","-1","272,9375"
"8","-1","0","-25","-1","0","-1","272,9375"
"8","-1","0","-25","4","-2","-1","272,9375"
"8","0","0","-27","4","-2","-1","272,9375"
"9","0","0","-27","-1","1","-1","272,9375"
"9","0","6","-25","-1","1","-1","272,9375"
"9","0","6","-25","2","-3","-1","272,9375"
"9","-1","0","-25","2","-3","-1","272,9375"
