Timer,X,Y,Z
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"59","3304","9971","458"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"117","3318","9961","444"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"179","3614","9660","4699"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"240","3595","9643","4939"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"298","3623","9622","4984"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"359","3605","9669","4911"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"420","3326","9909","556"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"478","3342","9942","534"
"543","2961","10087","2077"
"543","2961","10087","2077"
"543","2961","10087","2077"
"543","2961","10087","2077"
"543","2961","10087","2077"
"543","2961","10087","2077"
"543","2961","10087","2077"
"543","2961","10087","2077"
"543","2961","10087","2077"
