Timer,AX,AY,AZ,GX,GY,GZ,A
"24","73","33","-5","6","-5","9","178,25"
"24","102","12","-25","6","-5","9","178,25"
"24","102","12","-25","-5","-13","9","178,1875"
"24","127","-70","-36","-5","-13","9","178,1875"
"24","127","-70","-36","-21","-12","10","178,125"
"24","115","-51","-2","-21","-12","10","178,125"
"24","115","-51","-2","-35","4","9","178,0625"
"24","62","1","-25","-35","4","9","178,0625"
"25","62","1","-25","-6","15","10","178"
"25","111","-3","-8","-6","15","10","178"
"25","111","-3","-8","20","16","9","177,9375"
"25","120","-73","-20","20","16","9","177,9375"
"25","120","-73","-20","-18","16","9","177,875"
"25","79","-86","-43","-18","16","9","177,875"
"25","79","-86","-43","-38","27","9","177,8125"
"25","57","-57","-43","-38","27","9","177,8125"
"25","57","-57","-43","-14","38","10","177,75"
"25","20","-36","-13","-14","38","10","177,75"
"25","20","-36","-13","4","41","10","177,6875"
"26","38","28","-37","4","41","10","177,6875"
"26","38","28","-37","4","27","10","177,625"
"26","51","82","-23","4","27","10","177,625"
"26","51","82","-23","30","28","10","177,5625"
"26","92","-22","-21","30","28","10","177,5625"
"26","92","-22","-21","-3","26","10","177,5"
"26","54","-54","-21","-3","26","10","177,5"
"26","54","-54","-21","-47","23","10","177,4375"
"26","21","-36","-23","-47","23","10","177,4375"
"26","21","-36","-23","-23","36","10","177,375"
"26","31","-35","-30","-23","36","10","177,375"
"27","31","-35","-30","-5","30","10","177,3125"
"27","26","17","-43","-5","30","10","177,3125"
"27","26","17","-43","-7","33","10","177,25"
"27","-20","30","-56","-7","33","10","177,25"
"27","-20","30","-56","6","23","10","177,1875"
"27","32","9","-19","6","23","10","177,1875"
"27","32","9","-19","-11","14","10","177,125"
"27","-35","-50","-51","-11","14","10","177,125"
"27","-35","-50","-51","-17","14","9","177,0625"
"27","-15","-9","-62","-17","14","9","177,0625"
"27","-15","-9","-62","-17","14","9","177,0625"
"27","-49","64","-63","-17","14","9","177,0625"
"28","-49","64","-63","0","3","9","176,9375"
"28","26","-8","-26","0","3","9","176,9375"
"28","26","-8","-26","-11","-10","9","176,875"
"28","-28","-27","-77","-11","-10","9","176,875"
"28","-28","-27","-77","-20","-8","9","176,8125"
"28","-203","-76","-212","-20","-8","9","176,8125"
"28","-203","-76","-212","-24","2","8","176,8125"
"28","-358","-79","-265","-24","2","8","176,8125"
"28","-358","-79","-265","-24","2","8","176,8125"
"28","-322","7","-95","-24","2","8","176,8125"
"29","-322","7","-95","-14","-59","7","176,6875"
"29","361","421","305","-14","-59","7","176,6875"
"29","361","421","305","50","-177","7","176,625"
"29","676","945","415","50","-177","7","176,625"
"29","676","945","415","232","-237","7","176,625"
"29","175","-819","-168","232","-237","7","176,625"
"29","175","-819","-168","-38","-110","5","176,5625"
"29","224","-1608","130","-38","-110","5","176,5625"
"29","224","-1608","130","-38","-110","5","176,5625"
"29","67","-802","93","-38","-110","5","176,5625"
"29","67","-802","93","-316","24","4","176,5"
"30","71","317","-52","-316","24","4","176,5"
"30","71","317","-52","500","82","4","176,5"
"30","209","164","43","500","82","4","176,5"
"30","209","164","43","394","59","4","176,5"
"30","135","12","113","394","59","4","176,5"
"30","135","12","113","19","94","-4","176,5"
"30","135","12","113","19","94","-4","176,5"
"30","135","12","113","19","94","-4","176,5"
"30","-245","-297","-264","19","94","-4","176,5"
"31","-245","-297","-264","41","156","-5","176,5625"
"31","-104","-249","-46","41","156","-5","176,5625"
"31","-104","-249","-46","-108","87","-5","176,625"
"31","-109","-14","62","-108","87","-5","176,625"
"31","-109","-14","62","96","30","-5","176,625"
"31","-392","278","-247","96","30","-5","176,625"
"31","-392","278","-247","194","62","-1","176,625"
"31","-392","278","-247","194","62","-1","176,625"
"31","-392","278","-247","194","62","-1","176,625"
"31","15","203","-123","194","62","-1","176,625"
"32","15","203","-123","2","-30","-1","176,625"
"32","26","-196","70","2","-30","-1","176,625"
"32","26","-196","70","-218","-49","-1","176,625"
"32","60","-76","62","-218","-49","-1","176,625"
"32","60","-76","62","-179","-14","2","176,625"
"32","-110","194","-148","-179","-14","2","176,625"
"32","-110","194","-148","13","-31","2","176,625"
"32","-110","194","-148","13","-31","2","176,625"
"32","-110","194","-148","13","-31","2","176,625"
"32","49","-96","0","13","-31","2","176,625"
"33","49","-96","0","35","-28","1","176,625"
"33","34","133","3","35","-28","1","176,625"
"33","34","133","3","-8","-69","-2","176,625"
"33","114","-42","1","-8","-69","-2","176,625"
"33","114","-42","1","27","-49","-3","176,625"
"33","123","-147","-4","27","-49","-3","176,625"
"33","123","-147","-4","-51","-43","-5","176,6875"
"33","221","-213","36","-51","-43","-5","176,6875"
"33","221","-213","36","-51","-43","-5","176,6875"
"33","269","-113","114","-51","-43","-5","176,6875"
"33","269","-113","114","-10","-8","-4","176,75"
"34","40","36","4","-10","-8","-4","176,75"
"34","40","36","4","57","44","-4","176,75"
"34","-192","-89","-126","57","44","-4","176,75"
"34","-192","-89","-126","28","70","-3","176,75"
"34","-53","79","-84","28","70","-3","176,75"
"34","-53","79","-84","17","62","-3","176,8125"
"34","-61","112","-100","17","62","-3","176,8125"
"35","-61","112","-100","17","62","-3","176,8125"
"35","45","-84","35","17","62","-3","176,8125"
"35","45","-84","35","64","15","-2","176,8125"
"35","-55","10","-48","64","15","-2","176,8125"
"35","-55","10","-48","-28","15","-2","176,8125"
"35","-80","47","-101","-28","15","-2","176,8125"
"35","-80","47","-101","35","13","1","176,8125"
"35","-69","-4","-56","35","13","1","176,8125"
"35","-69","-4","-56","0","2","2","176,8125"
"36","-69","-4","-56","0","2","2","176,8125"
"36","-69","-4","-56","0","2","2","176,8125"
"36","75","-53","0","0","2","2","176,8125"
"36","75","-53","0","-7","-13","2","176,75"
"36","110","-6","11","-7","-13","2","176,75"
"36","110","-6","11","-11","-33","1","176,75"
