Timer,X,Y,Z
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
"24","8937","7779","713"
