Timer,AX,AY,AZ,GX,GY,GZ,A
"12","1","0","-24","-2","0","1","272,5"
"17","1","0","-24","-2","0","1","272,5"
"20","1","0","-24","1","1","1","272,5"
"29","-1","-2","-26","1","1","1","272,5"
"33","-1","-2","-26","3","2","1","272,5"
"41","-2","-4","-30","3","2","1","272,5"
"41","-2","-4","-30","1","1","1","272,5"
"49","0","-1","-26","1","1","1","272,5"
"53","0","-1","-26","-1","3","1","272,5"
"61","1","-1","-24","-1","3","1","272,5"
"62","1","-1","-24","2","2","1","272,5"
"65","1","-1","-24","2","2","1","272,5"
"70","1","-1","-24","0","2","1","272,5"
"82","3","-4","-27","0","2","1","272,5"
"82","3","-4","-27","2","-1","1","272,5"
"90","5","-1","-26","2","-1","1","272,5"
"91","5","-1","-26","-1","-1","1","272,5"
"98","3","3","-22","-1","-1","1","272,5"
"103","3","3","-22","3","0","1","272,5"
"111","0","-1","-25","3","0","1","272,5"
"111","0","-1","-25","4","1","1","272,5"
"119","0","-1","-25","4","1","1","272,5"
"119","0","-1","-25","-2","2","1","272,5"
"131","0","3","-24","-2","2","1","272,5"
"131","0","3","-24","-3","2","1","272,5"
"139","5","0","-23","-3","2","1","272,5"
"143","5","0","-23","-2","1","1","272,5"
"152","3","-1","-27","-2","1","1","272,5"
"152","3","-1","-27","-1","-1","1","272,5"
"160","0","-1","-25","-1","-1","1","272,5"
"164","0","-1","-25","0","-1","1","272,5"
"168","0","-1","-25","0","-1","1","272,5"
"168","0","-1","-25","-1","1","1","272,5"
"180","0","-3","-26","-1","1","1","272,5"
"181","0","-3","-26","1","0","1","272,5"
"188","-2","0","-26","1","0","1","272,5"
"193","-2","0","-26","0","1","1","272,5"
"201","0","0","-28","0","1","1","272,5"
"201","0","0","-28","2","1","1","272,5"
"209","1","-1","-27","2","1","1","272,5"
"213","1","-1","-27","1","1","1","272,5"
"217","1","-1","-27","1","1","1","272,5"
"221","1","-1","-27","-1","2","1","272,5"
"230","-3","-3","-26","-1","2","1","272,5"
"234","-3","-3","-26","-2","-1","1","272,5"
"242","-2","0","-28","-2","-1","1","272,5"
"242","-2","0","-28","2","-1","1","272,5"
"250","0","-6","-25","2","-1","1","272,5"
"254","0","-6","-25","-2","-2","1","272,5"
"262","0","-3","-24","-2","-2","1","272,5"
"262","0","-3","-24","-2","-1","1","272,5"
"266","0","-3","-24","-2","-1","1","272,5"
"270","0","-3","-24","-1","1","1","272,5"
"279","0","-1","-25","-1","1","1","272,5"
"283","0","-1","-25","3","1","1","272,5"
"291","3","-2","-25","3","1","1","272,5"
"291","3","-2","-25","1","-2","1","272,5"
"299","5","1","-26","1","-2","1","272,5"
"303","5","1","-26","0","3","1","272,5"
"311","1","-2","-24","0","3","1","272,5"
"312","1","-2","-24","1","1","1","272,5"
"320","1","-2","-24","1","1","1","272,5"
"320","1","-2","-24","1","-2","1","272,5"
"332","3","-1","-25","1","-2","1","272,5"
"332","3","-1","-25","-1","1","1","272,5"
"340","1","-1","-26","-1","1","1","272,5"
"344","1","-1","-26","0","1","1","272,5"
"352","0","0","-23","0","1","1","272,5"
"353","0","0","-23","-1","1","1","272,5"
"361","2","-2","-26","-1","1","1","272,5"
"361","2","-2","-26","0","2","1","272,5"
"369","2","-2","-26","0","2","1","272,5"
"369","2","-2","-26","0","1","1","272,5"
"381","2","-3","-25","0","1","1","272,5"
"381","2","-3","-25","6","1","1","272,5"
"389","2","-3","-25","6","1","1","272,5"
"393","2","-3","-25","1","1","1","272,5"
"402","-3","-1","-24","1","1","1","272,5"
"402","-3","-1","-24","0","0","1","272,5"
"410","0","-2","-26","0","0","1","272,5"
"414","0","-2","-26","-2","5","1","272,5"
"418","0","-2","-26","-2","5","1","272,5"
"422","0","-2","-26","-1","-1","1","272,5"
"430","-1","-1","-27","-1","-1","1","272,5"
"434","-1","-1","-27","2","-1","1","272,5"
"442","0","-1","-27","2","-1","1","272,5"
"443","0","-1","-27","1","0","1","272,5"
"451","3","-4","-24","1","0","1","272,5"
"451","3","-4","-24","-3","2","1","272,5"
"463","0","-3","-24","-3","2","1","272,5"
"463","0","-3","-24","-4","0","1","272,5"
"467","0","-3","-24","-4","0","1","272,5"
"471","0","-3","-24","1","2","1","272,5"
"479","-1","0","-27","1","2","1","272,5"
"483","-1","0","-27","1","4","1","272,5"
"491","-1","0","-27","1","4","1","272,5"
"492","-1","0","-27","-1","-1","1","272,5"
"500","1","-3","-27","-1","-1","1","272,5"
"504","1","-3","-27","0","2","1","272,5"
"512","0","-2","-26","0","2","1","272,5"
"512","0","-2","-26","3","1","1","272,5"
"520","0","-2","-26","3","1","1","272,5"
"520","0","-2","-26","5","0","1","272,5"
"533","1","0","-24","5","0","1","272,5"
"533","1","0","-24","2","0","1","272,5"
"541","0","-1","-26","2","0","1","272,5"
"541","0","-1","-26","-1","-2","1","272,5"
"553","1","-4","-29","-1","-2","1","272,5"
"553","1","-4","-29","1","-1","1","272,5"
"561","-2","5","-26","1","-1","1","272,5"
"562","-2","5","-26","-1","-1","1","272,5"
"569","-2","5","-26","-1","-1","1","272,5"
"570","-2","5","-26","-5","-1","1","272,5"
"582","1","-8","-23","-5","-1","1","272,5"
"582","1","-8","-23","1","0","1","272,5"
"590","1","-8","-23","1","0","1","272,5"
"590","1","-8","-23","-3","-1","1","272,5"
"602","2","0","-20","-3","-1","1","272,5"
"603","2","0","-20","1","0","1","272,5"
"610","0","-3","-25","1","0","1","272,5"
"614","0","-3","-25","1","-2","1","272,5"
