Timer,AX,AY,AZ,GX,GY,GZ,A
"50","4","-4","4","-2","3","1","263,5"
"50","4","-4","4","-4","2","1","263,5"
"50","4","-4","4","-4","2","1","263,5"
"50","4","-4","4","1","0","1","263,5"
"50","3","-6","4","1","0","1","263,5"
"50","3","-6","4","0","-1","1","263,5"
"50","3","-6","4","0","-1","1","263,5"
"50","3","-6","4","0","4","1","263,5"
"51","2","-4","3","0","4","1","263,5"
"51","2","-4","3","-1","3","1","263,5"
"51","0","-4","3","-1","3","1","263,5"
"51","0","-4","3","0","0","1","263,5"
"51","1","-4","4","0","0","1","263,5"
"51","1","-4","4","2","-1","1","263,5"
"51","3","-3","8","2","-1","1","263,5"
"51","3","-3","8","-1","1","1","263,5"
"51","0","-4","5","-1","1","1","263,5"
"51","0","-4","5","1","-1","1","263,5"
"51","0","-1","1","1","-1","1","263,5"
"51","0","-1","1","2","-2","1","263,5"
"52","0","-5","6","2","-2","1","263,5"
"52","0","-5","6","0","0","1","263,5"
"52","0","-3","3","0","0","1","263,5"
"52","0","-3","3","-1","2","1","263,5"
"52","0","-3","2","-1","2","1","263,5"
"52","0","-3","2","1","0","1","263,5"
"52","2","-6","4","1","0","1","263,5"
"52","2","-6","4","0","3","1","263,5"
"52","2","-7","3","0","3","1","263,5"
"52","2","-7","3","1","-1","1","263,5"
"52","5","-5","4","1","-1","1","263,5"
"52","5","-5","4","0","-1","1","263,5"
"52","3","-4","4","0","-1","1","263,5"
"53","3","-4","4","-1","1","1","263,5"
"53","2","-6","7","-1","1","1","263,5"
"53","2","-6","7","2","2","1","263,5"
"53","3","-7","6","2","2","1","263,5"
"53","3","-7","6","-5","0","1","263,5"
"53","4","-7","5","-5","0","1","263,5"
"53","4","-7","5","-3","-2","1","263,5"
"53","1","-4","4","-3","-2","1","263,5"
"53","1","-4","4","1","1","1","263,5"
"53","2","-6","7","1","1","1","263,5"
"53","2","-6","7","-2","-2","1","263,5"
"53","5","-5","5","-2","-2","1","263,5"
"54","5","-5","5","0","-1","1","263,5"
"54","2","-5","5","0","-1","1","263,5"
"54","2","-5","5","-1","-2","1","263,5"
"54","2","-5","2","-1","-2","1","263,5"
"54","2","-5","2","1","0","1","263,5"
"54","1","-5","4","1","0","1","263,5"
"54","1","-5","4","-4","-3","1","263,5"
"54","0","-5","2","-4","-3","1","263,5"
"54","0","-5","2","4","-1","1","263,5"
"54","0","-3","3","4","-1","1","263,5"
"54","0","-3","3","1","-1","1","263,5"
"54","2","-3","3","1","-1","1","263,5"
"55","2","-3","3","3","0","1","263,5"
"55","0","-2","2","3","0","1","263,5"
"55","0","-2","2","4","-1","1","263,5"
"55","2","-6","4","4","-1","1","263,5"
"55","2","-6","4","1","-3","1","263,5"
"55","3","-5","2","1","-3","1","263,5"
"55","3","-5","2","3","-4","1","263,5"
"55","2","-3","2","3","-4","1","263,5"
"55","2","-3","2","2","0","1","263,5"
"55","3","-5","9","2","0","1","263,5"
"55","3","-5","9","1","-1","1","263,5"
"55","2","-7","2","1","-1","1","263,5"
"56","2","-7","2","-1","1","1","263,5"
"56","0","-7","1","-1","1","1","263,5"
"56","0","-7","1","2","-3","1","263,5"
"56","2","-4","4","2","-3","1","263,5"
"56","2","-4","4","-1","0","1","263,5"
"56","3","-6","5","-1","0","1","263,5"
"56","3","-6","5","1","-1","1","263,5"
"56","0","-5","4","1","-1","1","263,5"
"56","0","-5","4","0","-1","1","263,5"
"56","2","-4","1","0","-1","1","263,5"
"56","2","-4","1","0","1","1","263,5"
"56","2","-2","6","0","1","1","263,5"
"57","2","-2","6","0","0","1","263,5"
"57","2","-4","4","0","0","1","263,5"
"57","2","-4","4","0","0","1","263,5"
"57","0","-6","7","0","0","1","263,5"
"57","0","-6","7","-1","1","1","263,5"
"57","2","-4","5","-1","1","1","263,5"
"57","2","-4","5","-1","-1","1","263,5"
"57","1","-5","1","-1","-1","1","263,5"
"57","1","-5","1","3","0","1","263,5"
"57","1","-7","6","3","0","1","263,5"
"57","1","-7","6","0","0","1","263,5"
"57","5","-7","7","0","0","1","263,5"
"58","5","-7","7","0","-5","1","263,5"
"58","0","-4","6","0","-5","1","263,5"
"58","0","-4","6","1","0","1","263,5"
"58","2","-7","2","1","0","1","263,5"
"58","2","-7","2","0","-1","1","263,5"
"58","2","-5","4","0","-1","1","263,5"
"58","2","-5","4","0","2","1","263,5"
"58","1","-2","3","0","2","1","263,5"
"59","1","-2","3","-1","1","1","263,5"
"59","2","-6","5","-1","1","1","263,5"
"59","2","-6","5","-2","2","1","263,5"
"59","3","-4","3","-2","2","1","263,5"
"59","3","-4","3","0","0","1","263,5"
"59","4","-5","6","0","0","1","263,5"
"59","4","-5","6","-1","-1","1","263,5"
"60","0","-5","3","-1","-1","1","263,5"
"60","0","-5","3","3","1","1","263,5"
"60","2","-5","4","3","1","1","263,5"
"60","2","-5","4","-1","-1","1","263,5"
"60","0","-1","3","-1","-1","1","263,5"
"60","0","-1","3","-1","2","1","263,5"
"60","2","-5","4","-1","2","1","263,5"
"60","2","-5","4","1","-2","1","263,5"
"61","2","-3","5","1","-2","1","263,5"
"61","2","-3","5","1","1","1","263,5"
"61","0","-2","2","1","1","1","263,5"
"61","0","-2","2","2","-1","1","263,5"
"61","1","0","5","2","-1","1","263,5"
"61","1","0","5","-2","-2","1","263,5"
"61","2","-7","6","-2","-2","1","263,5"
"61","2","-7","6","0","-1","1","263,5"
"61","3","-6","5","0","-1","1","263,5"
"61","3","-6","5","-1","2","1","263,5"
"62","1","-7","6","-1","2","1","263,5"
"62","1","-7","6","-1","-2","1","263,5"
"62","3","-6","3","-1","-2","1","263,5"
"62","3","-6","3","1","0","1","263,5"
"62","7","-3","5","1","0","1","263,5"
"62","7","-3","5","3","-3","1","263,5"
"62","4","-3","4","3","-3","1","263,5"
"62","4","-3","4","0","-2","1","263,5"
"62","3","-6","5","0","-2","1","263,5"
"62","3","-6","5","0","0","1","263,5"
"62","2","-6","3","0","0","1","263,5"
"63","2","-6","3","1","1","1","263,5"
"63","1","-4","1","1","1","1","263,5"
"63","1","-4","1","1","-1","1","263,5"
"63","2","-5","6","1","-1","1","263,5"
