Timer,AX,AY,AZ,GX,GY,GZ
"0","-1","3","-1","5","-4","2"
"29","2","2","-1","0","0","-2"
"0","2","2","-1","0","0","-2"
"13","0","3","-1","0","0","-2"
"13","0","3","-1","-3","0","1"
"26","-4","1","-1","-1","2","0"
"26","-4","1","-1","-2","0","1"
"32","-3","5","-1","-2","0","0"
"39","0","5","-1","3","-1","1"
"51","0","5","-1","2","-2","-1"
"51","0","5","-1","2","-2","-1"
"52","-1","1","-1","0","-2","2"
"52","0","1","-1","1","-1","1"
"76","0","0","-1","-4","0","1"
"76","0","0","-1","-4","0","1"
"84","-2","1","-1","-4","-1","0"
"84","0","4","-2","2","1","0"
"84","-4","3","-2","3","1","0"
"101","-3","6","-2","0","-1","0"
"101","-3","6","-2","-2","0","2"
"108","-3","6","-2","-2","0","2"
"119","-3","6","-2","-2","0","2"
"127","-4","0","-2","3","0","1"
"130","-2","5","-2","-9","2","-1"
"141","0","2","-2","-4","0","0"
"141","0","2","-2","-3","-3","1"
"147","1","0","-2","-2","0","0"
"150","0","3","-1","2","0","0"
"153","0","3","-1","-2","0","0"
"153","-3","1","-1","0","-1","1"
"166","-3","1","-1","0","-1","1"
"166","-3","1","-1","-1","-1","-1"
"174","0","6","-1","-1","-1","-1"
"175","-7","7","-1","3","2","2"
"177","-7","7","-1","0","0","0"
"177","-7","7","-1","0","0","0"
"188","0","12","-4","-4","-1","0"
"188","0","12","-4","-8","1","0"
"188","0","12","-4","-8","1","0"
"224","-7","-5","2","2","3","3"
"224","-7","-5","2","2","3","3"
"231","-6","-6","2","9","-2","1"
"231","-6","-6","2","9","-2","1"
"231","-6","-6","2","9","-2","1"
"242","-6","-6","2","0","-2","-1"
"253","1","11","2","0","-2","-1"
"253","1","11","2","0","1","-1"
"256","-2","7","-1","2","-1","2"
"259","-2","7","-1","0","1","-1"
"270","-5","4","-2","-3","3","-1"
"270","-5","4","-2","-4","-1","2"
"271","-5","4","-2","-4","-1","2"
"285","-5","4","-2","-4","-1","2"
"285","-5","4","-2","-5","1","2"
"285","-4","2","-1","2","3","-1"
"285","-2","0","-1","0","3","-1"
"285","-2","0","-1","1","0","1"
"286","-2","0","-1","1","0","1"
"292","-1","1","-1","1","0","0"
"293","-2","3","-1","0","-1","-1"
"299","0","4","-1","-1","1","0"
"325","0","4","-1","-1","1","0"
"336","-4","3","-1","1","2","-2"
"339","-4","3","-1","1","0","1"
"339","-3","1","-1","0","0","1"
"340","1","2","-1","-1","1","-1"
"342","-2","1","-1","4","-1","0"
"345","-1","0","-1","-2","-1","0"
"356","-1","0","-1","0","-1","1"
"362","0","0","-1","-1","0","1"
"366","0","2","-1","-7","1","-1"
"386","-5","1","-1","3","-1","2"
"386","-5","1","-1","3","-1","2"
"392","-3","3","-1","1","-1","-1"
"397","-3","3","-1","1","2","0"
"398","-3","3","-1","1","2","0"
"409","-3","3","-1","7","-3","2"
"409","-3","3","-1","7","-3","2"
"414","0","6","-1","5","-2","0"
"414","0","6","-1","5","-2","0"
"425","0","6","-1","0","1","0"
"438","0","1","-1","0","1","0"
"438","0","1","-1","-3","1","0"
"438","0","1","-1","-3","1","0"
"444","-3","0","-1","-3","1","0"
"450","-3","0","-1","1","0","0"
"461","-2","2","-1","-3","-1","-1"
"461","-2","2","-1","0","0","1"
"461","-2","2","-1","0","0","1"
"461","-2","2","-1","0","0","1"
"472","3","2","-1","0","0","1"
"472","3","2","-1","2","-2","-1"
"479","-3","4","-1","3","0","0"
"495","-3","4","-1","4","0","0"
"507","-2","2","-1","5","1","2"
"508","-4","3","-1","-1","1","-1"
"513","0","2","-1","-2","-1","0"
"543","-2","0","-1","-6","2","1"
"543","-2","0","-1","-6","2","1"
"551","-3","0","-1","-4","1","0"
"551","-1","1","-1","1","1","2"
"562","-2","3","-1","-1","2","0"
"578","-4","4","-1","1","-1","0"
"578","-4","4","-1","1","-1","0"
"584","-1","3","-1","0","1","0"
"585","-2","5","-1","2","1","-1"
"585","-4","4","-1","-4","2","0"
"590","-1","6","-1","0","1","-1"
"601","-1","6","-1","-3","2","1"
"601","-1","6","-1","-1","0","-1"
"606","-4","3","-1","-4","3","0"
"612","0","0","-1","-1","1","0"
"623","-2","2","-1","0","0","1"
"623","-2","2","-1","0","0","1"
"629","-2","2","-1","1","1","1"
"630","0","3","-1","1","-1","1"
"642","-1","4","-1","0","-1","0"
"642","-1","4","-1","3","1","1"
"648","-2","3","-1","-2","2","0"
"654","-3","2","-1","0","0","-2"
"654","-4","4","-1","2","2","-1"
"659","-5","5","-1","1","2","-1"
"671","-1","3","-1","3","0","0"
"671","-1","3","-1","3","-1","-1"
"676","-1","3","-1","0","-1","-1"
"679","-4","3","-1","2","-1","0"
"679","-3","5","-1","3","1","1"
"682","-3","5","-1","0","1","1"
"682","-3","5","-1","0","1","1"
"682","-3","5","-1","0","1","1"
"693","0","4","-1","-3","2","0"
"704","-1","0","-1","1","-1","1"
"715","-3","1","-1","1","-1","1"
"715","-3","1","-1","2","-1","-1"
"728","-2","3","-1","-1","2","1"
"729","-1","2","-1","4","0","1"
"733","-1","4","-1","-3","3","-1"
"744","0","3","-1","5","0","1"
"744","0","3","-1","5","0","1"
"769","-1","4","-1","0","2","0"
"770","-1","5","-1","1","1","-1"
"770","-2","5","-1","1","1","1"
"777","-1","4","-1","-1","-1","-1"
"782","-1","4","-1","0","-1","1"
"792","-1","2","-1","0","0","1"
"797","-1","2","-1","0","1","1"
"825","0","0","-1","-4","1","-2"
"825","0","0","-1","-4","1","-2"
"832","0","2","-1","-5","0","-1"
"832","0","2","-1","-5","0","-1"
"833","0","2","-1","-5","0","-1"
"833","0","2","-1","4","0","1"
"846","0","4","-1","3","-4","1"
"846","0","4","-1","3","-4","1"
"853","-1","5","-1","2","1","-1"
"865","-1","5","-1","2","1","-1"
"865","-1","5","-1","0","-2","0"
"865","-1","4","-1","0","-2","0"
"866","-3","5","-1","-5","1","0"
"873","-2","0","-1","-3","1","1"
"887","-2","0","-1","-3","1","1"
"888","0","3","-1","0","-1","-1"
"888","-1","2","-1","-2","3","-1"
"895","-2","1","-1","0","1","2"
"902","-1","1","-1","-2","-1","1"
"905","0","2","-1","-4","0","-1"
"917","-1","4","-1","-1","1","0"
"917","-1","4","-1","-1","-1","0"
"917","-3","3","-1","0","0","0"
"923","-2","2","-1","2","0","-1"
"923","-2","2","-1","2","0","-1"
"932","-2","2","-1","2","0","-1"
"937","-2","4","-1","-3","-1","0"
"969","-2","4","-1","-4","0","1"
"969","-2","4","-1","-4","0","1"
"978","-3","4","-1","-2","-1","0"
"979","-5","3","-1","-3","4","1"
"979","0","2","-1","-2","-1","1"
"988","0","4","-1","-1","-2","-1"
"999","0","2","-1","-2","2","0"
"1029","-2","1","-1","-2","3","1"
"1029","-2","1","-1","-2","3","1"
"1035","-1","1","-1","-1","-2","-1"
"1035","-1","1","-1","-1","-2","-1"
"1045","-1","1","-1","-5","2","-1"
"1048","-2","1","-1","1","-2","1"
"1049","-1","5","-1","1","1","0"
"1054","-1","3","-1","0","-1","1"
"1067","-1","5","-1","-1","1","0"
"1067","-1","5","-1","-1","1","0"
"1079","-3","4","-1","-1","0","-1"
"1079","-3","4","-1","-1","0","-1"
"1079","0","1","-1","-2","-1","1"
"1085","-2","3","-1","-1","-1","1"
"1085","-2","3","-1","-1","-1","1"
"1096","-2","3","-1","1","1","0"
"1096","-2","3","-1","1","1","0"
"1102","-2","1","-1","2","1","1"
"1102","-2","1","-1","2","1","1"
"1113","-2","1","-1","4","1","1"
"1113","-2","1","-1","5","-1","0"
"1119","-3","3","-1","3","0","1"
"1119","-3","3","-1","3","0","1"
"1119","-3","3","-1","3","0","1"
"1119","-3","3","-1","2","0","2"
"1130","0","4","-1","2","0","2"
"1130","0","4","-1","2","1","0"
"1135","0","3","-1","-1","2","0"
"1136","0","3","-1","-1","2","0"
"1147","-4","1","-1","-1","2","0"
"1147","-4","1","-1","-2","2","0"
"1152","0","3","-1","-2","-1","0"
"1156","-2","3","-1","2","0","0"
"1159","-2","3","-1","0","-2","0"
"1170","-1","2","-1","-1","1","0"
"1170","-1","2","-1","-1","1","0"
"1176","-4","5","-1","0","1","2"
"1179","0","4","-1","6","-3","1"
"1179","0","6","-1","3","-1","1"
"1182","-1","4","-1","3","-1","0"
"1195","-1","5","-1","0","0","2"
"1195","-1","5","-1","0","-1","0"
"1201","-4","3","-1","-1","1","1"
"1201","-4","3","-1","-1","1","1"
"1201","-4","3","-1","-1","1","1"
"1214","-4","3","-1","-1","1","1"
"1214","-4","3","-1","-2","-1","1"
"1228","-1","3","-1","0","2","1"
"1228","-1","3","-1","0","2","1"
"1234","-4","3","-1","-2","-1","0"
"1242","-1","4","-1","-1","-1","1"
"1245","-2","4","-1","1","2","1"
"1245","-3","3","-1","0","-1","1"
"1254","-3","2","-1","1","0","-1"
"1254","-3","2","-1","-2","-2","-1"
"1254","-3","2","-1","-2","-2","-1"
"1268","3","2","-1","3","-1","-1"
"1271","-2","0","-1","3","-1","-1"
"1295","-4","1","-1","-1","-1","1"
"1295","-4","1","-1","-1","-1","1"
"1317","-4","3","-1","-1","-2","3"
"1317","-4","3","-1","-1","-2","3"
"1325","-4","2","-1","-4","-1","-1"
"1329","-3","3","-1","-1","-1","0"
"1339","-3","2","-1","-2","-1","1"
"1339","-3","2","-1","-2","3","0"
"1343","1","2","-1","0","0","0"
"1345","-1","2","-1","1","0","0"
"1354","0","2","-1","3","0","1"
"1357","2","3","-1","1","1","1"
"1379","1","4","-1","0","0","-1"
"1379","1","4","-1","0","0","-1"
"1380","0","4","-1","1","0","2"
"1380","-2","4","-1","3","1","-1"
"1380","-3","4","-1","1","0","0"
"1380","-3","4","-1","1","0","0"
"1380","-3","4","-1","1","0","0"
"1391","-5","4","-1","1","-1","0"
"1408","-2","2","-1","4","-1","0"
"1408","-2","2","-1","4","-2","1"
"1415","-2","2","-1","1","-3","-1"
"1415","3","2","-1","3","0","0"
"1426","0","3","-1","0","2","0"
"1426","0","3","-1","0","2","0"
"1435","-2","6","-1","4","-1","-1"
"1435","2","6","-2","1","-2","-1"
"1437","-2","9","-1","-3","1","3"
"1447","-3","2","-1","2","-2","1"
"1447","-3","2","-1","-1","0","1"
"1447","-5","0","1","-1","0","1"
"1455","-5","0","1","-1","0","1"
"1464","-5","5","-1","3","1","-1"
"1464","-1","5","-1","4","-2","0"
"1467","-1","5","-1","6","1","0"
"1467","-1","5","-1","2","1","-1"
"1467","-1","5","-1","2","1","-1"
"1468","-1","5","-1","2","1","-1"
"1480","-1","5","-1","-1","1","-1"
"1491","-2","5","-1","-1","1","-1"
"1491","-2","5","-1","0","0","-1"
"1491","-1","5","-1","-1","0","0"
"1497","-3","6","-1","-7","2","0"
"1503","-6","3","-1","-2","1","2"
"1516","1","8","-1","-2","0","0"
"1519","-3","0","-1","3","-1","0"
"1536","-2","2","-1","1","2","2"
"1537","-4","0","-1","7","3","-1"
"1537","0","2","-1","7","-1","2"
"1547","-1","-1","-1","7","4","3"
"1564","-1","2","-1","0","0","0"
"1564","-1","2","-1","1","2","1"
"1583","-3","4","-1","-3","1","1"
"1583","-3","4","-1","3","0","-1"
"1586","1","6","-1","3","-3","-1"
"1588","0","4","-1","-1","1","-2"
"1608","-5","5","-1","-1","2","-1"
"1608","-5","5","-1","-1","2","-1"
"1613","-4","2","-1","-3","0","1"
"1613","-4","2","-1","-3","0","1"
"1613","-4","2","-1","-3","0","1"
"1613","-4","2","-1","-3","0","1"
"1613","-4","2","-1","-3","0","1"
"1613","-4","2","-1","-3","0","1"
"1625","-4","2","-1","-2","0","2"
"1636","0","2","-1","-2","0","2"
"1636","0","2","-1","0","1","0"
"1642","0","2","-1","0","1","1"
"1642","-3","4","-1","2","2","-1"
"1643","-3","4","-1","2","2","-1"
"1658","-4","6","-1","2","2","-1"
"1658","-4","6","-1","-1","0","-1"
"1665","-4","6","-1","-1","-1","-1"
"1679","-4","4","-1","0","2","-1"
"1679","-4","4","-1","3","-2","-1"
"1686","-1","4","-1","1","1","1"
"1710","-1","3","-1","0","1","-1"
"1710","-1","3","-1","0","1","-1"
"1716","0","2","-1","-3","0","0"
"1722","2","0","-1","3","-1","1"
"1722","2","0","-1","3","-1","1"
"1730","2","0","-1","3","-1","1"
"1733","0","1","-1","-4","0","0"
"1745","-2","4","-1","0","1","0"
"1745","-2","4","-1","0","1","0"
"1750","-3","4","-1","2","1","2"
"1750","-3","4","-1","2","1","2"
"1751","-3","4","-1","2","1","2"
"1767","-3","4","-1","-2","1","2"
"1767","-3","4","-1","-2","2","1"
"1773","-1","3","-1","-2","0","3"
"1773","-1","3","-1","-2","0","3"
"1773","-1","3","-1","-2","0","3"
"1784","-1","3","-1","-2","0","3"
"1784","-1","3","-1","5","-3","1"
"1785","-1","3","-1","5","-3","1"
"1785","-1","3","-1","5","-3","1"
"1795","-1","3","-1","5","-3","1"
"1795","-1","3","-1","1","0","1"
"1801","-6","5","-1","-3","0","1"
"1809","-1","1","-1","-5","3","-1"
"1810","-1","1","-1","2","2","0"
"1812","-1","1","-1","-2","2","0"
"1824","1","4","-1","2","-1","-1"
"1824","1","4","-1","2","-1","-1"
"1824","1","4","-1","3","-1","-2"
