Time;X-Acceleration;Y-Acceleration;Z-Acceleration;;X-Velocity;Y-Velocity;Z-Velocity;;X-distance;Y-distance;Z-distance;;Time;RAW X;RAW Y;RAW Z;;;;;;;;
0,000;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;0,00000;0,00000;0,00000;;1000;0;0;0;;;;;;;;
0,002;-0,00981;0,02943;-0,29430;;-0,00001;0,00003;-0,00029;;0,00000;0,00000;0,00000;;1002;-0,99999964;2,99999808;-29,99997;;;;;;;;
0,008;0,00721;-0,00593;-0,29430;;-0,00002;0,00010;-0,00206;;0,00000;0,00000;-0,00001;;1008;0,735294188;-0,604938601;-29,99999294;;;;;;;;
0,012;0,00205;0,00657;-0,29430;;0,00000;0,00010;-0,00324;;0,00000;0,00000;-0,00002;;1012;0,209302347;0,670103023;-29,99999824;;;;;;;;
0,021;-0,01622;0,00914;-0,29430;;-0,00006;0,00017;-0,00589;;0,00000;0,00000;-0,00006;;1021;-1,653805178;0,932077321;-29,99999956;;;;;;;;
0,021;-0,01165;0,00967;-0,29430;;-0,00006;0,00017;-0,00589;;0,00000;0,00000;-0,00006;;1021;-1,187256175;0,986014383;-29,99999989;;;;;;;;
0,029;-0,01034;0,00978;-0,29430;;-0,00015;0,00025;-0,00824;;0,00000;0,00000;-0,00012;;1029;-1,053634041;0,997120283;-29,99999997;;;;;;;;
0,029;-0,00996;0,00980;-0,29430;;-0,00015;0,00025;-0,00824;;0,00000;0,00000;-0,00012;;1029;-1,015361946;0,99940705;-29,99999999;;;;;;;;
0,041;-0,02666;0,04501;-0,25996;;-0,00037;0,00058;-0,01157;;0,00000;0,00001;-0,00023;;1041;-2,717978345;4,588066701;-26,5;;;;;;;;
0,041;-0,02164;0,03264;-0,27100;;-0,00037;0,00058;-0,01157;;0,00000;0,00001;-0,00023;;1041;-2,205644546;3,326991833;-27,625;;;;;;;;
0,049;-0,02020;0,03009;-0,27376;;-0,00054;0,00083;-0,01375;;-0,00001;0,00001;-0,00034;;1049;-2,058901051;3,067329451;-27,90625;;;;;;;;
0,049;-0,01979;0,02957;-0,27445;;-0,00054;0,00083;-0,01375;;-0,00001;0,00001;-0,00034;;1049;-2,016870537;3,013863511;-27,9765625;;;;;;;;
0,061;-0,01967;0,01186;-0,30896;;-0,00077;0,00108;-0,01725;;-0,00002;0,00003;-0,00052;;1061;-2,004832087;1,208760178;-31,49414062;;;;;;;;
0,061;-0,01963;0,01802;-0,29796;;-0,00077;0,00108;-0,01725;;-0,00002;0,00003;-0,00052;;1061;-2,001384014;1,837079287;-30,37353516;;;;;;;;
0,070;-0,01962;0,00169;-0,27805;;-0,00095;0,00117;-0,01984;;-0,00002;0,00004;-0,00069;;1070;-2,000396412;0,172359316;-28,34338379;;;;;;;;
0,070;-0,01962;0,00814;-0,28288;;-0,00095;0,00117;-0,01984;;-0,00002;0,00004;-0,00069;;1070;-2,000113541;0,829584145;-28,83584595;;;;;;;;
0,078;-0,01962;0,00947;-0,28409;;-0,00111;0,00124;-0,02211;;-0,00003;0,00005;-0,00086;;1078;-2,000032521;0,964910421;-28,95896149;;;;;;;;
0,078;-0,01962;0,00974;-0,28439;;-0,00111;0,00124;-0,02211;;-0,00003;0,00005;-0,00086;;1078;-2,000009315;0,992774859;-28,98974037;;;;;;;;
0,090;-0,00281;0,00980;-0,28446;;-0,00124;0,00135;-0,02552;;-0,00005;0,00006;-0,00114;;1090;-0,286424323;0,998512303;-28,99743509;;;;;;;;
0,090;-0,00780;0,00981;-0,28448;;-0,00124;0,00135;-0,02552;;-0,00005;0,00006;-0,00114;;1090;-0,795616473;0,999693675;-28,99935877;;;;;;;;
0,098;-0,00924;0,00981;-0,26732;;-0,00131;0,00143;-0,02773;;-0,00006;0,00007;-0,00135;;1098;-0,941460132;0,999936926;-27,24983969;;;;;;;;
0,102;-0,00965;0,00981;-0,27284;;-0,00135;0,00147;-0,02881;;-0,00006;0,00008;-0,00147;;1102;-0,983232914;0,999987013;-27,81245992;;;;;;;;
0,111;0,00705;0,04501;-0,36006;;-0,00136;0,00172;-0,03165;;-0,00007;0,00009;-0,00174;;1111;0,718380801;4,588186119;-36,70311498;;;;;;;;
0,111;0,00202;0,03264;-0,33281;;-0,00136;0,00172;-0,03165;;-0,00007;0,00009;-0,00174;;1111;0,205759818;3,327016421;-33,92577875;;;;;;;;
