Timer,AX,AY,AZ,GX,GY,GZ
"1003","0","0","-26","-2","1","0"
"1012","0","0","-29","-2","1","0"
"1012","0","0","-29","-2","1","0"
"1020","-2","0","-28","-2","1","0"
"1024","-2","0","-28","2","-2","-2"
"1032","-1","3","-28","2","-2","-2"
"1032","-1","3","-28","0","-1","-1"
"1040","-1","3","-28","0","-1","-1"
"1040","-1","3","-28","0","-1","-1"
"1053","-2","0","-30","0","-1","-1"
"1053","-2","0","-30","0","1","-2"
"1061","0","1","-28","0","1","-2"
"1061","0","1","-28","1","-1","-1"
"1073","0","2","-32","1","-1","-1"
"1073","0","2","-32","1","-1","-1"
"1081","-1","1","-29","1","-1","-1"
"1082","-1","1","-29","1","1","0"
"1089","-1","1","-29","1","1","0"
"1093","-1","1","-29","1","0","2"
"1102","-3","1","-30","1","0","2"
"1102","-3","1","-30","-4","1","0"
"1110","-1","2","-32","-4","1","0"
"1114","-1","2","-32","-1","-2","-2"
"1122","-2","0","-27","-1","-2","-2"
"1122","-2","0","-27","-4","-3","-2"
"1130","-1","2","-32","-4","-3","-2"
"1134","-1","2","-32","-4","-3","-2"
"1139","-1","2","-32","-4","-3","-2"
"1139","-1","2","-32","-1","0","1"
"1151","0","0","-30","-1","0","1"
"1151","0","0","-30","-1","0","1"
"1163","0","1","-29","-1","0","1"
"1163","0","1","-29","-1","0","0"
"1171","-2","0","-31","-1","0","0"
"1172","-2","0","-31","-1","2","-2"
"1183","-1","1","-28","-1","2","-2"
"1184","-1","1","-28","1","1","-1"
"1192","-1","1","-28","1","1","-1"
"1192","-1","1","-28","0","-1","0"
"1200","-1","0","-29","0","-1","0"
"1204","-1","0","-29","1","1","1"
"1212","-3","3","-28","1","1","1"
"1213","-3","3","-28","-2","0","0"
"1221","-2","1","-32","-2","0","0"
"1221","-2","1","-32","-3","0","-3"
"1233","-2","2","-30","-3","0","-3"
"1233","-2","2","-30","1","0","2"
"1237","-2","2","-30","1","0","2"
"1241","-2","2","-30","3","2","-2"
"1253","-2","1","-27","3","2","-2"
"1253","-2","1","-27","2","0","1"
"1262","-2","1","-28","2","0","1"
"1262","-2","1","-28","-2","1","-1"
"1274","-2","0","-27","-2","1","-1"
"1274","-2","0","-27","1","2","2"
"1282","-2","2","-29","1","2","2"
"1282","-2","2","-29","1","0","2"
"1290","-2","4","-29","1","0","2"
"1294","-2","4","-29","-1","-1","2"
"1302","-2","1","-28","-1","-1","2"
"1302","-2","1","-28","1","1","-1"
"1310","-2","0","-30","1","1","-1"
"1313","-2","0","-30","-2","2","-1"
"1322","-1","1","-27","-2","2","-1"
"1322","-1","1","-27","0","2","-2"
"1330","-2","5","-29","0","2","-2"
"1330","-2","5","-29","2","3","0"
"1338","-2","5","-29","2","3","0"
"1339","-2","5","-29","0","0","0"
"1351","-2","1","-29","0","0","0"
"1351","-2","1","-29","-2","1","1"
"1363","-1","1","-30","-2","1","1"
"1363","-1","1","-30","0","-1","1"
"1371","-1","1","-29","0","-1","1"
"1371","-1","1","-29","-2","1","2"
"1379","-1","0","-28","-2","1","2"
"1383","-1","0","-28","-2","2","0"
"1387","-1","0","-28","-2","2","0"
"1388","-1","0","-28","0","0","1"
"1400","-1","4","-30","0","0","1"
"1404","-1","4","-30","-1","0","-1"
"1412","-3","3","-30","-1","0","-1"
"1412","-3","3","-30","0","0","-1"
"1420","-1","1","-30","0","0","-1"
"1420","-1","1","-30","2","0","0"
"1432","0","2","-25","2","0","0"
"1433","0","2","-25","1","2","-1"
"1437","0","2","-25","1","2","-1"
"1441","0","2","-25","1","1","1"
"1453","-2","1","-26","1","1","1"
"1453","-2","1","-26","0","-1","0"
"1461","-1","2","-31","0","-1","0"
"1461","-1","2","-31","-1","-2","1"
"1469","0","2","-25","-1","-2","1"
"1473","0","2","-25","-2","3","1"
"1482","-2","2","-30","-2","3","1"
"1482","-2","2","-30","-1","2","0"
"1490","-2","2","-30","-1","2","0"
"1490","-2","2","-30","1","0","0"
"1502","-2","3","-31","1","0","0"
"1502","-2","3","-31","-3","0","1"
"1510","-1","3","-31","-3","0","1"
"1510","-1","3","-31","-1","-1","0"
"1523","-2","1","-30","-1","-1","0"
"1523","-2","1","-30","-2","-1","-1"
"1531","-2","1","-27","-2","-1","-1"
"1531","-2","1","-27","-2","0","-1"
"1539","-2","1","-27","-2","0","-1"
"1539","-2","1","-27","-1","0","0"
"1551","-2","3","-29","-1","0","0"
"1552","-2","3","-29","-3","0","-2"
"1559","1","0","-31","-3","0","-2"
"1563","1","0","-31","1","1","0"
"1572","-1","1","-27","1","1","0"
"1572","-1","1","-27","2","-1","0"
"1580","-2","4","-26","2","-1","0"
"1584","-2","4","-26","2","0","0"
"1588","-2","4","-26","2","0","0"
"1588","-2","4","-26","2","0","2"
"1600","-2","1","-29","2","0","2"
"1601","-2","1","-29","-3","2","1"
"1613","-2","0","-29","-3","2","1"
"1613","-2","0","-29","-3","-3","2"
"1621","-1","2","-29","-3","-3","2"
"1621","-1","2","-29","-3","-1","1"
"1633","-1","1","-26","-3","-1","1"
"1633","-1","1","-26","-3","2","1"
"1637","-1","1","-26","-3","2","1"
"1641","-1","1","-26","-1","-1","-1"
"1650","-1","2","-30","-1","-1","-1"
"1654","-1","2","-30","-3","-2","1"
"1662","-1","1","-31","-3","-2","1"
"1662","-1","1","-31","1","1","0"
"1670","-1","1","-27","1","1","0"
"1674","-1","1","-27","-2","0","1"
"1682","-1","2","-29","-2","0","1"
"1683","-1","2","-29","0","-1","0"
"1691","-1","2","-29","0","-1","0"
"1691","-1","2","-29","-1","0","0"
"1703","-2","1","-28","-1","0","0"
"1703","-2","1","-28","0","0","1"
"1711","0","1","-29","0","0","1"
"1711","0","1","-29","1","0","1"
"1723","-2","1","-27","1","0","1"
"1723","-2","1","-27","0","-1","0"
"1732","-2","1","-28","0","-1","0"
"1732","-2","1","-28","1","3","-1"
"1740","-2","1","-28","1","3","-1"
"1740","-2","1","-28","1","3","-1"
"1752","0","1","-30","1","3","-1"
"1752","0","1","-30","-2","2","-1"
"1760","-1","2","-29","-2","2","-1"
"1764","-1","2","-29","1","2","-1"
"1773","1","2","-32","1","2","-1"
"1773","1","2","-32","0","-4","-1"
"1781","-2","1","-27","0","-4","-1"
"1785","-2","1","-27","2","-3","0"
"1789","-2","1","-27","2","-3","0"
"1789","-2","1","-27","-2","-2","1"
"1801","-2","3","-29","-2","-2","1"
"1801","-2","3","-29","0","2","1"
"1813","0","2","-30","0","2","1"
"1814","0","2","-30","0","0","1"
"1822","-2","0","-29","0","0","1"
"1822","-2","0","-29","1","0","-1"
"1834","-1","3","-29","1","0","-1"
"1834","-1","3","-29","1","0","0"
"1838","-1","3","-29","1","0","0"
"1842","-1","3","-29","-2","1","0"
"1850","1","3","-32","-2","1","0"
"1854","1","3","-32","-2","2","0"
"1863","0","1","-27","-2","2","0"
"1863","0","1","-27","-2","-1","1"
"1871","-1","3","-28","-2","-1","1"
"1875","-1","3","-28","-2","0","0"
"1883","-1","2","-30","-2","0","0"
"1883","-1","2","-30","-2","2","2"
"1891","-1","2","-30","-2","2","2"
"1891","-1","2","-30","1","-1","1"
"1904","0","1","-29","1","-1","1"
"1904","0","1","-29","0","-3","-1"
"1912","-3","3","-32","0","-3","-1"
"1912","-3","3","-32","-1","0","1"
"1924","-2","0","-30","-1","0","1"
"1924","-2","0","-30","0","1","-1"
"1932","0","2","-31","0","1","-1"
"1932","0","2","-31","-1","1","-2"
"1941","0","2","-31","-1","1","-2"
"1941","0","2","-31","0","1","0"
"1953","0","2","-29","0","1","0"
"1953","0","2","-29","2","6","-1"
"1961","0","1","-32","2","6","-1"
"1965","0","1","-32","1","4","-1"
"1973","-1","1","-27","1","4","-1"
"1974","-1","1","-27","0","1","-1"
"1981","-2","3","-28","0","1","-1"
"1982","-2","3","-28","1","0","0"
"1990","-2","3","-28","1","0","0"
"1990","-2","3","-28","2","1","-1"
"2002","-1","0","-29","2","1","-1"
"2002","-1","0","-29","-1","0","-1"
"2014","-3","1","-30","-1","0","-1"
"2014","-3","1","-30","2","0","0"
"2022","-1","3","-31","2","0","0"
"2023","-1","3","-31","1","-1","0"
"2035","-2","3","-28","1","-1","0"
"2035","-2","3","-28","1","2","2"
"2039","-2","3","-28","1","2","2"
"2039","-2","3","-28","3","0","2"
"2051","-1","1","-30","3","0","2"
"2055","-1","1","-30","-4","2","-1"
"2063","0","3","-31","-4","2","-1"
"2064","0","3","-31","2","0","-3"
"2072","-3","3","-30","2","0","-3"
"2072","-3","3","-30","2","1","-2"
"2084","-2","2","-26","2","1","-2"
"2084","-2","2","-26","2","1","1"
"2088","-2","2","-26","2","1","1"
"2092","-2","2","-26","-2","0","-1"
"2104","-3","2","-29","-2","0","-1"
"2104","-3","2","-29","2","-1","-1"
"2112","-2","2","-32","2","-1","-1"
"2113","-2","2","-32","0","0","1"
"2121","-1","1","-28","0","0","1"
"2125","-1","1","-28","-1","0","0"
"2133","-2","2","-29","-1","0","0"
"2133","-2","2","-29","-2","-1","-1"
"2141","-2","2","-29","-2","-1","-1"
"2141","-2","2","-29","-2","-1","-1"
"2154","-1","1","-29","-2","-1","-1"
"2154","-1","1","-29","3","0","0"
"2162","-1","4","-31","3","0","0"
"2165","-1","4","-31","3","-2","-1"
"2174","0","0","-28","3","-2","-1"
"2174","0","0","-28","3","1","-1"
"2182","-1","0","-27","3","1","-1"
"2182","-1","0","-27","1","0","1"
"2190","-1","0","-27","1","0","1"
"2191","-1","0","-27","1","-4","1"
"2203","-2","1","-29","1","-4","1"
"2203","-2","1","-29","0","1","1"
"2211","0","2","-30","0","1","1"
"2215","0","2","-30","0","-2","-1"
"2223","-2","4","-30","0","-2","-1"
"2223","-2","4","-30","0","1","0"
"2231","-2","2","-27","0","1","0"
"2235","-2","2","-27","-2","0","2"
"2239","-2","2","-27","-2","0","2"
"2239","-2","2","-27","0","-3","1"
"2251","-2","1","-28","0","-3","1"
"2255","-2","1","-28","0","-2","-1"
"2263","-1","1","-30","0","-2","-1"
"2263","-1","1","-30","-2","-4","0"
"2271","-1","1","-30","-2","-4","0"
"2271","-1","1","-30","-1","0","1"
"2283","-1","1","-27","-1","0","1"
"2284","-1","1","-27","-3","1","-1"
"2288","-1","1","-27","-3","1","-1"
"2292","-1","1","-27","0","-2","-2"
"2300","0","1","-28","0","-2","-2"
"2304","0","1","-28","0","-1","1"
"2312","-2","2","-27","0","-1","1"
"2312","-2","2","-27","-1","-2","1"
"2320","-2","0","-31","-1","-2","1"
"2324","-2","0","-31","-2","2","1"
"2333","-1","2","-28","-2","2","1"
"2333","-1","2","-28","1","-2","-1"
"2341","-1","2","-28","1","-2","-1"
"2341","-1","2","-28","-1","-1","1"
"2353","-1","1","-28","-1","-1","1"
"2353","-1","1","-28","-1","1","1"
"2361","-2","1","-28","-1","1","1"
"2362","-2","1","-28","2","-2","1"
"2370","-1","2","-30","2","-2","1"
"2374","-1","2","-30","1","-1","-1"
"2382","-1","3","-29","1","-1","-1"
"2382","-1","3","-29","2","0","0"
"2390","-1","3","-29","2","0","0"
"2390","-1","3","-29","2","0","0"
"2402","-2","2","-27","2","0","0"
"2402","-2","2","-27","0","-1","1"
"2411","-2","2","-26","0","-1","1"
"2411","-2","2","-26","-1","-1","1"
"2423","-2","3","-29","-1","-1","1"
"2423","-2","3","-29","1","-2","-1"
"2431","-2","1","-29","1","-2","-1"
"2435","-2","1","-29","1","-2","0"
"2439","-2","1","-29","1","-2","0"
"2439","-2","1","-29","-3","-2","-1"
"2451","-2","2","-28","-3","-2","-1"
"2452","-2","2","-28","-1","-3","-1"
"2460","-1","3","-30","-1","-3","-1"
"2464","-1","3","-30","1","-3","0"
