Timer,AX,AY,AZ,GX,GY,GZ
"1001","-2","0","-3","3","0","0"
"1010","-2","1","-3","0","-1","1"
"1022","-2","0","-3","0","4","1"
"1030","-4","3","-3","-1","-2","-3"
"1042","-1","2","-3","-3","0","2"
"1050","-1","2","-3","0","-1","0"
"1063","-2","2","-3","0","-1","2"
"1071","-2","3","-3","2","0","0"
"1079","-2","1","-3","-4","2","0"
"1091","-4","1","-3","2","3","0"
"1100","-2","3","-3","2","1","0"
"1112","-1","0","-3","-1","2","0"
"1120","-2","0","-3","-1","1","1"
"1132","-2","0","-3","2","-3","-1"
"1141","-3","3","-3","1","0","1"
"1153","-1","0","-3","3","-1","-1"
"1161","-4","0","-3","0","2","-1"
"1170","-1","0","-3","1","0","2"
"1181","-2","1","-3","1","3","0"
"1190","-4","3","-3","2","0","1"
"1202","-2","1","-3","3","0","1"
"1210","-2","1","-3","-2","-1","-1"
"1222","-2","0","-3","-2","1","1"
"1231","-3","-2","-3","-1","-1","-1"
"1243","-2","1","-3","0","1","0"
"1251","-2","2","-3","1","3","-1"
"1259","-1","2","-3","0","1","1"
"1272","-2","1","-3","0","0","-1"
"1280","-1","0","-3","-1","0","-1"
"1292","0","0","-3","1","2","2"
"1300","-2","1","-3","1","2","0"
"1312","-1","0","-3","2","-1","0"
"1321","-1","0","-3","1","-3","0"
"1333","-3","0","-3","2","-1","-2"
"1341","-2","0","-3","0","2","1"
"1350","-2","1","-3","0","-2","1"
"1362","-2","2","-3","1","-2","3"
"1370","-3","0","-3","-3","-1","2"
"1382","-2","1","-3","1","2","2"
"1390","-1","3","-3","1","2","1"
"1403","-4","2","-3","2","-1","2"
"1411","-2","2","-3","0","2","2"
"1423","-3","2","-3","-2","-1","-1"
"1431","-2","0","-3","-2","-2","-1"
"1443","-4","-1","-3","-1","-1","-1"
"1452","-4","0","-3","-1","-1","-1"
"1460","-1","2","-3","1","2","0"
"1472","-2","3","-3","0","4","-3"
"1481","-1","1","-3","-1","0","0"
"1493","-1","-1","-3","-2","-1","-2"
"1501","-2","2","-3","2","-1","1"
"1513","-2","1","-3","3","-2","0"
"1522","-3","1","-3","2","-1","0"
"1530","-2","0","-3","3","-2","0"
"1542","-2","0","-3","-3","0","0"
"1550","-4","0","-3","0","-1","0"
"1562","-3","1","-3","2","0","1"
"1571","-3","1","-3","1","-2","0"
"1583","-1","1","-3","3","2","0"
"1591","-2","0","-3","0","-2","-1"
"1603","-4","0","-3","2","1","2"
"1612","0","0","-3","0","4","0"
"1624","-3","2","-3","-1","-2","0"
"1632","-3","1","-3","-3","0","-2"
"1640","-2","0","-3","-1","0","0"
"1652","-3","0","-3","1","1","0"
"1661","-2","0","-3","-3","1","2"
"1673","-3","1","-3","1","0","3"
"1681","-1","0","-3","1","0","0"
"1693","-2","1","-3","-1","0","-1"
"1702","-2","0","-3","3","-3","-1"
"1714","-1","0","-3","0","1","-1"
"1722","-4","0","-3","-1","1","1"
"1730","-2","0","-3","0","2","0"
"1743","-4","0","-3","5","-1","0"
"1751","0","0","-3","3","-2","1"
