Timer,X,Y,Z
"953","0","0","0"
"1010","0","0","0"
"1010","0","0","0"
"1010","0","0","0"
"1010","0","0","0"
"1010","0","0","0"
"1010","0","0","0"
"1072","0","0","0"
"1072","0","0","0"
"1072","0","0","0"
"1072","0","0","0"
"1072","0","0","0"
"1072","0","0","0"
"1133","0","0","0"
"1133","0","0","0"
"1133","0","0","0"
"1133","0","0","0"
"1133","0","0","0"
"1133","0","0","0"
"1190","0","0","0"
"1190","0","0","0"
"1190","0","0","0"
"1190","0","0","0"
"1190","0","0","0"
"1190","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1252","0","0","0"
"1362","0","0","0"
"1362","0","0","0"
"1362","0","0","0"
"1362","0","0","0"
"1362","0","0","0"
"1362","0","0","0"
"1420","0","0","0"
"1420","0","0","0"
"1420","0","0","0"
"1420","0","0","0"
"1420","0","0","0"
"1420","0","0","0"
"1481","0","0","0"
"1481","0","0","0"
"1481","0","0","0"
"1481","0","0","0"
"1481","0","0","0"
"1481","0","0","0"
"1543","0","0","0"
"1543","0","0","0"
"1543","0","0","0"
"1543","0","0","0"
"1543","0","0","0"
"1543","0","0","0"
"1600","0","0","0"
"1600","0","0","0"
"1600","0","0","0"
"1600","0","0","0"
"1600","0","0","0"
"1600","0","0","0"
"1661","0","0","0"
"1661","0","0","0"
"1661","0","0","0"
"1661","0","0","0"
"1661","0","0","0"
"1661","0","0","0"
"1723","0","0","0"
"1723","0","0","0"
"1723","0","0","0"
"1723","0","0","0"
"1723","0","0","0"
"1723","0","0","0"
"1780","0","0","0"
"1780","0","0","0"
"1780","0","0","0"
"1780","0","0","0"
"1780","0","0","0"
"1780","0","0","0"
"1842","0","0","0"
"1842","0","0","0"
"1842","0","0","0"
"1842","0","0","0"
"1842","0","0","0"
"1842","0","0","0"
"1899","0","0","0"
"1899","0","0","0"
"1899","0","0","0"
"1899","0","0","0"
"1899","0","0","0"
"1899","0","0","0"
"1960","0","0","0"
"1960","0","0","0"
"1960","0","0","0"
"1960","0","0","0"
"1960","0","0","0"
"1960","0","0","0"
"2022","0","0","0"
"2022","0","0","0"
"2022","0","0","0"
"2022","0","0","0"
"2022","0","0","0"
"2022","0","0","0"
"2079","0","0","0"
"2079","0","0","0"
"2079","0","0","0"
"2079","0","0","0"
"2079","0","0","0"
"2079","0","0","0"
"2141","0","0","0"
"2141","0","0","0"
"2141","0","0","0"
"2141","0","0","0"
"2141","0","0","0"
"2141","0","0","0"
"2202","0","0","0"
"2202","0","0","0"
"2202","0","0","0"
"2202","0","0","0"
"2202","0","0","0"
"2202","0","0","0"
"2259","0","0","0"
"2259","0","0","0"
"2259","0","0","0"
"2259","0","0","0"
"2259","0","0","0"
"2259","0","0","0"
"2321","0","0","0"
"2321","0","0","0"
"2321","0","0","0"
"2321","0","0","0"
"2321","0","0","0"
"2321","0","0","0"
"2378","0","0","0"
"2378","0","0","0"
"2378","0","0","0"
"2378","0","0","0"
"2378","0","0","0"
"2378","0","0","0"
"2440","0","0","0"
"2440","0","0","0"
"2440","0","0","0"
"2440","0","0","0"
"2440","0","0","0"
"2440","0","0","0"
"2501","0","0","0"
"2501","0","0","0"
"2501","0","0","0"
"2501","0","0","0"
"2501","0","0","0"
"2501","0","0","0"
"2562","0","0","0"
"2562","0","0","0"
"2562","0","0","0"
"2562","0","0","0"
"2562","0","0","0"
"2562","0","0","0"
"2620","0","0","0"
"2620","0","0","0"
"2620","0","0","0"
"2620","0","0","0"
"2620","0","0","0"
"2620","0","0","0"
"2681","0","0","0"
"2681","0","0","0"
"2681","0","0","0"
"2681","0","0","0"
"2681","0","0","0"
"2681","0","0","0"
"2739","0","0","0"
"2739","0","0","0"
"2739","0","0","0"
"2739","0","0","0"
"2739","0","0","0"
"2739","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2800","0","0","0"
"2911","0","0","0"
"2911","0","0","0"
"2911","0","0","0"
"2911","0","0","0"
"2911","0","0","0"
"2911","0","0","0"
"2972","0","0","0"
"2972","0","0","0"
"2972","0","0","0"
"2972","0","0","0"
"2972","0","0","0"
"3025","0","0","0"
"3025","0","0","0"
"3025","0","0","0"
"3025","0","0","0"
"3025","0","0","0"
"3025","0","0","0"
"3083","0","0","0"
"3083","0","0","0"
"3083","0","0","0"
"3083","0","0","0"
"3083","0","0","0"
"3083","0","0","0"
"3144","0","0","0"
"3144","0","0","0"
"3144","0","0","0"
"3144","0","0","0"
"3144","0","0","0"
"3144","0","0","0"
"3206","0","0","0"
"3206","0","0","0"
"3206","0","0","0"
"3206","0","0","0"
"3206","0","0","0"
"3206","0","0","0"
"3267","0","0","0"
"3267","0","0","0"
"3267","0","0","0"
"3267","0","0","0"
"3267","0","0","0"
"3267","0","0","0"
"3324","0","0","0"
"3324","0","0","0"
"3324","0","0","0"
"3324","0","0","0"
"3324","0","0","0"
"3324","0","0","0"
"3386","0","0","0"
"3386","0","0","0"
"3386","0","0","0"
"3386","0","0","0"
"3386","0","0","0"
"3386","0","0","0"
"3386","0","0","0"
"3447","0","0","0"
"3447","0","0","0"
"3447","0","0","0"
"3447","0","0","0"
"3447","0","0","0"
"3505","0","0","0"
"3505","0","0","0"
"3505","0","0","0"
"3505","0","0","0"
"3505","0","0","0"
"3505","0","0","0"
"3566","0","0","0"
"3566","0","0","0"
"3566","0","0","0"
"3566","0","0","0"
"3566","0","0","0"
"3566","0","0","0"
"3623","0","0","0"
"3623","0","0","0"
"3623","0","0","0"
"3623","0","0","0"
"3623","0","0","0"
"3623","0","0","0"
"3685","0","0","0"
"3685","0","0","0"
"3685","0","0","0"
"3685","0","0","0"
"3685","0","0","0"
"3685","0","0","0"
"3742","0","0","0"
"3742","0","0","0"
"3742","0","0","0"
"3742","0","0","0"
"3742","0","0","0"
"3742","0","0","0"
"3804","0","0","0"
"3804","0","0","0"
"3804","0","0","0"
"3804","0","0","0"
"3804","0","0","0"
"3804","0","0","0"
"3861","0","0","0"
"3861","0","0","0"
"3861","0","0","0"
"3861","0","0","0"
"3861","0","0","0"
"3918","0","0","0"
"3918","0","0","0"
"3918","0","0","0"
"3918","0","0","0"
"3918","0","0","0"
"3918","0","0","0"
"3980","0","0","0"
"3980","0","0","0"
"3980","0","0","0"
"3980","0","0","0"
"3980","0","0","0"
"3980","0","0","0"
"4041","0","0","0"
"4041","0","0","0"
"4041","0","0","0"
"4041","0","0","0"
"4041","0","0","0"
"4041","0","0","0"
"4041","0","0","0"
"4098","0","0","0"
"4098","0","0","0"
"4098","0","0","0"
"4098","0","0","0"
"4098","0","0","0"
"4160","0","0","0"
"4160","0","0","0"
"4160","0","0","0"
"4160","0","0","0"
"4160","0","0","0"
"4160","0","0","0"
"4160","0","0","0"
"4221","0","0","0"
"4221","0","0","0"
"4221","0","0","0"
"4221","0","0","0"
"4221","0","0","0"
"4279","0","0","0"
"4279","0","0","0"
"4279","0","0","0"
"4279","0","0","0"
"4279","0","0","0"
"4279","0","0","0"
"4279","0","0","0"
"4340","0","0","0"
"4340","0","0","0"
"4340","0","0","0"
"4340","0","0","0"
"4340","0","0","0"
"4340","0","0","0"
"4402","0","0","0"
"4402","0","0","0"
"4402","0","0","0"
"4402","0","0","0"
"4402","0","0","0"
"4402","0","0","0"
"4459","0","0","0"
"4459","0","0","0"
"4459","0","0","0"
"4459","0","0","0"
"4459","0","0","0"
"4459","0","0","0"
"4520","0","0","0"
"4520","0","0","0"
"4520","0","0","0"
"4520","0","0","0"
"4520","0","0","0"
"4520","0","0","0"
"4578","0","0","0"
"4578","0","0","0"
"4578","0","0","0"
"4578","0","0","0"
"4578","0","0","0"
