Timer,X,Y,Z
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1001","8684","8355","158"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1058","8715","8375","128"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1111","8752","8452","141"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1164","8712","8477","72"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1221","8776","8463","146"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1275","8761","8476","120"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1332","8683","8399","102"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1386","8770","8447","113"
"1447","8799","8429","193"
"1447","8799","8429","193"
"1447","8799","8429","193"
"1447","8799","8429","193"
"1447","8799","8429","193"
