Timer,AX,AY,AZ,GX,GY,GZ
"1001","12.56","0.56","-22.44","2.034","-1.092","1.005"
"1002","12.56","0.56","-22.44","0.034","-0.092","0.005"
"1010","12.56","1.56","-22.44","0.034","-0.092","0.005"
"1010","12.56","1.56","-22.44","0.034","-2.092","1.005"
"1022","10.56","4.56","-25.44","0.034","-2.092","1.005"
"1022","10.56","4.56","-25.44","0.034","-1.092","0.005"
"1030","10.56","-0.44","-27.44","0.034","-1.092","0.005"
"1031","10.56","-0.44","-27.44","1.034","1.908","1.005"
"1038","11.56","1.56","-20.44","1.034","1.908","1.005"
"1043","11.56","1.56","-20.44","-3.966","0.908","1.005"
"1051","10.56","1.56","-24.44","-3.966","0.908","1.005"
"1051","10.56","1.56","-24.44","-0.966","-0.092","-0.995"
"1060","13.56","-1.44","-22.44","-0.966","-0.092","-0.995"
"1063","13.56","-1.44","-22.44","0.034","0.908","0.005"
"1071","9.56","-1.44","-26.44","0.034","0.908","0.005"
"1071","9.56","-1.44","-26.44","0.034","0.908","3.005"
"1079","9.56","2.56","-26.44","0.034","0.908","3.005"
"1079","9.56","2.56","-26.44","-0.966","0.908","0.005"
"1092","7.56","-0.44","-27.44","-0.966","0.908","0.005"
"1092","7.56","-0.44","-27.44","4.034","-1.092","-0.995"
"1100","12.56","-0.44","-26.44","4.034","-1.092","-0.995"
"1100","12.56","-0.44","-26.44","1.034","1.908","2.005"
"1112","6.56","2.56","-22.44","1.034","1.908","2.005"
"1112","6.56","2.56","-22.44","0.034","-0.092","3.005"
"1120","9.56","3.56","-25.44","0.034","-0.092","3.005"
"1120","9.56","3.56","-25.44","5.034","-2.092","0.005"
"1128","11.56","-0.44","-26.44","5.034","-2.092","0.005"
"1132","11.56","-0.44","-26.44","0.034","-0.092","1.005"
"1141","9.56","0.56","-26.44","0.034","-0.092","1.005"
"1141","9.56","0.56","-26.44","0.034","-1.092","0.005"
"1149","7.56","1.56","-32.44","0.034","-1.092","0.005"
"1153","7.56","1.56","-32.44","-1.966","-0.092","1.005"
"1161","11.56","0.56","-22.44","-1.966","-0.092","1.005"
"1161","11.56","0.56","-22.44","-3.966","-0.092","-0.995"
"1169","10.56","0.56","-28.44","-3.966","-0.092","-0.995"
"1173","10.56","0.56","-28.44","0.034","-3.092","-0.995"
"1182","8.56","0.56","-24.44","0.034","-3.092","-0.995"
"1182","8.56","0.56","-24.44","-1.966","-1.092","-0.995"
"1190","12.56","4.56","-25.44","-1.966","-1.092","-0.995"
"1190","12.56","4.56","-25.44","1.034","1.908","1.005"
"1202","7.56","0.56","-28.44","1.034","1.908","1.005"
"1202","7.56","0.56","-28.44","-0.966","-2.092","-1.995"
"1210","12.56","-0.44","-27.44","-0.966","-2.092","-1.995"
"1210","12.56","-0.44","-27.44","-0.966","-1.092","0.005"
"1223","10.56","4.56","-28.44","-0.966","-1.092","0.005"
"1223","10.56","4.56","-28.44","3.034","-0.092","0.005"
"1231","9.56","3.56","-23.44","3.034","-0.092","0.005"
"1231","9.56","3.56","-23.44","-3.966","0.908","2.005"
"1239","10.56","1.56","-22.44","-3.966","0.908","2.005"
"1243","10.56","1.56","-22.44","-0.966","1.908","-0.995"
"1251","8.56","1.56","-30.44","-0.966","1.908","-0.995"
"1251","8.56","1.56","-30.44","-0.966","0.908","4.005"
"1259","6.56","4.56","-28.44","-0.966","0.908","4.005"
"1260","6.56","4.56","-28.44","0.034","0.908","1.005"
"1272","16.56","-0.44","-20.44","0.034","0.908","1.005"
"1272","16.56","-0.44","-20.44","2.034","0.908","-0.995"
"1280","8.56","-0.44","-23.44","2.034","0.908","-0.995"
"1281","8.56","-0.44","-23.44","0.034","-0.092","-0.995"
"1292","13.56","-1.44","-23.44","0.034","-0.092","-0.995"
"1293","13.56","-1.44","-23.44","2.034","0.908","0.005"
"1300","11.56","-0.44","-26.44","2.034","0.908","0.005"
"1301","11.56","-0.44","-26.44","3.034","-0.092","2.005"
"1313","8.56","-0.44","-24.44","3.034","-0.092","2.005"
"1313","8.56","-0.44","-24.44","0.034","-2.092","3.005"
"1321","9.56","2.56","-22.44","0.034","-2.092","3.005"
"1321","9.56","2.56","-22.44","-0.966","1.908","1.005"
"1329","13.56","1.56","-22.44","-0.966","1.908","1.005"
"1333","13.56","1.56","-22.44","-0.966","-3.092","1.005"
"1341","8.56","2.56","-24.44","-0.966","-3.092","1.005"
